Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    1.04431e+14    0.00000e+00    2.27649e+22    5.83210e+16    0.00000e+00    0.00000e+00
    1.05207e-06    1.91258e+14    0.00000e+00    2.31665e+22    8.91166e+16    5.64289e+10    0.00000e+00
    1.10685e-06    2.03761e+14    0.00000e+00    3.07021e+22    8.57244e+16    6.22411e+10    0.00000e+00
    1.16448e-06    2.15305e+14    0.00000e+00    2.86877e+22    1.00240e+17    6.86518e+10    0.00000e+00
    1.22511e-06    2.49470e+14    0.00000e+00    3.18654e+22    1.41165e+17    7.57227e+10    0.00000e+00
    1.28890e-06    4.17724e+14    0.00000e+00    4.80759e+22    1.47150e+17    8.35222e+10    0.00000e+00
    1.35602e-06    4.64397e+14    0.00000e+00    4.92948e+22    1.89227e+17    9.21262e+10    0.00000e+00
    1.42662e-06    5.04298e+14    0.00000e+00    5.66240e+22    1.89437e+17    1.01614e+11    0.00000e+00
    1.50090e-06    1.01209e+15    0.00000e+00    6.05652e+22    2.34521e+17    1.12081e+11    0.00000e+00
    1.57905e-06    1.17574e+15    0.00000e+00    5.84709e+22    2.93793e+17    1.23625e+11    0.00000e+00
    1.66127e-06    1.09009e+15    0.00000e+00    9.52553e+22    3.01450e+17    1.36359e+11    0.00000e+00
    1.74777e-06    1.89844e+15    0.00000e+00    9.78076e+22    4.32505e+17    1.50404e+11    0.00000e+00
    1.83878e-06    2.21243e+15    0.00000e+00    9.15950e+22    4.42922e+17    1.65897e+11    0.00000e+00
    1.93452e-06    2.27290e+15    0.00000e+00    1.24563e+23    5.09157e+17    1.82983e+11    0.00000e+00
    2.03525e-06    3.00896e+15    0.00000e+00    1.27021e+23    7.04612e+17    2.01831e+11    0.00000e+00
    2.14122e-06    3.72079e+15    0.00000e+00    1.46771e+23    7.97805e+17    2.22620e+11    0.00000e+00
    2.25271e-06    4.93436e+15    0.00000e+00    1.84281e+23    8.52082e+17    2.45550e+11    0.00000e+00
    2.37001e-06    5.06931e+15    0.00000e+00    1.75754e+23    1.02548e+18    2.70843e+11    0.00000e+00
    2.49341e-06    6.48896e+15    0.00000e+00    2.24024e+23    1.11962e+18    2.98739e+11    0.00000e+00
    2.62324e-06    7.41311e+15    0.00000e+00    2.28420e+23    1.47501e+18    3.29510e+11    0.00000e+00
    2.75983e-06    8.20375e+15    0.00000e+00    2.53743e+23    1.70266e+18    3.63450e+11    0.00000e+00
    2.90353e-06    1.13109e+16    0.00000e+00    3.13894e+23    1.76048e+18    4.00885e+11    0.00000e+00
    3.05471e-06    1.36270e+16    0.00000e+00    3.05242e+23    2.13112e+18    4.42176e+11    0.00000e+00
    3.21376e-06    1.50984e+16    0.00000e+00    3.74072e+23    2.38476e+18    4.87720e+11    0.00000e+00
    3.38110e-06    1.81348e+16    0.00000e+00    3.87737e+23    3.05836e+18    5.37956e+11    0.00000e+00
    3.55715e-06    2.39588e+16    0.00000e+00    4.10976e+23    3.78770e+18    5.93367e+11    0.00000e+00
    3.74237e-06    3.00562e+16    0.00000e+00    5.17502e+23    4.04738e+18    6.54485e+11    0.00000e+00
    3.93723e-06    2.87024e+16    0.00000e+00    5.58967e+23    4.69206e+18    7.21898e+11    0.00000e+00
    4.14223e-06    3.60470e+16    0.00000e+00    5.41589e+23    5.39047e+18    7.96252e+11    0.00000e+00
    4.35791e-06    5.08802e+16    0.00000e+00    6.58385e+23    6.34223e+18    8.78267e+11    0.00000e+00
    4.58482e-06    5.64807e+16    0.00000e+00    6.98593e+23    8.07201e+18    9.68729e+11    0.00000e+00
    4.82355e-06    6.14784e+16    0.00000e+00    7.71421e+23    8.82878e+18    1.06851e+12    0.00000e+00
    5.07471e-06    8.32631e+16    0.00000e+00    8.47811e+23    8.74080e+18    1.17857e+12    0.00000e+00
    5.33894e-06    8.99582e+16    0.00000e+00    9.01868e+23    1.22054e+19    1.29996e+12    0.00000e+00
    5.61693e-06    1.03898e+17    0.00000e+00    9.81751e+23    1.48428e+19    1.43386e+12    0.00000e+00
    5.90940e-06    1.18322e+17    0.00000e+00    1.07423e+24    1.63256e+19    1.58155e+12    0.00000e+00
    6.21709e-06    1.40458e+17    0.00000e+00    1.13096e+24    1.82232e+19    1.74445e+12    0.00000e+00
    6.54081e-06    1.71728e+17    0.00000e+00    1.24762e+24    2.12738e+19    1.92413e+12    0.00000e+00
    6.88138e-06    1.95309e+17    0.00000e+00    1.32505e+24    2.43142e+19    2.12232e+12    0.00000e+00
    7.23968e-06    2.50392e+17    0.00000e+00    1.42566e+24    2.76124e+19    2.34092e+12    0.00000e+00
    7.61664e-06    2.74674e+17    0.00000e+00    1.52609e+24    3.24528e+19    2.58204e+12    0.00000e+00
    8.01323e-06    2.83247e+17    0.00000e+00    1.65083e+24    4.10009e+19    2.84799e+12    0.00000e+00
