logz err
236.098847 0.098046
235.930820 0.104660
235.977027 0.103561
236.008200 0.099069
236.033859 0.099959
235.917074 0.104016
235.850495 0.109313
236.001326 0.102200
235.838601 0.107382
235.808992 0.108897
235.802368 0.108502
235.806970 0.108561
235.982567 0.101570
236.043507 0.099830
236.007731 0.101827
235.889656 0.106725
235.929616 0.100776
235.959024 0.103664
236.072789 0.097653
235.980506 0.102592
235.839615 0.107006
236.030260 0.101454
235.991956 0.101840
236.131457 0.097271
235.989683 0.102496
236.040644 0.100660
236.057288 0.101789
236.013654 0.099876
236.024998 0.101418
235.963262 0.102934
235.927985 0.104866
235.993417 0.102180
235.960941 0.103132
235.985533 0.102839
236.107285 0.097025
235.914252 0.104567
236.006764 0.101285
236.027787 0.101443
236.019944 0.099735
