# E_gamma(MeV)   TotalSpectrum
5.1454400000e-01 8.6888697480e+19
5.4133600000e-01 1.0459248613e+20
5.6952300000e-01 1.2335881093e+20
5.9917700000e-01 1.3063116673e+20
6.3037500000e-01 1.3509870777e+20
6.6319800000e-01 1.3734209273e+20
6.9773000000e-01 1.3783371580e+20
7.3406000000e-01 1.3697312085e+20
7.7228100000e-01 1.3497924368e+20
8.1249300000e-01 1.3234507554e+20
8.5479800000e-01 1.2917878161e+20
8.9930700000e-01 1.2556602417e+20
9.4613200000e-01 1.2177287453e+20
9.9539600000e-01 1.1781170065e+20
1.0472300000e+00 1.1382590346e+20
1.1017500000e+00 1.0973722519e+20
1.1591200000e+00 1.0575551302e+20
1.2194700000e+00 1.0180440869e+20
1.2829700000e+00 9.7966026153e+19
1.3497700000e+00 9.4116642465e+19
1.4200500000e+00 9.0474724540e+19
1.4939900000e+00 8.6936331818e+19
1.5717800000e+00 8.3459603301e+19
1.6536200000e+00 8.0155806961e+19
1.7397300000e+00 7.6912465889e+19
1.8303100000e+00 7.3847225271e+19
1.9256100000e+00 7.0851042647e+19
2.0258800000e+00 6.7998830006e+19
2.1313600000e+00 6.5214467831e+19
2.2423400000e+00 6.2554664415e+19
2.3591000000e+00 6.0000966937e+19
2.4819300000e+00 5.7539753850e+19
2.6111600000e+00 5.5196780092e+19
2.7471200000e+00 5.2870702448e+19
2.8901600000e+00 5.0691747901e+19
3.0406500000e+00 4.8550156562e+19
3.1989700000e+00 4.6563311951e+19
3.3655300000e+00 4.4572422152e+19
3.5407700000e+00 4.2666640274e+19
3.7251400000e+00 4.0843903392e+19
3.9191000000e+00 3.9079966821e+19
4.1231600000e+00 3.7391018635e+19
4.3378500000e+00 3.5762597983e+19
4.5637200000e+00 3.4169980921e+19
4.8013400000e+00 3.2650783023e+19
5.0513400000e+00 3.1188362034e+19
5.3143600000e+00 2.9750895812e+19
5.5910700000e+00 2.8422126350e+19
5.8821900000e+00 2.7081327003e+19
6.1884700000e+00 2.5815133176e+19
6.5106900000e+00 2.4595621404e+19
6.8497000000e+00 2.3414987631e+19
7.2063500000e+00 2.2292528463e+19
7.5815800000e+00 2.1194640959e+19
7.9763400000e+00 2.0135165626e+19
8.3916600000e+00 1.9143479230e+19
8.8286000000e+00 1.8156398478e+19
9.2882900000e+00 1.7233281791e+19
9.7719200000e+00 1.6334051938e+19
1.0280700000e+01 1.5469148972e+19
1.0816000000e+01 1.4646276152e+19
1.1379200000e+01 1.3843102883e+19
1.1971700000e+01 1.3092732505e+19
1.2595100000e+01 1.2367466540e+19
1.3250900000e+01 1.1667826976e+19
1.3940800000e+01 1.1004350590e+19
1.4666700000e+01 1.0368697888e+19
1.5430400000e+01 9.7667546797e+18
1.6233800000e+01 9.1943703089e+18
