EnergyEndUse,Color
Heating,#c22324
Domestic Hot Water,#ff7f0e
Heating & Domestic Hot Water,#eb4f18
Cooling,#1f77b4
Auxiliary,#9467bd
Lighting,#17becf
Small Power,#d3d3d3
IT/Servers,#8c564b
PV Generation,#bcbd22
Catering,#2ca02c
Lifts,#e377c2
Other,#000000
Unknown,#7C7270
