Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    3.20615e+17    0.00000e+00    8.94435e+22    1.17487e+20    0.00000e+00    0.00000e+00
    1.05207e-06    5.75056e+17    0.00000e+00    8.78858e+22    1.57523e+20    1.88018e+14    0.00000e+00
    1.10685e-06    6.15640e+17    0.00000e+00    8.61445e+22    1.60993e+20    2.07384e+14    0.00000e+00
    1.16448e-06    6.51631e+17    0.00000e+00    8.42570e+22    1.76293e+20    2.28744e+14    0.00000e+00
    1.22511e-06    7.44321e+17    0.00000e+00    8.20483e+22    2.24131e+20    2.52303e+14    0.00000e+00
    1.28890e-06    1.22646e+18    0.00000e+00    7.96758e+22    2.34035e+20    2.78291e+14    0.00000e+00
    1.35602e-06    1.37095e+18    0.00000e+00    7.65111e+22    2.80826e+20    3.06959e+14    0.00000e+00
    1.42662e-06    1.47747e+18    0.00000e+00    7.40869e+22    3.07338e+20    3.38573e+14    0.00000e+00
    1.50090e-06    2.85098e+18    0.00000e+00    7.05210e+22    3.54071e+20    3.73446e+14    0.00000e+00
    1.57905e-06    3.31879e+18    0.00000e+00    6.75231e+22    3.97734e+20    4.11911e+14    0.00000e+00
    1.66127e-06    3.10626e+18    0.00000e+00    6.40257e+22    4.19636e+20    4.54339e+14    0.00000e+00
    1.74777e-06    5.16802e+18    0.00000e+00    6.02973e+22    5.20619e+20    5.01136e+14    0.00000e+00
    1.83878e-06    6.01200e+18    0.00000e+00    5.69003e+22    5.31563e+20    5.52757e+14    0.00000e+00
    1.93452e-06    6.12067e+18    0.00000e+00    5.34931e+22    6.17674e+20    6.09690e+14    0.00000e+00
    2.03525e-06    7.97026e+18    0.00000e+00    4.95622e+22    6.54903e+20    6.72490e+14    0.00000e+00
    2.14122e-06    9.78869e+18    0.00000e+00    4.63253e+22    7.54289e+20    7.41756e+14    0.00000e+00
    2.25271e-06    1.24781e+19    0.00000e+00    4.27675e+22    8.17611e+20    8.18157e+14    0.00000e+00
    2.37001e-06    1.27567e+19    0.00000e+00    3.96140e+22    8.99496e+20    9.02432e+14    0.00000e+00
    2.49341e-06    1.61590e+19    0.00000e+00    3.63738e+22    1.01224e+21    9.95380e+14    0.00000e+00
    2.62324e-06    1.86346e+19    0.00000e+00    3.35161e+22    1.09682e+21    1.09791e+15    0.00000e+00
    2.75983e-06    2.05187e+19    0.00000e+00    3.06606e+22    1.19356e+21    1.21099e+15    0.00000e+00
    2.90353e-06    2.70229e+19    0.00000e+00    2.81447e+22    1.32711e+21    1.33573e+15    0.00000e+00
    3.05471e-06    3.22301e+19    0.00000e+00    2.54359e+22    1.46080e+21    1.47331e+15    0.00000e+00
    3.21376e-06    3.49022e+19    0.00000e+00    2.34102e+22    1.55179e+21    1.62505e+15    0.00000e+00
    3.38110e-06    4.10602e+19    0.00000e+00    2.11363e+22    1.70721e+21    1.79244e+15    0.00000e+00
    3.55715e-06    5.02596e+19    0.00000e+00    1.91684e+22    1.89407e+21    1.97706e+15    0.00000e+00
    3.74237e-06    6.01609e+19    0.00000e+00    1.74212e+22    2.01961e+21    2.18071e+15    0.00000e+00
    3.93723e-06    6.11617e+19    0.00000e+00    1.59040e+22    2.18259e+21    2.40532e+15    0.00000e+00
    4.14223e-06    7.55741e+19    0.00000e+00    1.44325e+22    2.40952e+21    2.65307e+15    0.00000e+00
    4.35791e-06    8.95040e+19    0.00000e+00    1.31349e+22    2.59739e+21    2.92633e+15    0.00000e+00
    4.58482e-06    1.01084e+20    0.00000e+00    1.19632e+22    2.74718e+21    3.22775e+15    0.00000e+00
    4.82355e-06    1.10173e+20    0.00000e+00    1.09548e+22    3.05798e+21    3.56022e+15    0.00000e+00
    5.07471e-06    1.27917e+20    0.00000e+00    1.00795e+22    3.23422e+21    3.92693e+15    0.00000e+00
    5.33894e-06    1.39278e+20    0.00000e+00    9.27989e+21    3.48368e+21    4.33140e+15    0.00000e+00
    5.61693e-06    1.59405e+20    0.00000e+00    8.58290e+21    3.73178e+21    4.77754e+15    0.00000e+00
    5.90940e-06    1.79965e+20    0.00000e+00    8.02309e+21    4.04242e+21    5.26964e+15    0.00000e+00
    6.21709e-06    2.06024e+20    0.00000e+00    7.54804e+21    4.31297e+21    5.81241e+15    0.00000e+00
