Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.05207e-06    1.09157e+19    0.00000e+00    4.27265e+20    4.27265e+20    4.27265e+20    0.00000e+00
    1.10685e-06    1.26397e+19    0.00000e+00    4.68344e+20    4.68344e+20    4.68344e+20    0.00000e+00
    1.16448e-06    1.45554e+19    0.00000e+00    5.13105e+20    5.13105e+20    5.13105e+20    0.00000e+00
    1.22511e-06    1.68141e+19    0.00000e+00    5.61763e+20    5.61763e+20    5.61763e+20    0.00000e+00
    1.28890e-06    1.93876e+19    0.00000e+00    6.14870e+20    6.14870e+20    6.14870e+20    0.00000e+00
    1.35602e-06    2.23466e+19    0.00000e+00    6.72521e+20    6.72521e+20    6.72521e+20    0.00000e+00
    1.42662e-06    2.57599e+19    0.00000e+00    7.35132e+20    7.35132e+20    7.35132e+20    0.00000e+00
    1.50090e-06    2.96722e+19    0.00000e+00    8.03182e+20    8.03182e+20    8.03182e+20    0.00000e+00
    1.57905e-06    3.41623e+19    0.00000e+00    8.76861e+20    8.76861e+20    8.76861e+20    0.00000e+00
    1.66127e-06    3.93276e+19    0.00000e+00    9.56798e+20    9.56798e+20    9.56798e+20    0.00000e+00
    1.74777e-06    4.52211e+19    0.00000e+00    1.04331e+21    1.04331e+21    1.04331e+21    0.00000e+00
    1.83878e-06    5.20088e+19    0.00000e+00    1.13675e+21    1.13675e+21    1.13675e+21    0.00000e+00
    1.93452e-06    5.97517e+19    0.00000e+00    1.23792e+21    1.23792e+21    1.23792e+21    0.00000e+00
    2.03525e-06    6.86157e+19    0.00000e+00    1.34700e+21    1.34700e+21    1.34700e+21    0.00000e+00
    2.14122e-06    7.87695e+19    0.00000e+00    1.46461e+21    1.46461e+21    1.46461e+21    0.00000e+00
    2.25271e-06    9.03652e+19    0.00000e+00    1.59142e+21    1.59142e+21    1.59142e+21    0.00000e+00
    2.37001e-06    1.03543e+20    0.00000e+00    1.72774e+21    1.72774e+21    1.72774e+21    0.00000e+00
    2.49341e-06    1.18675e+20    0.00000e+00    1.87439e+21    1.87439e+21    1.87439e+21    0.00000e+00
    2.62324e-06    1.35929e+20    0.00000e+00    2.03175e+21    2.03175e+21    2.03175e+21    0.00000e+00
    2.75983e-06    1.55441e+20    0.00000e+00    2.20021e+21    2.20021e+21    2.20021e+21    0.00000e+00
    2.90353e-06    1.77825e+20    0.00000e+00    2.38055e+21    2.38055e+21    2.38055e+21    0.00000e+00
    3.05471e-06    2.03214e+20    0.00000e+00    2.57265e+21    2.57265e+21    2.57265e+21    0.00000e+00
