Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
    1.05207e-06    4.81588e+18    0.00000e+00    2.51918e+20    2.51918e+20    2.51918e+20    0.00000e+00
    1.10685e-06    5.57060e+18    0.00000e+00    2.76819e+20    2.76819e+20    2.76819e+20    0.00000e+00
    1.16448e-06    6.41370e+18    0.00000e+00    3.04008e+20    3.04008e+20    3.04008e+20    0.00000e+00
    1.22511e-06    7.43381e+18    0.00000e+00    3.33769e+20    3.33769e+20    3.33769e+20    0.00000e+00
    1.28890e-06    8.60854e+18    0.00000e+00    3.66297e+20    3.66297e+20    3.66297e+20    0.00000e+00
    1.35602e-06    9.90599e+18    0.00000e+00    4.01756e+20    4.01756e+20    4.01756e+20    0.00000e+00
    1.42662e-06    1.14702e+19    0.00000e+00    4.40549e+20    4.40549e+20    4.40549e+20    0.00000e+00
    1.50090e-06    1.32502e+19    0.00000e+00    4.82791e+20    4.82791e+20    4.82791e+20    0.00000e+00
    1.57905e-06    1.52542e+19    0.00000e+00    5.28796e+20    5.28796e+20    5.28796e+20    0.00000e+00
    1.66127e-06    1.76463e+19    0.00000e+00    5.78974e+20    5.78974e+20    5.78974e+20    0.00000e+00
    1.74777e-06    2.03076e+19    0.00000e+00    6.33467e+20    6.33467e+20    6.33467e+20    0.00000e+00
    1.83878e-06    2.34482e+19    0.00000e+00    6.92759e+20    6.92759e+20    6.92759e+20    0.00000e+00
    1.93452e-06    2.69936e+19    0.00000e+00    7.57168e+20    7.57168e+20    7.57168e+20    0.00000e+00
    2.03525e-06    3.11057e+19    0.00000e+00    8.26944e+20    8.26944e+20    8.26944e+20    0.00000e+00
    2.14122e-06    3.57854e+19    0.00000e+00    9.02764e+20    9.02764e+20    9.02764e+20    0.00000e+00
    2.25271e-06    4.12111e+19    0.00000e+00    9.84795e+20    9.84795e+20    9.84795e+20    0.00000e+00
    2.37001e-06    4.73421e+19    0.00000e+00    1.07353e+21    1.07353e+21    1.07353e+21    0.00000e+00
    2.49341e-06    5.44646e+19    0.00000e+00    1.16959e+21    1.16959e+21    1.16959e+21    0.00000e+00
    2.62324e-06    6.25698e+19    0.00000e+00    1.27321e+21    1.27321e+21    1.27321e+21    0.00000e+00
    2.75983e-06    7.18257e+19    0.00000e+00    1.38512e+21    1.38512e+21    1.38512e+21    0.00000e+00
    2.90353e-06    8.24562e+19    0.00000e+00    1.50576e+21    1.50576e+21    1.50576e+21    0.00000e+00
    3.05471e-06    9.45601e+19    0.00000e+00    1.63553e+21    1.63553e+21    1.63553e+21    0.00000e+00
    3.21376e-06    1.08407e+20    0.00000e+00    1.77536e+21    1.77536e+21    1.77536e+21    0.00000e+00
    3.38110e-06    1.24150e+20    0.00000e+00    1.92546e+21    1.92546e+21    1.92546e+21    0.00000e+00
    3.55715e-06    1.42104e+20    0.00000e+00    2.08641e+21    2.08641e+21    2.08641e+21    0.00000e+00
    3.74237e-06    1.62642e+20    0.00000e+00    2.25891e+21    2.25891e+21    2.25891e+21    0.00000e+00
    3.93723e-06    1.85843e+20    0.00000e+00    2.44303e+21    2.44303e+21    2.44303e+21    0.00000e+00
    4.14223e-06    2.12372e+20    0.00000e+00    2.63915e+21    2.63915e+21    2.63915e+21    0.00000e+00
    4.35791e-06    2.42403e+20    0.00000e+00    2.84704e+21    2.84704e+21    2.84704e+21    0.00000e+00
    4.58482e-06    2.76423e+20    0.00000e+00    3.06612e+21    3.06612e+21    3.06612e+21    0.00000e+00
    4.82355e-06    3.14995e+20    0.00000e+00    3.29487e+21    3.29487e+21    3.29487e+21    0.00000e+00
    5.07471e-06    3.58630e+20    0.00000e+00    3.53091e+21    3.53091e+21    3.53091e+21    0.00000e+00
    5.33894e-06    4.07727e+20    0.00000e+00    3.77051e+21    3.77051e+21    3.77051e+21    0.00000e+00
    5.61693e-06    4.63092e+20    0.00000e+00    4.00605e+21    4.00605e+21    4.00605e+21    0.00000e+00
    5.90940e-06    5.25007e+20    0.00000e+00    4.23052e+21    4.23052e+21    4.23052e+21    0.00000e+00
    6.21709e-06    5.94294e+20    0.00000e+00    4.42968e+21    4.42968e+21    4.42968e+21    0.00000e+00
    6.54081e-06    6.71267e+20    0.00000e+00    4.58706e+21    4.58706e+21    4.58706e+21    0.00000e+00
    6.88138e-06    7.55877e+20    0.00000e+00    4.68839e+21    4.68839e+21    4.68839e+21    0.00000e+00
    7.23968e-06    8.48243e+20    0.00000e+00    4.70286e+21    4.70286e+21    4.70286e+21    0.00000e+00
    7.61664e-06    9.46787e+20    0.00000e+00    4.62119e+21    4.62119e+21    4.62119e+21    0.00000e+00
    8.01323e-06    1.04963e+21    0.00000e+00    4.43020e+21    4.43020e+21    4.43020e+21    0.00000e+00
    8.43047e-06    1.15209e+21    0.00000e+00    4.12177e+21    4.12177e+21    4.12177e+21    0.00000e+00
    8.86943e-06    1.24802e+21    0.00000e+00    3.71995e+21    3.71995e+21    3.71995e+21    0.00000e+00
    9.33125e-06    1.32632e+21    0.00000e+00    3.24561e+21    3.24561e+21    3.24561e+21    0.00000e+00
    9.81712e-06    1.37279e+21    0.00000e+00    2.73884e+21    2.73884e+21    2.73884e+21    0.00000e+00
    1.03283e-05    1.37561e+21    0.00000e+00    2.23377e+21    2.23377e+21    2.23377e+21    0.00000e+00
    1.08661e-05    1.31560e+21    0.00000e+00    1.76958e+21    1.76958e+21    1.76958e+21    0.00000e+00
    1.14318e-05    1.19632e+21    0.00000e+00    1.36165e+21    1.36165e+21    1.36165e+21    0.00000e+00
    1.20271e-05    1.02698e+21    0.00000e+00    1.02103e+21    1.02103e+21    1.02103e+21    0.00000e+00
    1.26533e-05    8.30733e+20    0.00000e+00    7.55635e+20    7.55635e+20    7.55635e+20    0.00000e+00
    1.33122e-05    6.35307e+20    0.00000e+00    5.50410e+20    5.50410e+20    5.50410e+20    0.00000e+00
    1.40053e-05    4.62807e+20    0.00000e+00    4.01612e+20    4.01612e+20    4.01612e+20    0.00000e+00
    1.47345e-05    3.24295e+20    0.00000e+00    2.95470e+20    2.95470e+20    2.95470e+20    0.00000e+00
    1.55018e-05    2.18583e+20    0.00000e+00    2.18401e+20    2.18401e+20    2.18401e+20    0.00000e+00
    1.63089e-05    1.46082e+20    0.00000e+00    1.62871e+20    1.62871e+20    1.62871e+20    0.00000e+00
    1.71581e-05    9.63296e+19    0.00000e+00    1.18432e+20    1.18432e+20    1.18432e+20    0.00000e+00
    1.80515e-05    6.38417e+19    0.00000e+00    8.20075e+19    8.20075e+19    8.20075e+19    0.00000e+00
    1.89914e-05    4.35438e+19    0.00000e+00    5.37721e+19    5.37721e+19    5.37721e+19    0.00000e+00
