Code,Group,Title
A0,A0,Pre-Construction Stage
A1-3,A1-3,Product Stage
A1,A1-3,Material Suppy
A2,A1-3,Transport
A3,A1-3,Manufacturing
A4-5,A4-5,Construction Process Stage
A4,A4-5,Transport
A5,A4-5,"Construction - Site Development, Deconstruction of Pre-existing, Construction Works, Installation Process"
B1-8,B1-8,Use Stage
B1,B1-8,"Use, installed products"
B2,B1-8,Maintenance
B3,B1-8,Repair
B4,B1-8,Replacement
B5,B1-8,Refurbishment
B6,B1-8,Operational Energy Use
B7,B1-8,Operational Water Use
B8,B1-8,Users' Activities
C1-4,C1-4,End of Life Stage
C1,C1-4,Deconstruction
C2,C1-4,Transport
C3,C1-4,"Waste Processing for Reuse, Recycling and Energy Recovery"
C4,C1-4,Disposal
D,D,Benefits and Loads Beyond the System Boundary
D1,D,Net Flows from Reuse - Recycling - Energy Recovery - Other Recovery
D2,D,"Exported Utilities (e.g. Electric Energy, Thermal Energy, Potable Water)"
