categorie;description;gamma_1
I;Bâtiments d'importance mineure pour la sécurité des personnes Exemple : bâtiments agricoles;0.8
II;Bâtiments courants n'appartenant pas aux autres catégories;1
III;Bâtiments dont la résistance aux séismes est importante compte tenu des conséquences d'un effondrement. Exemple : écoles, salles de réunion, institutions culturelles, etc.;1.2
IV;Bâtiments dont l'intégrité en cas de séisme est d'importance vitale pour la protection civile. Exemple : hôpitaux, casernes de pompiers, centrales électriques, etc.;1.4
