classe de sol;S;TB;TC;TD
A;1;0.03;0.2;2.5
B;1.35;0.05;0.25;2.5
C;1.5;0.06;0.4;2
D;1.6;0.1;0.6;1.5
E;1.8;0.08;0.45;1.25
