HQ-CIAO	ធអក-សផក	ធ អ ក ស ផ ក	Senior Group Chief Internal Audit Officer	គណៈប្រធាននាយិកាប្រតិបត្តិជាន់ខ្ពស់សវនកម្មផ្ទៃក្នុង
HQ-COO	ធអក-ប្រក	ធ អ ក ប្រ ក	Group Chief Operations Officer	គណៈប្រធាននាយិកាប្រតិបត្តិប្រតិបត្តិការ
HQ-CFO	ធអក-ហវ	ធ អ ក ហ វ	Senior Group Chief Financial Officer	គណៈប្រធាននាយិកាប្រតិបត្តិជាន់ខ្ពស់ហិរញ្ញវត្ថុ
HQ-CTO	ធអក-រប	ធ អ ក​ រ ប	Group Chief Treasury Officer	គណៈប្រធាននាយកប្រតិបត្តិប្រតិរតនាភិបាល
HQ-CLO	ធអក-នក	ធ អ ក ន ក	Senior Group Chief Legal Officer and Corporate Secretary	គណៈប្រធាននាយិកាប្រតិបត្តិជាន់ខ្ពស់នីតិកម្ម និងលេខាធិការក្រុមហ៊ុន
HQ-CAO	ធអក-អភក	ធ អ ក អ ភ ក	Senior Group Chief Administrative Officer	គណៈប្រធាននាយកប្រតិបត្តិជាន់ខ្ពស់អភិបាលកិច្ច
HQ-CIO	ធអក-បវព	ធ អ ក​ ប វ ព	Senior Group Chief Information Officer	គណៈប្រធាននាយកប្រតិបត្តិជាន់ខ្ពស់ព័ត៌មានវិទ្យា
HQ-CRO	ធអក-ហនភ	ធ អ ក ហ ន ភ	Group Chief Risk Officer	គណៈប្រធាននាយកប្រតិបត្តិហានិភ័យ
HQ	ធអក	ធ អ ក	President & Group Managing Director	ប្រធាននាយកប្រតិបត្តិ
COD	នអប	ន​ អ ប	Compliance Division	នាយកដ្ឋានអនុលោមបញ្ញត្តិ
CRD	នឥ	ន ឥ	Credit Division	នាយកដ្ឋានឥណទាន
CAD	នវស	ន វ ស	Credit Data Analytics Division	នាយកដ្ឋានវិភាគទិន្នន័យឥណទាន
