ម្តង	ម្ដង
គ.ស.	គ្រឹស្តសករាជ
ព.ស.	ពុទ្ធសករាជ
ពស.	ពុទ្ធសករាជ
បសស	ក_ស_ស
ប.ស.ស.	ក_ស_ស
បសស.	ក_ស_ស
ជម្រាបមក	ជំរាបមក
