categories,function,module
aggregation,Expr.count,tabsdata.tableframe.expr.expr
aggregation,Expr.first,tabsdata.tableframe.expr.expr
aggregation,Expr.last,tabsdata.tableframe.expr.expr
aggregation,Expr.len,tabsdata.tableframe.expr.expr
aggregation,Expr.max,tabsdata.tableframe.expr.expr
aggregation,Expr.mean,tabsdata.tableframe.expr.expr
aggregation,Expr.median,tabsdata.tableframe.expr.expr
aggregation,Expr.min,tabsdata.tableframe.expr.expr
aggregation,Expr.n_unique,tabsdata.tableframe.expr.expr
aggregation,Expr.rank,tabsdata.tableframe.expr.expr
aggregation,Expr.sum,tabsdata.tableframe.expr.expr
aggregation,TableFrame.group_by,tabsdata.tableframe.lazyframe.frame
aggregation,TableFrameGroupBy.count,tabsdata.tableframe.lazyframe.group_by
aggregation,TableFrameGroupBy.max,tabsdata.tableframe.lazyframe.group_by
aggregation,TableFrameGroupBy.mean,tabsdata.tableframe.lazyframe.group_by
aggregation,TableFrameGroupBy.median,tabsdata.tableframe.lazyframe.group_by
aggregation,TableFrameGroupBy.min,tabsdata.tableframe.lazyframe.group_by
aggregation,TableFrameGroupBy.n_unique,tabsdata.tableframe.lazyframe.group_by
aggregation,TableFrameGroupBy.sum,tabsdata.tableframe.lazyframe.group_by
attributes,TableFrame.dtypes,tabsdata.tableframe.lazyframe.frame
date,ExprDateTimeNameSpace.add_business_days,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.base_utc_offset,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.cast_time_unit,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.century,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.combine,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.convert_time_zone,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.date,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.datetime,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.day,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.dst_offset,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.epoch,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.hour,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.is_leap_year,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.iso_year,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.microsecond,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.millennium,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.millisecond,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.minute,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.month,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.month_end,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.month_start,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.nanosecond,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.offset_by,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.ordinal_day,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.quarter,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.replace_time_zone,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.second,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.strftime,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.time,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.timestamp,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.total_days,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.total_hours,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.total_microseconds,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.total_milliseconds,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.total_minutes,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.total_nanoseconds,tabsdata.tableframe.functions.datetime
date,ExprDateTimeNameSpace.total_seconds,tabsdata.tableframe.functions.datetime
