Genus,Species
Ambrosiodmus,minor
Ambrosiophilus,atratus
Anisandrus,dispar
Anisandrus,sayi
Cnestus,mutilatus
Coccotrypes,carpophagus
Coccotrypes,dactyliperda
Coptoborus,ricini
Cryptocarenus,heveae
Ctonoxylon,hagedorn
Cyclorhipidion,pelliculosum
Dendroctonus,rufipennis
Dendroctonus,terebrans
Dendroctonus,valens
Dryocoetes,autographus
Euplatypus,compositus
Euwallacea,fornicatus
Euwallacea,perbrevis
Euwallacea,validus
Hylastes,porculus
Hylastes,salebrosus
Hylesinus,aculeatus
Hylesinus,crenatus
Hylesinus,toranio
Hylesinus,varius
Hylurgops,palliatus
Hylurgus,ligniperda
Hypothenemus,hampei
Ips,acuminatus
Ips,avulsus
Ips,calligraphus
Ips,duplicatus
Ips,grandicollis
Ips,sexdentatus
Ips,typographus
Monarthrum,fasciatum
Monarthrum,mali
Myoplatypus,flavicornis
Orthotomicus,caelatus
Orthotomicus,erosus
Pagiocerus,frontalis
Phloeosinus,dentatus
Pityogenes,chalcographus
Pityophthorus,juglandis
Platypus,cylindrus
Platypus,koryoensis
Pycnarthrum,hispidium
Scolytodes,glaber
Scolytus,multistriatus
Scolytus,schevyrewi
Taphrorychus,bicolor
Tomicus,destruens
Trypodendron,domesticum
Xyleborinus,saxesenii
Xyleborus,affinis
Xyleborus,celsus
Xyleborus,ferrugineus
Xyleborus,glabratus
Xylosandrus,amputatus
Xylosandrus,compactus
Xylosandrus,crassiusculus
Xylosandrus,germanus
Xylosandrus,morigerus
