Z	A 	Atom	rms	RP	R	Q	R	Q	R	Q	R	Q	R	Q	R	Q	R	Q	R	Q	R	Q						
																												
1	3	H	1.76	0.8	0.0	0.035952	0.2	0.027778	0.5	0.131291	0.8	0.221551	1.2	0.253691	1.6	0.072905	2.0	0.152243	2.5	0.051564	3.0	0.053023	0.0	0.000000	0.0	0.000000	0.0	0.000000
																												
2	3	He	1.83	1.1	0.0	0.000029	0.6	0.606482	1.0	0.066077	1.3	0.000023	1.8	0.204417	2.3	0.115236	2.7	0.000001	3.2	0.006974	4.1	0.000765	0.0	0.000000	0.0	0.000000	0.0	0.000000
																												
4	4	He	1.676	1.0	0.2	0.034724	0.6	0.430761	0.9	0.203166	1.4	0.192986	1.9	0.083866	2.3	0.033007	2.6	0.014201	3.1	0.000000	3.5	0.006860	4.2	0.000000	4.9	0.000438	5.2	0.000000
																												
6	12	C	2.469	1.2	0.0	0.016690	0.4	0.050325	1.0	0.128621	1.3	0.180515	1.7	0.219097	2.3	0.278416	2.7	0.058779	3.5	0.057817	4.3	0.007739	5.4	0.002001	6.7	0.000007	0.0	0.000000
																												
8	16	O	2.711	1.3	0.4	0.057056	1.1	0.195701	1.9	0.311188	2.2	0.224321	2.7	0.059946	3.3	0.135714	4.1	0.000024	4.6	0.013961	5.3	0.000007	5.6	0.000002	5.9	0.002096	6.4	0.000002
																												
12	24	Mg	3.027	1.25	0.1	0.007372	0.6	0.061552	1.1	0.056984	1.5	0.035187	1.9	0.291692	2.6	0.228920	3.2	0.233532	4.1	0.074086	4.7	0.000002	5.2	0.010876	6.1	0.000002	7.0	0.000002
																												
14	28	Si	3.121	1.3	0.4	0.033149	1.0	0.106452	1.9	0.206866	2.4	0.286391	3.2	0.250448	3.6	0.056944	4.1	0.016829	4.6	0.039630	5.1	0.000002	5.5	0.000938	6.0	0.000002	6.9	0.002366
																												
16	32	S	3.258	1.35	0.4	0.045356	1.1	0.067478	1.7	0.172560	2.5	0.324870	3.2	0.254889	4.0	0.101799	4.6	0.022166	5.0	0.002081	5.5	0.005616	6.3	0.000020	7.3	0.000020	7.7	0.003219
																												
19	39	K	3.427	1.45	0.4	0.043308	0.9	0.036283	1.7	0.110517	2.1	0.147676	2.6	0.189541	3.2	0.274173	3.7	0.117691	4.2	0.058273	4.7	0.000006	5.5	0.021380	5.9	0.000002	6.9	0.001145
																												
20	40	Ca	3.48	1.45	0.4	0.042870	1.2	0.056020	1.8	0.167853	2.7	0.317962	3.2	0.155450	3.6	0.161897	4.3	0.053763	4.6	0.032612	5.4	0.004803	6.3	0.004541	6.6	0.000015	8.1	0.002218
																												
20	48	Ca	3.46	1.45	0.6	0.063035	1.1	0.011672	1.7	0.064201	2.1	0.203813	2.9	0.259070	3.4	0.307899	4.3	0.080585	5.2	0.008498	5.7	0.000025	6.2	0.000005	6.5	0.000004	7.4	0.001210
																												
28	58	Ni	3.772	1.45	0.5	0.035228	1.4	0.065586	2.2	0.174552	3.0	0.199916	3.4	0.232360	3.9	0.118496	4.2	0.099325	4.6	0.029860	5.2	0.044912	5.9	0.000232	6.6	0.000002	7.9	0.000010
																												
58	116	Sn	4.627	1.6	0.1	0.005727	0.7	0.009643	1.3	0.038209	1.8	0.009466	2.3	0.096665	3.1	0.097840	3.8	0.269373	4.8	0.396671	5.5	0.026390	6.1	0.048157	7.1	0.001367	8.1	0.000509
																												
50	124	Sn	4.677	1.6	0.1	0.004877	0.7	0.010685	1.3	0.030309	1.8	0.015857	2.3	0.088927	3.1	0.091917	3.8	0.257379	4.8	0.401877	5.5	0.053646	6.1	0.043193	7.1	0.001319	8.1	0.000036
																												
50	205	Tl	5.479	1.7	0.6	0.007818	1.1	0.022853	2.1	0.000084	2.6	0.105635	3.1	0.022340	3.8	0.059933	4.4	0.235874	5.0	0.000004	5.7	0.460292	6.8	0.081621	7.2	0.002761	8.6	0.000803
																												
82	206	Pb	5.49	1.7	0.6	0.010615	1.1	0.021108	2.1	0.000060	2.6	0.102206	3.1	0.023476	3.8	0.065884	4.4	0.226032	5.0	0.000005	5.7	0.459690	6.8	0.086351	7.2	0.004589	8.6	0.000011
																												
82	208	Pb	5.503	1.7	0.1	0.003845	0.7	0.009724	1.6	0.033093	2.1	0.000120	2.7	0.083107	3.5	0.080869	4.2	0.139957	5.1	0.260892	6.0	0.336013	6.6	0.033637	7.6	0.018729	8.7	0.000020
																												
