alpha_toit;Cpe;F_up;F_low;G;H;I
5;CPE 10;-2.1;-2.1;-1.8;-0.6;-0.5
5;CPE 1;-2.6;-2.4;-2;-1.2;-0.5
15;CPE 10;-2.4;-1.6;-1.9;-0.8;-0.7
15;CPE 1;-2.9;-2.4;-2.5;-1.2;-1.2
30;CPE 10;-2.1;-1.3;-1.5;-1;-0.8
30;CPE 1;-2.9;-2;-2;-1.3;-1.2
45;CPE 10;-1.5;-1.3;-1.4;-1;-0.9
45;CPE 1;-2.4;-2;-2;-1.3;-1.2
60;CPE 10;-1.2;-1.2;-1.2;-1;-0.7
60;CPE 1;-2;-2;-2;-1.3;-1.2
75;CPE 10;-1.2;-1.2;-1.2;-1;-0.5
75;CPE 1;-2;-2;-2;-1.3;-0.5
