alpha_toit;Cpe;F;G;H
5;CPE 10;-2.3;-1.3;-0.8
5;CPE 1;-2.5;-2;-1.2
15;CPE 10;-2.5;-1.3;-0.9
15;CPE 1;-2.8;-2;-1.2
30;CPE 10;-1.1;-0.8;-0.8
30;CPE 1;-2.3;-1.5;-0.8
45;CPE 10;-0.6;-0.5;-0.7
45;CPE 1;-1.3;-0.5;-0.7
60;CPE 10;-0.5;-0.5;-0.5
60;CPE 1;-1;-0.5;-0.5
75;CPE 10;-0.5;-0.5;-0.5
75;CPE 1;-1;-0.5;-0.5
