Type;Rapport;Cpe;F;G;H;I-;I+
Rives vives;;CPE 10;-1.8;-1.2;-0.7;-0.2;0.2
Rives vives;;CPE 1;-2.5;-2;-1.2;-0.2;0.2
Acroteres;0.025;CPE 10;-1.6;-1.1;-0.7;-0.2;0.2
Acroteres;0.025;CPE 1;-2.2;-1.8;-1.2;-0.2;0.2
Acroteres;0.05;CPE 10;-1.4;-0.9;-0.7;-0.2;0.2
Acroteres;0.05;CPE 1;-2;-1.6;-1.2;-0.2;0.2
Acroteres;0.1;CPE 10;-1.2;-0.8;-0.7;-0.2;0.2
Acroteres;0.1;CPE 1;-1.8;-1.4;-1.2;-0.2;0.2
Rives arrondies;0.05;CPE 10;-1;-1.2;-0.4;-0.2;0.2
Rives arrondies;0.05;CPE 1;-1.5;-1.8;-0.4;-0.2;0.2
Rives arrondies;0.1;CPE 10;-0.7;-0.8;-0.3;-0.2;0.2
Rives arrondies;0.1;CPE 1;-1.2;-1.4;-0.3;-0.2;0.2
Rives arrondies;0.2;CPE 10;-0.5;-0.5;-0.3;-0.2;0.2
Rives arrondies;0.2;CPE 1;-0.8;-0.8;-0.3;-0.2;0.2
Brisis mansard;30;CPE 10;-1;-1;-0.3;-0.2;0.2
Brisis mansard;30;CPE 1;-1.5;-1.5;-0.3;-0.2;0.2
Brisis mansard;45;CPE 10;-1.2;-1.3;-0.4;-0.2;0.2
Brisis mansard;45;CPE 1;-1.8;-1.9;-0.4;-0.2;0.2
Brisis mansard;60;CPE 10;-1.3;-1.3;-0.5;-0.2;0.2
Brisis mansard;60;CPE 1;-1.9;-1.9;-0.5;-0.2;0.2
