alpha_toit;Cpe;F-;G-;H-;I-;J-;F+;G+;H+;I+;J+
-45;CPE 10;-0.6;-0.6;-0.8;-0.7;-1;;;;;
-45;CPE 1;-0.6;-0.6;-0.8;-0.7;-1.5;;;;;
-30;CPE 10;-1.1;-0.8;-0.8;-0.6;-0.8;;;;;
-30;CPE 1;-2;-1.5;-0.8;-0.6;-1.4;;;;;
-15;CPE 10;-2.5;-1.3;-0.9;-0.5;-0.7;;;;;
-15;CPE 1;-2.8;-2;-1.2;-0.5;-1.2;;;;;
-5;CPE 10;-2.3;-1.2;-0.8;-0.6;-0.6;;;;0.2;0.2
-5;CPE 1;-2.5;-2;-1.2;-1.6;-0.6;;;;0.2;0.2
5;CPE 10;-1.7;-1.2;-0.6;-0.6;-0.6;0;0;0;0.2;0.2
5;CPE 1;-2.5;-2;-1.2;-0.6;-0.6;0;0;0;0.2;0.2
15;CPE 10;-0.9;-0.8;-0.3;-0.4;-1;0.2;0.2;0.2;0;0
15;CPE 1;-2;-1.5;-0.3;-0.4;-1.5;0.2;0.2;0.2;0;0
30;CPE 10;-0.5;-0.5;-0.2;-0.4;-0.5;0.7;0.7;0.4;0;0
30;CPE 1;-1.5;-1.5;-0.2;-0.4;-0.5;0.7;0.7;0.4;0;0
45;CPE 10;-0;-0;-0;-0.2;-0.3;0.7;0.7;0.6;0;0
45;CPE 1;-0;-0;-0;-0.2;-0.3;0.7;0.7;0.6;0;0
60;CPE 10;;;;-0.2;-0.3;0.7;0.7;0.7;;
60;CPE 1;;;;-0.2;-0.3;0.7;0.7;0.7;;
75;CPE 10;;;;-0.2;-0.3;0.8;0.8;0.8;;
75;CPE 1;;;;-0.2;-0.3;0.8;0.8;0.8;;
