0 1 2 3 4 5 6
0 4 7 9 10 22 25
0 4 8 12 28 29 31
0 4 9 11 23 29 30
0 4 13 19 27 32 33
0 4 14 15 16 18 24
0 17 19 20 21 26 33
1 7 8 16 23 26 32
1 9 18 25 27 31 33
1 10 14 15 17 20 29
1 11 12 13 14 21 22
1 15 19 22 24 28 30
2 6 16 22 27 29 33
2 7 13 15 21 23 31
2 8 9 14 19 21 24
2 10 11 18 26 28 32
2 12 16 17 20 25 30
3 7 12 18 19 21 29
3 8 11 15 25 27 33
3 9 13 16 17 20 28
3 10 12 23 24 27 33
3 14 22 26 30 31 32
4 17 20 21 26 27 32
5 6 9 12 15 26 32
5 7 14 27 28 30 33
5 8 17 18 20 22 23
5 10 11 16 19 21 31
5 13 24 25 26 29 32
6 7 11 17 20 24 31
6 8 10 13 18 21 30
6 14 19 21 23 25 28
