0 1 2 3 4 5 6 7 8
0 3 7 16 21 23 27 30 34
0 7 9 14 19 20 25 28 29
0 7 10 17 18 22 24 26 32
0 7 11 12 13 15 24 31 33
1 4 9 10 15 16 18 26 33
1 4 10 11 13 20 27 29 34
1 4 12 14 17 22 23 28 31
1 4 19 21 23 24 25 30 32
2 5 9 12 23 27 31 32 34
2 5 9 16 17 20 22 24 29
2 5 10 14 15 21 28 30 33
2 5 11 13 18 19 23 25 26
3 6 8 10 12 16 19 25 31
3 9 11 13 14 16 24 28 32
3 12 18 20 21 26 29 30 31
3 15 17 19 22 25 27 33 34
6 8 9 11 13 17 21 22 30
6 8 10 15 20 23 29 32 33
6 8 14 18 24 26 27 28 34
