0 1 2 3 4 5 6 7 8 9
0 8 10 12 18 23 24 30 32 46
0 8 11 13 20 26 27 28 42 47
0 8 14 16 19 21 22 25 39 49
0 8 15 29 33 34 36 41 44 45
0 8 17 31 35 37 38 40 43 48
1 4 10 24 25 26 27 31 37 45
1 4 11 14 15 18 21 23 43 48
1 4 12 13 22 35 40 41 44 49
1 4 16 17 20 33 34 38 46 47
1 4 19 28 29 30 32 36 39 42
2 5 10 14 20 21 24 41 44 47
2 5 11 25 30 32 33 34 35 40
2 5 12 15 17 19 26 27 38 39
2 5 13 16 18 23 29 31 36 37
2 5 22 28 42 43 45 46 48 49
3 7 11 12 13 15 16 25 45 46
3 10 11 17 22 24 29 36 38 49
3 12 14 21 28 31 33 34 37 42
3 16 26 27 30 32 41 43 44 48
3 18 19 20 23 35 39 40 45 47
6 9 10 15 16 24 28 35 40 42
6 9 11 19 31 37 39 41 44 46
6 9 12 20 25 29 36 43 47 48
6 9 13 14 17 21 30 32 38 45
6 9 18 22 23 26 27 33 34 49
7 10 13 19 24 33 34 39 43 48
7 14 21 26 27 29 35 36 40 46
7 15 20 22 30 31 32 37 47 49
7 17 18 23 25 28 38 41 42 44
