0 1 2 3 4 5 6
0 7 14 21 28 35 42
0 8 16 24 32 40 46
0 9 18 27 29 38 46
0 10 20 23 33 36 46
0 11 15 26 30 41 45
0 12 17 22 34 39 44
0 13 19 25 31 37 43
1 7 20 26 32 38 44
1 8 15 22 29 36 43
1 9 17 25 33 41 42
1 10 19 21 30 39 46
1 11 14 24 34 37 46
1 12 16 27 31 35 46
1 13 18 23 28 40 45
2 7 19 24 29 41 46
2 8 14 27 33 39 45
2 9 16 23 30 37 44
2 10 18 26 34 35 43
2 11 20 22 31 40 42
2 12 15 25 28 38 46
2 13 17 21 32 36 46
3 7 18 22 33 37 46
3 8 20 25 30 35 46
3 9 15 21 34 40 46
3 10 17 24 31 38 45
3 11 19 27 28 36 44
3 12 14 23 32 41 43
3 13 16 26 29 39 42
4 7 17 27 30 40 43
4 8 19 23 34 38 42
4 9 14 26 31 36 46
4 10 16 22 28 41 46
4 11 18 25 32 39 46
4 12 20 21 29 37 45
4 13 15 24 33 35 44
5 7 16 25 34 36 45
5 8 18 21 31 41 44
5 9 20 24 28 39 43
5 10 15 27 32 37 42
5 11 17 23 29 35 46
5 12 19 26 33 40 46
5 13 14 22 30 38 46
6 7 15 23 31 39 46
6 8 17 26 28 37 46
6 9 19 22 32 35 45
6 10 14 25 29 40 44
6 11 16 21 33 38 43
6 12 18 24 30 36 42
6 13 20 27 34 41 46
7 8 9 10 11 12 13
14 15 16 17 18 19 20
21 22 23 24 25 26 27
28 29 30 31 32 33 34
35 36 37 38 39 40 41
40 41 42 43 44 45 46
