0 1 2 3 4 5 6 7 8
0 1 6 13 22 26 28 34 40
0 1 6 14 16 20 24 25 27
0 6 9 17 18 19 31 32 37
0 6 10 11 12 15 23 38 39
0 6 21 28 29 30 33 35 36
1 8 10 16 26 31 32 35 36
1 8 11 15 17 24 26 30 33
1 8 12 19 21 23 29 34 37
1 9 16 18 21 24 29 38 39
2 9 12 18 23 24 25 26 31
2 9 16 19 22 28 30 33 37
2 10 13 19 20 24 27 37 40
2 11 13 14 15 21 29 32 40
2 17 20 27 34 35 36 38 39
3 7 9 10 14 18 30 33 34
3 7 11 15 19 25 35 36 37
3 7 12 13 14 16 17 23 40
3 7 20 21 25 26 27 29 31
3 7 22 24 28 32 34 38 39
4 5 8 14 19 26 37 38 39
4 5 9 13 18 24 35 36 40
4 5 10 17 21 22 25 28 29
4 5 11 15 16 25 31 32 34
4 5 12 20 23 27 30 32 33
8 9 11 15 18 20 22 27 28
8 13 25 30 31 33 38 39 40
12 14 22 23 24 28 31 35 36
