0 1 2 3
0 1 4 5
0 1 6 7
0 1 8 9
0 10 11 12
0 13 14 15
0 16 17 18
0 19 20 21
0 22 74 85
0 23 34 63
0 24 36 53
0 25 77 88
0 26 37 66
0 27 50 73
0 28 39 45
0 29 41 58
0 30 70 82
0 31 42 48
0 32 44 61
0 33 56 79
0 35 75 87
0 38 78 90
0 40 69 80
0 43 72 83
0 46 57 86
0 47 59 76
0 49 60 89
0 51 62 68
0 52 64 81
0 54 65 71
0 55 67 84
1 10 13 16
1 11 14 19
1 12 17 20
1 15 18 21
1 22 34 51
1 23 75 86
1 24 35 64
1 25 37 54
1 26 78 89
1 27 39 56
1 28 68 80
1 29 40 46
1 30 42 59
1 31 71 83
1 32 43 49
1 33 73 85
1 36 76 88
1 38 61 84
1 41 70 81
1 44 67 90
1 45 57 74
1 47 58 87
1 48 60 77
1 50 62 79
1 52 63 69
1 53 65 82
1 55 66 72
2 4 10 15
2 5 12 14
2 6 11 17
2 7 13 21
2 8 16 19
2 9 18 20
2 22 33 62
2 23 35 52
2 24 76 87
2 25 36 65
2 26 49 72
2 27 38 67
2 28 40 57
2 29 69 81
2 30 41 47
2 31 43 60
2 32 55 78
2 34 74 86
2 37 77 89
2 39 68 79
2 42 71 82
2 44 73 84
2 45 56 85
2 46 58 75
2 48 59 88
2 50 61 90
2 51 63 80
2 53 64 70
2 54 66 83
3 4 17 19
3 5 16 21
3 6 10 18
3 7 14 20
3 8 11 13
3 9 12 15
3 22 45 68
3 23 46 69
3 24 47 70
3 25 48 71
3 26 38 55
3 27 79 90
3 28 51 74
3 29 52 75
3 30 53 76
3 31 54 77
3 32 72 84
3 33 44 50
3 34 57 80
3 35 58 81
3 36 59 82
3 37 60 83
3 39 62 85
3 40 63 86
3 41 64 87
3 42 65 88
3 43 66 89
3 49 61 78
3 56 67 73
4 6 13 20
4 7 12 16
4 8 14 18
4 9 11 21
4 22 24 48
4 23 72 74
4 25 27 51
4 26 75 77
4 28 30 54
4 29 78 80
4 31 33 57
4 32 81 83
4 34 59 84
4 35 60 85
4 36 38 62
4 37 86 88
4 39 41 65
4 40 68 89
4 42 44 45
4 43 69 71
4 46 67 70
4 47 49 73
4 50 52 76
4 53 55 79
4 56 58 82
4 61 63 87
4 64 66 90
5 6 15 19
5 7 11 18
5 8 10 20
5 9 13 17
5 22 43 46
5 23 25 49
5 24 73 75
5 26 28 52
5 27 76 78
5 29 31 55
5 30 79 81
5 32 57 82
5 33 58 83
5 34 36 60
5 35 84 86
5 37 39 63
5 38 87 89
5 40 42 66
5 41 69 90
5 44 70 72
5 45 47 71
5 48 50 74
5 51 53 77
5 54 56 80
5 59 61 85
5 62 64 88
5 65 67 68
6 8 12 21
6 9 14 16
6 22 71 73
6 23 44 47
6 24 26 50
6 25 74 76
6 27 29 53
6 28 77 79
6 30 55 80
6 31 56 81
6 32 34 58
6 33 82 84
6 35 37 61
6 36 85 87
6 38 40 64
6 39 88 90
6 41 43 67
6 42 68 70
6 45 66 69
6 46 48 72
6 49 51 75
6 52 54 78
6 57 59 83
6 60 62 86
6 63 65 89
7 8 15 17
7 9 10 19
7 22 47 72
7 23 48 73
7 24 49 74
7 25 50 75
7 26 51 76
7 27 52 77
7 28 53 78
7 29 54 79
7 30 32 56
7 31 80 82
7 33 35 59
7 34 83 85
7 36 61 86
7 37 62 87
7 38 63 88
7 39 64 89
7 40 65 90
7 41 66 68
7 42 67 69
7 43 45 70
7 44 46 71
7 55 57 81
7 58 60 84
8 22 55 88
8 23 56 89
8 24 57 90
8 25 58 68
8 26 59 69
8 27 60 70
8 28 61 71
8 29 62 72
8 30 63 73
8 31 64 74
8 32 65 75
8 33 66 76
8 34 67 77
8 35 45 78
8 36 46 79
8 37 47 80
8 38 48 81
8 39 49 82
8 40 50 83
8 41 51 84
8 42 52 85
8 43 53 86
8 44 54 87
9 22 56 90
9 23 57 68
9 24 58 69
9 25 59 70
9 26 60 71
9 27 61 72
9 28 62 73
9 29 63 74
9 30 64 75
9 31 65 76
9 32 66 77
9 33 67 78
9 34 45 79
9 35 46 80
9 36 47 81
9 37 48 82
9 38 49 83
9 39 50 84
9 40 51 85
9 41 52 86
9 42 53 87
9 43 54 88
9 44 55 89
10 14 17 21
10 22 61 81
10 23 62 82
10 24 63 83
10 25 64 84
10 26 65 85
10 27 66 86
10 28 67 87
10 29 45 88
10 30 46 89
10 31 47 90
10 32 48 68
10 33 49 69
10 34 50 70
10 35 51 71
10 36 52 72
10 37 53 73
10 38 54 74
10 39 55 75
10 40 56 76
10 41 57 77
10 42 58 78
10 43 59 79
10 44 60 80
11 15 16 20
11 22 63 77
11 23 64 78
11 24 65 79
11 25 66 80
11 26 67 81
11 27 45 82
11 28 46 83
11 29 47 84
11 30 48 85
11 31 49 86
11 32 50 87
11 33 51 88
11 34 52 89
11 35 53 90
11 36 54 68
11 37 55 69
11 38 56 70
11 39 57 71
11 40 58 72
11 41 59 73
11 42 60 74
11 43 61 75
11 44 62 76
12 13 18 19
12 22 49 84
12 23 50 85
12 24 51 86
12 25 52 87
12 26 53 88
12 27 54 89
12 28 55 90
12 29 56 68
12 30 57 69
12 31 58 70
12 32 59 71
12 33 60 72
12 34 61 73
12 35 62 74
12 36 63 75
12 37 64 76
12 38 65 77
12 39 66 78
12 40 67 79
12 41 45 80
12 42 46 81
12 43 47 82
12 44 48 83
13 22 52 79
13 23 53 80
13 24 54 81
13 25 55 82
13 26 56 83
13 27 57 84
13 28 58 85
13 29 59 86
13 30 60 87
13 31 61 88
13 32 62 89
13 33 63 90
13 34 64 68
13 35 65 69
13 36 66 70
13 37 67 71
13 38 45 72
13 39 46 73
13 40 47 74
13 41 48 75
13 42 49 76
13 43 50 77
13 44 51 78
14 22 58 89
14 23 59 90
14 24 60 68
14 25 61 69
14 26 62 70
14 27 63 71
14 28 64 72
14 29 65 73
14 30 66 74
14 31 67 75
14 32 45 76
14 33 46 77
14 34 47 78
14 35 48 79
14 36 49 80
14 37 50 81
14 38 51 82
14 39 52 83
14 40 53 84
14 41 54 85
14 42 55 86
14 43 56 87
14 44 57 88
15 22 65 70
15 23 66 71
15 24 67 72
15 25 45 73
15 26 46 74
15 27 47 75
15 28 48 76
15 29 49 77
15 30 50 78
15 31 51 79
15 32 52 80
15 33 53 81
15 34 54 82
15 35 55 83
15 36 56 84
15 37 57 85
15 38 58 86
15 39 59 87
15 40 60 88
15 41 61 89
15 42 62 90
15 43 63 68
15 44 64 69
16 22 50 86
16 23 51 87
16 24 52 88
16 25 53 89
16 26 54 90
16 27 55 68
16 28 56 69
16 29 57 70
16 30 58 71
16 31 59 72
16 32 60 73
16 33 61 74
16 34 62 75
16 35 63 76
16 36 64 77
16 37 65 78
16 38 66 79
16 39 67 80
16 40 45 81
16 41 46 82
16 42 47 83
16 43 48 84
16 44 49 85
17 22 53 83
17 23 54 84
17 24 55 85
17 25 56 86
17 26 57 87
17 27 58 88
17 28 59 89
17 29 60 90
17 30 61 68
17 31 62 69
17 32 63 70
17 33 64 71
17 34 65 72
17 35 66 73
17 36 67 74
17 37 45 75
17 38 46 76
17 39 47 77
17 40 48 78
17 41 49 79
17 42 50 80
17 43 51 81
17 44 52 82
18 22 66 87
18 23 67 88
18 24 45 89
18 25 46 90
18 26 47 68
18 27 48 69
18 28 49 70
18 29 50 71
18 30 51 72
18 31 52 73
18 32 53 74
18 33 54 75
18 34 55 76
18 35 56 77
18 36 57 78
18 37 58 79
18 38 59 80
18 39 60 81
18 40 61 82
18 41 62 83
18 42 63 84
18 43 64 85
18 44 65 86
19 22 64 80
19 23 65 81
19 24 66 82
19 25 67 83
19 26 45 84
19 27 46 85
19 28 47 86
19 29 48 87
19 30 49 88
19 31 50 89
19 32 51 90
19 33 52 68
19 34 53 69
19 35 54 70
19 36 55 71
19 37 56 72
19 38 57 73
19 39 58 74
19 40 59 75
19 41 60 76
19 42 61 77
19 43 62 78
19 44 63 79
20 22 57 75
20 23 58 76
20 24 59 77
20 25 60 78
20 26 61 79
20 27 62 80
20 28 63 81
20 29 64 82
20 30 65 83
20 31 66 84
20 32 67 85
20 33 45 86
20 34 46 87
20 35 47 88
20 36 48 89
20 37 49 90
20 38 50 68
20 39 51 69
20 40 52 70
20 41 53 71
20 42 54 72
20 43 55 73
20 44 56 74
21 22 59 78
21 23 60 79
21 24 61 80
21 25 62 81
21 26 63 82
21 27 64 83
21 28 65 84
21 29 66 85
21 30 67 86
21 31 45 87
21 32 46 88
21 33 47 89
21 34 48 90
21 35 49 68
21 36 50 69
21 37 51 70
21 38 52 71
21 39 53 72
21 40 54 73
21 41 55 74
21 42 56 75
21 43 57 76
21 44 58 77
22 23 26 31
22 25 30 44
22 27 41 42
22 28 35 82
22 29 39 76
22 32 38 69
22 36 37 40
22 54 60 67
23 24 27 32
23 28 42 43
23 29 36 83
23 30 40 77
23 33 39 70
23 37 38 41
23 45 55 61
24 25 28 33
24 29 43 44
24 30 37 84
24 31 41 78
24 34 40 71
24 38 39 42
24 46 56 62
25 26 29 34
25 31 38 85
25 32 42 79
25 35 41 72
25 39 40 43
25 47 57 63
26 27 30 35
26 32 39 86
26 33 43 80
26 36 42 73
26 40 41 44
26 48 58 64
27 28 31 36
27 33 40 87
27 34 44 81
27 37 43 74
27 49 59 65
28 29 32 37
28 34 41 88
28 38 44 75
28 50 60 66
29 30 33 38
