0 1 2 3 4 5
0 1 2 3 4 96
0 6 7 8 9 10
0 11 12 13 14 15
0 16 17 18 19 20
0 21 22 23 24 25
0 26 27 28 29 30
0 31 32 33 34 35
0 36 37 38 39 40
0 41 42 43 44 45
0 46 47 48 49 50
0 51 52 53 54 55
0 56 57 58 59 60
0 61 62 63 64 65
0 66 67 68 69 70
0 71 72 73 74 75
0 76 77 78 79 80
0 81 82 83 84 85
0 86 87 88 89 90
0 91 92 93 94 95
1 2 3 7 27 57
1 4 11 39 50 86
1 5 25 55 95 96
1 6 8 26 34 85
1 9 23 36 74 78
1 10 16 19 53 82
1 12 48 59 62 69
1 13 18 20 38 46
1 14 52 56 75 83
1 15 28 66 70 89
1 17 33 49 65 81
1 21 51 91 92 93
1 22 32 44 61 84
1 24 37 58 68 80
1 29 40 76 87 90
1 30 45 54 60 63
1 31 71 72 73 77
1 35 64 79 88 94
1 41 42 43 47 67
2 4 22 30 81 93
2 5 39 68 83 92
2 6 25 33 47 60
2 8 11 45 74 89
2 9 37 48 84 95
2 10 61 73 78 80
2 12 24 41 64 77
2 13 16 23 51 62
2 14 31 54 67 88
2 15 36 46 58 75
2 17 26 32 35 69
2 18 34 50 66 82
2 19 42 55 76 86
2 20 28 79 91 96
2 21 29 43 56 94
2 38 49 52 59 87
2 40 44 63 71 85
2 53 65 70 72 90
3 4 5 9 29 59
3 6 13 41 52 88
3 8 10 28 36 87
3 11 25 38 76 80
3 12 18 21 55 84
3 14 50 61 64 71
3 15 20 22 40 48
3 16 54 58 77 85
3 17 30 68 72 91
3 19 35 51 67 83
3 23 53 93 94 95
3 24 34 46 63 86
3 26 39 60 70 82
3 31 42 78 89 92
3 32 47 56 62 65
3 33 73 74 75 79
3 37 66 81 90 96
3 43 44 45 49 69
4 6 24 32 83 95
4 7 41 70 85 94
4 8 27 35 49 62
4 10 13 47 76 91
4 12 63 75 80 82
4 14 26 43 66 79
4 15 18 25 53 64
4 16 33 56 69 90
4 17 38 48 60 77
4 19 28 34 37 71
4 20 36 52 68 84
4 21 44 57 78 88
4 23 31 45 58 96
4 40 51 54 61 89
4 42 46 65 73 87
4 55 67 72 74 92
5 6 7 11 31 61
5 8 15 43 54 90
5 10 12 30 38 89
5 13 27 40 78 82
5 14 20 23 57 86
5 16 52 63 66 73
5 17 22 24 42 50
5 18 56 60 79 87
5 19 32 70 74 93
5 21 37 53 69 85
5 26 36 48 65 88
5 28 41 62 72 84
5 33 44 80 91 94
5 34 49 58 64 67
5 35 75 76 77 81
5 45 46 47 51 71
6 9 43 72 87 96
6 10 29 37 51 64
6 12 15 49 78 93
6 14 65 77 82 84
6 16 28 45 68 81
6 17 20 27 55 66
6 18 35 58 71 92
6 19 40 50 62 79
6 21 30 36 39 73
6 22 38 54 70 86
6 23 46 59 80 90
6 42 53 56 63 91
6 44 48 67 75 89
6 57 69 74 76 94
7 8 9 13 33 63
