0 1 2 3 4
0 5 6 7 8
0 9 10 11 12
0 13 14 15 16
0 17 18 95 96
0 19 38 57 76
0 20 39 58 77
0 21 40 59 78
0 22 41 60 79
0 23 42 61 80
0 24 43 62 81
0 25 44 63 82
0 26 45 64 83
0 27 46 65 84
0 28 47 66 85
0 29 48 67 86
0 30 49 68 87
0 31 50 69 88
0 32 51 70 89
0 33 52 71 90
0 34 53 72 91
0 35 54 73 92
0 36 55 74 93
0 37 56 75 94
1 5 9 13 17
1 6 10 14 18
1 7 11 15 95
1 8 12 16 96
1 19 56 74 92
1 20 38 75 93
1 21 39 57 94
1 22 40 58 76
1 23 41 59 77
1 24 42 60 78
1 25 43 61 79
1 26 44 62 80
1 27 45 63 81
1 28 46 64 82
1 29 47 65 83
1 30 48 66 84
1 31 49 67 85
1 32 50 68 86
1 33 51 69 87
1 34 52 70 88
1 35 53 71 89
1 36 54 72 90
1 37 55 73 91
2 5 10 15 96
2 6 9 16 95
2 7 12 13 18
2 8 11 14 17
2 19 55 72 89
2 20 56 73 90
2 21 38 74 91
2 22 39 75 92
2 23 40 57 93
2 24 41 58 94
2 25 42 59 76
2 26 43 60 77
2 27 44 61 78
2 28 45 62 79
2 29 46 63 80
2 30 47 64 81
2 31 48 65 82
2 32 49 66 83
2 33 50 67 84
2 34 51 68 85
2 35 52 69 86
2 36 53 70 87
2 37 54 71 88
3 5 11 16 18
3 6 12 15 17
3 7 9 14 96
3 8 10 13 95
3 19 54 70 86
3 20 55 71 87
3 21 56 72 88
3 22 38 73 89
3 23 39 74 90
3 24 40 75 91
3 25 41 57 92
3 26 42 58 93
3 27 43 59 94
3 28 44 60 76
3 29 45 61 77
3 30 46 62 78
3 31 47 63 79
3 32 48 64 80
3 33 49 65 81
3 34 50 66 82
3 35 51 67 83
3 36 52 68 84
3 37 53 69 85
4 5 12 14 95
4 6 11 13 96
4 7 10 16 17
4 8 9 15 18
4 19 53 68 83
4 20 54 69 84
4 21 55 70 85
4 22 56 71 86
4 23 38 72 87
4 24 39 73 88
4 25 40 74 89
4 26 41 75 90
4 27 42 57 91
4 28 43 58 92
4 29 44 59 93
4 30 45 60 94
4 31 46 61 76
4 32 47 62 77
4 33 48 63 78
4 34 49 64 79
4 35 50 65 80
4 36 51 66 81
4 37 52 67 82
5 19 52 66 80
5 20 53 67 81
5 21 54 68 82
5 22 55 69 83
5 23 56 70 84
5 24 38 71 85
5 25 39 72 86
5 26 40 73 87
5 27 41 74 88
5 28 42 75 89
5 29 43 57 90
5 30 44 58 91
5 31 45 59 92
5 32 46 60 93
5 33 47 61 94
5 34 48 62 76
5 35 49 63 77
5 36 50 64 78
5 37 51 65 79
6 19 51 64 77
6 20 52 65 78
6 21 53 66 79
6 22 54 67 80
6 23 55 68 81
6 24 56 69 82
6 25 38 70 83
6 26 39 71 84
6 27 40 72 85
6 28 41 73 86
6 29 42 74 87
6 30 43 75 88
6 31 44 57 89
6 32 45 58 90
6 33 46 59 91
6 34 47 60 92
6 35 48 61 93
6 36 49 62 94
6 37 50 63 76
7 19 50 62 93
7 20 51 63 94
7 21 52 64 76
7 22 53 65 77
7 23 54 66 78
7 24 55 67 79
7 25 56 68 80
7 26 38 69 81
7 27 39 70 82
7 28 40 71 83
7 29 41 72 84
7 30 42 73 85
7 31 43 74 86
7 32 44 75 87
7 33 45 57 88
7 34 46 58 89
7 35 47 59 90
7 36 48 60 91
7 37 49 61 92
8 19 49 60 90
8 20 50 61 91
8 21 51 62 92
8 22 52 63 93
8 23 53 64 94
8 24 54 65 76
8 25 55 66 77
8 26 56 67 78
8 27 38 68 79
8 28 39 69 80
8 29 40 70 81
8 30 41 71 82
8 31 42 72 83
8 32 43 73 84
8 33 44 74 85
8 34 45 75 86
8 35 46 57 87
8 36 47 58 88
8 37 48 59 89
9 19 48 58 87
9 20 49 59 88
9 21 50 60 89
9 22 51 61 90
9 23 52 62 91
9 24 53 63 92
9 25 54 64 93
9 26 55 65 94
9 27 56 66 76
9 28 38 67 77
9 29 39 68 78
9 30 40 69 79
9 31 41 70 80
9 32 42 71 81
9 33 43 72 82
9 34 44 73 83
9 35 45 74 84
9 36 46 75 85
9 37 47 57 86
10 19 47 75 84
10 20 48 57 85
10 21 49 58 86
10 22 50 59 87
10 23 51 60 88
10 24 52 61 89
10 25 53 62 90
10 26 54 63 91
10 27 55 64 92
10 28 56 65 93
10 29 38 66 94
10 30 39 67 76
10 31 40 68 77
10 32 41 69 78
10 33 42 70 79
10 34 43 71 80
10 35 44 72 81
10 36 45 73 82
10 37 46 74 83
11 19 46 73 81
11 20 47 74 82
11 21 48 75 83
11 22 49 57 84
11 23 50 58 85
11 24 51 59 86
11 25 52 60 87
11 26 53 61 88
11 27 54 62 89
11 28 55 63 90
11 29 56 64 91
11 30 38 65 92
11 31 39 66 93
11 32 40 67 94
11 33 41 68 76
11 34 42 69 77
11 35 43 70 78
11 36 44 71 79
11 37 45 72 80
12 19 45 71 78
12 20 46 72 79
12 21 47 73 80
12 22 48 74 81
12 23 49 75 82
12 24 50 57 83
12 25 51 58 84
12 26 52 59 85
12 27 53 60 86
12 28 54 61 87
12 29 55 62 88
12 30 56 63 89
12 31 38 64 90
12 32 39 65 91
12 33 40 66 92
12 34 41 67 93
12 35 42 68 94
12 36 43 69 76
12 37 44 70 77
13 19 44 69 94
13 20 45 70 76
13 21 46 71 77
13 22 47 72 78
13 23 48 73 79
13 24 49 74 80
13 25 50 75 81
13 26 51 57 82
13 27 52 58 83
13 28 53 59 84
13 29 54 60 85
13 30 55 61 86
13 31 56 62 87
13 32 38 63 88
13 33 39 64 89
13 34 40 65 90
13 35 41 66 91
13 36 42 67 92
13 37 43 68 93
14 19 43 67 91
14 20 44 68 92
14 21 45 69 93
14 22 46 70 94
14 23 47 71 76
14 24 48 72 77
14 25 49 73 78
14 26 50 74 79
14 27 51 75 80
14 28 52 57 81
14 29 53 58 82
14 30 54 59 83
14 31 55 60 84
14 32 56 61 85
14 33 38 62 86
14 34 39 63 87
14 35 40 64 88
14 36 41 65 89
14 37 42 66 90
15 19 42 65 88
15 20 43 66 89
15 21 44 67 90
15 22 45 68 91
15 23 46 69 92
15 24 47 70 93
15 25 48 71 94
15 26 49 72 76
15 27 50 73 77
15 28 51 74 78
15 29 52 75 79
15 30 53 57 80
15 31 54 58 81
15 32 55 59 82
15 33 56 60 83
15 34 38 61 84
15 35 39 62 85
15 36 40 63 86
15 37 41 64 87
16 19 41 63 85
16 20 42 64 86
16 21 43 65 87
16 22 44 66 88
16 23 45 67 89
16 24 46 68 90
16 25 47 69 91
16 26 48 70 92
16 27 49 71 93
16 28 50 72 94
16 29 51 73 76
16 30 52 74 77
16 31 53 75 78
16 32 54 57 79
16 33 55 58 80
16 34 56 59 81
16 35 38 60 82
16 36 39 61 83
16 37 40 62 84
17 19 40 61 82
17 20 41 62 83
17 21 42 63 84
17 22 43 64 85
17 23 44 65 86
17 24 45 66 87
17 25 46 67 88
17 26 47 68 89
17 27 48 69 90
17 28 49 70 91
17 29 50 71 92
17 30 51 72 93
17 31 52 73 94
17 32 53 74 76
17 33 54 75 77
17 34 55 57 78
17 35 56 58 79
17 36 38 59 80
17 37 39 60 81
18 19 39 59 79
18 20 40 60 80
18 21 41 61 81
18 22 42 62 82
18 23 43 63 83
18 24 44 64 84
18 25 45 65 85
18 26 46 66 86
18 27 47 67 87
18 28 48 68 88
18 29 49 69 89
18 30 50 70 90
18 31 51 71 91
18 32 52 72 92
18 33 53 73 93
18 34 54 74 94
18 35 55 75 76
18 36 56 57 77
18 37 38 58 78
19 20 21 22 23
19 24 25 26 27
19 28 29 30 31
19 32 33 34 35
19 36 37 95 96
20 24 28 32 36
20 25 29 33 37
20 26 30 34 95
20 27 31 35 96
21 24 29 34 96
21 25 28 35 95
21 26 31 32 37
21 27 30 33 36
22 24 30 35 37
22 25 31 34 36
22 26 28 33 96
22 27 29 32 95
23 24 31 33 95
23 25 30 32 96
23 26 29 35 36
23 27 28 34 37
38 39 40 41 42
38 43 44 45 46
38 47 48 49 50
38 51 52 53 54
38 55 56 95 96
39 43 47 51 55
39 44 48 52 56
39 45 49 53 95
39 46 50 54 96
40 43 48 53 96
40 44 47 54 95
40 45 50 51 56
40 46 49 52 55
41 43 49 54 56
41 44 50 53 55
41 45 47 52 96
41 46 48 51 95
42 43 50 52 95
42 44 49 51 96
42 45 48 54 55
42 46 47 53 56
57 58 59 60 61
57 62 63 64 65
57 66 67 68 69
57 70 71 72 73
57 74 75 95 96
58 62 66 70 74
58 63 67 71 75
58 64 68 72 95
58 65 69 73 96
59 62 67 72 96
59 63 66 73 95
59 64 69 70 75
59 65 68 71 74
60 62 68 73 75
60 63 69 72 74
60 64 66 71 96
60 65 67 70 95
61 62 69 71 95
61 63 68 70 96
61 64 67 73 74
61 65 66 72 75
76 77 78 79 80
76 81 82 83 84
76 85 86 87 88
76 89 90 91 92
76 93 94 95 96
77 81 85 89 93
77 82 86 90 94
77 83 87 91 95
77 84 88 92 96
78 81 86 91 96
78 82 85 92 95
78 83 88 89 94
78 84 87 90 93
79 81 87 92 94
79 82 88 91 93
79 83 85 90 96
79 84 86 89 95
80 81 88 90 95
80 82 87 89 96
80 83 86 92 93
80 84 85 91 94
