0 1 2 3 4 5 6 7 8 9
0 1 2 3 10 11 12 13 14 15
0 1 16 17 18 19 20 21 22 23
0 1 21 56 57 58 59 60 61 62
0 1 24 25 26 27 28 29 30 31
0 1 32 33 34 35 36 37 38 39
0 1 40 41 42 43 44 45 46 47
0 1 48 49 50 51 52 53 54 55
2 3 16 17 30 31 44 45 52 53
2 3 18 19 26 27 32 33 36 62
2 3 20 21 28 29 38 39 56 57
2 3 22 23 24 25 42 43 50 51
2 3 34 35 46 47 48 49 60 61
2 3 36 37 40 41 54 55 58 59
2 6 7 36 37 44 45 50 51 62
4 5 10 11 24 25 40 41 53 62
4 5 12 13 16 17 54 55 56 57
4 5 14 15 28 29 34 35 44 45
4 5 18 19 30 31 34 35 50 51
4 5 20 21 26 27 36 37 46 47
4 5 22 23 32 33 48 49 58 59
4 5 38 39 42 43 52 53 60 61
6 7 10 11 16 17 32 33 46 47
6 7 12 13 24 25 38 39 48 49
6 7 14 15 26 27 52 53 58 59
6 7 18 19 28 29 54 55 60 61
6 7 20 21 30 31 42 43 58 59
6 7 22 23 34 35 40 41 56 57
8 9 10 11 20 21 50 51 60 61
8 9 12 13 18 19 36 37 42 43
8 9 14 15 23 31 38 47 55 62
8 9 15 22 30 39 46 47 54 55
8 9 16 17 24 25 34 35 58 59
8 9 26 27 44 45 48 49 56 57
8 9 28 29 32 33 40 41 52 53
10 11 18 19 38 39 44 45 58 59
10 11 22 23 28 29 36 37 52 53
10 11 26 27 34 35 42 43 54 55
10 11 30 31 36 37 48 49 56 57
12 13 20 21 34 35 49 52 53 62
12 13 22 23 26 27 44 45 60 61
12 13 28 29 46 47 50 51 58 59
12 13 30 31 32 33 40 41 60 61
14 15 16 17 24 25 36 37 60 61
14 15 18 19 20 21 40 41 48 49
14 15 32 33 42 43 50 51 56 57
14 22 23 30 31 38 39 46 54 62
16 17 26 27 38 39 40 41 50 51
16 17 28 29 42 43 46 48 49 62
18 19 24 25 46 47 52 53 56 57
20 21 24 25 32 33 44 45 54 55
