0 1 2 3
0 2 8 10
0 4 6 9
0 5 7 11
0 12 34 45
0 13 33 46
0 14 35 47
0 15 28 36
0 16 27 37
0 17 29 38
0 18 25 42
0 19 24 43
0 20 26 44
0 21 31 39
0 22 30 40
0 23 32 41
1 4 10 11
1 5 6 8
1 7 8 9
1 12 33 47
1 13 35 45
1 14 34 46
1 15 27 38
1 16 29 36
1 17 28 37
1 18 24 44
1 19 26 42
1 20 25 43
1 21 30 41
1 22 32 39
1 23 31 40
2 4 5 7
2 6 9 11
2 12 35 46
2 13 34 47
2 14 33 45
2 15 29 37
2 16 28 38
2 17 27 36
2 18 26 43
2 19 25 44
2 20 24 42
2 21 32 40
2 22 31 41
2 23 30 39
3 4 8 11
3 5 9 10
3 6 7 10
3 12 25 39
3 13 24 40
3 14 26 41
3 15 31 42
3 16 30 43
3 17 32 44
3 18 34 36
3 19 33 37
3 20 35 38
3 21 28 45
3 22 27 46
3 23 29 47
4 12 24 41
4 13 26 39
4 14 25 40
4 15 30 44
4 16 32 42
4 17 31 43
4 18 33 38
4 19 35 36
4 20 34 37
4 21 27 47
4 22 29 45
4 23 28 46
5 12 26 40
5 13 25 41
5 14 24 39
5 15 32 43
5 16 31 44
5 17 30 42
5 18 35 37
5 19 34 38
5 20 33 36
5 21 29 46
5 22 28 47
5 23 27 45
6 12 31 36
6 13 30 37
6 14 32 38
6 15 25 45
6 16 24 46
6 17 26 47
6 18 28 39
6 19 27 40
6 20 29 41
6 21 34 42
6 22 33 43
6 23 35 44
7 12 30 38
7 13 32 36
7 14 31 37
7 15 24 47
7 16 26 45
7 17 25 46
7 18 27 41
7 19 29 39
7 20 28 40
7 21 33 44
7 22 35 42
7 23 34 43
8 12 32 37
8 13 31 38
8 14 30 36
8 15 26 46
8 16 25 47
8 17 24 45
8 18 29 40
8 19 28 41
8 20 27 39
8 21 35 43
8 22 34 44
8 23 33 42
9 12 28 42
9 13 27 43
9 14 29 44
9 15 34 39
9 16 33 40
9 17 35 41
9 18 31 45
9 19 30 46
9 20 32 47
9 21 25 36
9 22 24 37
9 23 26 38
10 12 27 44
10 13 29 42
10 14 28 43
10 15 33 41
10 16 35 39
10 17 34 40
10 18 30 47
10 19 32 45
10 20 31 46
10 21 24 38
10 22 26 36
10 23 25 37
11 12 29 43
11 13 28 44
11 14 27 42
11 15 35 40
11 16 34 41
11 17 33 39
11 18 32 46
11 19 31 47
11 20 30 45
11 21 26 37
11 22 25 38
11 23 24 36
12 13 14 15
12 14 20 22
12 16 18 21
12 17 19 23
13 16 22 23
13 17 18 20
13 19 20 21
14 16 17 19
14 18 21 23
15 16 20 23
15 17 21 22
15 18 19 22
24 25 26 27
24 26 32 34
24 28 30 33
24 29 31 35
25 28 34 35
25 29 30 32
25 31 32 33
26 28 29 31
26 30 33 35
27 28 32 35
27 29 33 34
27 30 31 34
36 37 38 39
36 38 44 46
36 40 42 45
36 41 43 47
37 40 46 47
37 41 42 44
37 43 44 45
38 40 41 43
38 42 45 47
39 40 44 47
39 41 45 46
39 42 43 46
