"Census API: Examples for /data/2023/acs/acs5
",Geography Level,Example URL
us,10,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=us:*&key=YOUR_KEY_GOES_HERE"
us,10,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=us:1&key=YOUR_KEY_GOES_HERE"
region,20,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=region:*&key=YOUR_KEY_GOES_HERE"
region,20,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=region:3&key=YOUR_KEY_GOES_HERE"
division,30,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=division:*&key=YOUR_KEY_GOES_HERE"
division,30,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=division:5&key=YOUR_KEY_GOES_HERE"
state,40,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state:*&key=YOUR_KEY_GOES_HERE"
state,40,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=state:06&key=YOUR_KEY_GOES_HERE"
state› county,50,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county:*&key=YOUR_KEY_GOES_HERE"
state› county,50,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county:*&in=state:*&key=YOUR_KEY_GOES_HERE"
state› county,50,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county:037&in=state:06&key=YOUR_KEY_GOES_HERE"
state› county› county subdivision,60,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county%20subdivision:*&in=state:48&key=YOUR_KEY_GOES_HERE"
state› county› county subdivision,60,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county%20subdivision:*&in=state:48&in=county:*&key=YOUR_KEY_GOES_HERE"
state› county› county subdivision,60,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=county%20subdivision:91835&in=state:48%20county:201&key=YOUR_KEY_GOES_HERE"
state› county› county subdivision› subminor civil division,67,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=subminor%20civil%20division:*&in=state:72%20county:127%20county%20subdivision:57247&key=YOUR_KEY_GOES_HERE"
state› county› county subdivision› subminor civil division,67,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=subminor%20civil%20division:76644&in=state:72%20county:127%20county%20subdivision:57247&key=YOUR_KEY_GOES_HERE"
state› county› county subdivision› place/remainder (or part),70,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=place/remainder%20(or%20part):*&in=state:17%20county:031%20county%20subdivision:14000&key=YOUR_KEY_GOES_HERE"
state› county› county subdivision› place/remainder (or part),70,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=place/remainder%20(or%20part):14000&in=state:17%20county:031%20county%20subdivision:14000&key=YOUR_KEY_GOES_HERE"
state› county› tract,140,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=tract:*&in=state:06&key=YOUR_KEY_GOES_HERE"
state› county› tract,140,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=tract:*&in=state:06&in=county:*&key=YOUR_KEY_GOES_HERE"
state› county› tract,140,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=tract:018700&in=state:06%20county:073&key=YOUR_KEY_GOES_HERE"
state› county› tract› block group,150,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=block%20group:*&in=state:06%20county:073&key=YOUR_KEY_GOES_HERE"
state› county› tract› block group,150,"https://api.census.gov/data/2023/acs/acs5?get=NAME,B01001_001E&for=block%20group:*&in=state:06&in=county:*&in=tract:*&key=YOUR_KEY_GOES_HERE"
