Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.63089e-05    6.89275e+19    0.00000e+00    1.35071e+21    1.35071e+21    1.35071e+21    0.00000e+00
    1.71581e-05    7.91183e+19    0.00000e+00    1.46856e+21    1.46856e+21    1.46856e+21    0.00000e+00
    1.80515e-05    9.07724e+19    0.00000e+00    1.59571e+21    1.59571e+21    1.59571e+21    0.00000e+00
    1.89914e-05    1.04016e+20    0.00000e+00    1.73237e+21    1.73237e+21    1.73237e+21    0.00000e+00
    1.99803e-05    1.19191e+20    0.00000e+00    1.87932e+21    1.87932e+21    1.87932e+21    0.00000e+00
    2.10206e-05    1.36529e+20    0.00000e+00    2.03706e+21    2.03706e+21    2.03706e+21    0.00000e+00
    2.21151e-05    1.56137e+20    0.00000e+00    2.20590e+21    2.20590e+21    2.20590e+21    0.00000e+00
    2.32666e-05    1.78590e+20    0.00000e+00    2.38660e+21    2.38660e+21    2.38660e+21    0.00000e+00
    2.44781e-05    2.04104e+20    0.00000e+00    2.57912e+21    2.57912e+21    2.57912e+21    0.00000e+00
    2.57526e-05    2.32897e+20    0.00000e+00    2.78349e+21    2.78349e+21    2.78349e+21    0.00000e+00
    2.70935e-05    2.65860e+20    0.00000e+00    2.99930e+21    2.99930e+21    2.99930e+21    0.00000e+00
    2.85043e-05    3.02900e+20    0.00000e+00    3.22542e+21    3.22542e+21    3.22542e+21    0.00000e+00
    2.99884e-05    3.44953e+20    0.00000e+00    3.45968e+21    3.45968e+21    3.45968e+21    0.00000e+00
    3.15499e-05    3.92485e+20    0.00000e+00    3.69832e+21    3.69832e+21    3.69832e+21    0.00000e+00
    3.31927e-05    4.45711e+20    0.00000e+00    3.93688e+21    3.93688e+21    3.93688e+21    0.00000e+00
    3.49210e-05    5.05743e+20    0.00000e+00    4.16491e+21    4.16491e+21    4.16491e+21    0.00000e+00
    3.67392e-05    5.72771e+20    0.00000e+00    4.37295e+21    4.37295e+21    4.37295e+21    0.00000e+00
    3.86522e-05    6.47263e+20    0.00000e+00    4.54711e+21    4.54711e+21    4.54711e+21    0.00000e+00
    4.06648e-05    7.29789e+20    0.00000e+00    4.66323e+21    4.66323e+21    4.66323e+21    0.00000e+00
    4.27821e-05    8.19804e+20    0.00000e+00    4.70864e+21    4.70864e+21    4.70864e+21    0.00000e+00
    4.50098e-05    9.16712e+20    0.00000e+00    4.65803e+21    4.65803e+21    4.65803e+21    0.00000e+00
    4.73533e-05    1.01843e+21    0.00000e+00    4.49700e+21    4.49700e+21    4.49700e+21    0.00000e+00
