0 1 2 3 4 5 6 7 8
0 4 10 11 16 17 19 21 31
0 4 12 13 26 27 29 33 37
0 4 14 20 23 24 30 32 34
0 4 15 16 18 22 25 35 36
0 6 9 18 21 28 29 35 37
1 3 4 9 15 20 25 28 36
1 8 10 13 24 25 32 33 35
1 8 11 12 16 20 31 34 36
1 8 14 15 18 19 23 26 27
1 8 17 21 22 23 29 30 37
2 9 10 12 14 22 24 26 28
2 11 13 15 18 28 30 31 33
2 16 19 23 24 29 32 36 37
2 17 20 21 25 26 27 34 35
3 6 7 13 19 20 22 33 34
3 6 10 16 23 26 27 30 36
3 6 11 14 25 29 31 35 37
3 6 12 15 17 18 21 24 32
5 7 9 12 19 23 25 30 35
5 7 10 15 18 20 29 34 37
5 7 11 24 26 27 28 31 32
5 7 13 14 16 17 21 33 36
5 9 11 13 22 23 27 31 32
8 9 16 17 19 23 28 33 34
