0 1 2
0 3 4
0 5 6
0 7 8
0 9 37
0 10 22
0 11 15
0 12 25
0 13 32
0 14 20
0 16 43
0 17 29
0 18 42
0 19 39
0 21 28
0 23 34
0 24 36
0 26 30
0 27 44
0 31 33
0 35 41
0 38 40
1 3 15
1 4 22
1 5 36
1 6 18
1 7 34
1 8 10
1 9 21
1 11 41
1 12 17
1 13 14
1 16 26
1 19 32
1 20 44
1 23 38
1 24 28
1 25 37
1 27 42
1 29 33
1 30 43
1 31 35
1 39 40
2 3 26
2 4 40
2 5 7
2 6 44
2 8 24
2 9 29
2 10 36
2 11 28
2 12 21
2 13 31
2 14 15
2 16 17
2 18 41
2 19 25
2 20 42
2 22 33
2 23 43
2 27 39
2 30 35
2 32 38
2 34 37
3 5 8
3 6 32
3 7 10
3 9 30
3 11 18
3 12 16
3 13 21
3 14 39
3 17 23
3 19 20
3 22 37
3 24 40
3 25 42
3 27 43
3 28 31
3 29 44
3 33 35
3 34 41
3 36 38
4 5 12
4 6 29
4 7 41
4 8 42
4 9 10
4 11 34
4 13 23
4 14 21
4 15 17
4 16 30
4 18 19
4 20 28
4 24 44
4 25 31
4 26 39
4 27 36
4 32 37
4 33 43
4 35 38
5 9 44
5 10 25
5 11 22
5 13 28
5 14 24
5 15 23
5 16 34
5 17 35
5 18 37
5 19 30
5 20 21
5 26 38
5 27 31
5 29 39
5 32 41
5 33 40
5 42 43
6 7 35
6 8 38
6 9 15
6 10 34
6 11 31
6 12 41
6 13 24
6 14 43
6 16 20
6 17 42
6 19 33
6 21 23
6 22 30
6 25 26
6 27 28
6 36 39
6 37 40
7 9 27
7 11 13
7 12 22
7 14 19
7 15 40
7 16 29
7 17 30
7 18 28
7 20 24
7 21 42
7 23 26
7 25 39
7 31 43
7 32 36
7 33 38
7 37 44
8 9 26
8 11 20
8 12 40
8 13 44
8 14 37
8 15 29
8 16 31
8 17 22
8 18 32
8 19 34
8 21 43
8 23 41
8 25 33
8 27 30
8 28 39
8 35 36
9 11 33
9 12 28
9 13 38
9 14 35
9 16 32
9 17 39
9 18 25
9 19 31
9 20 41
9 22 43
9 23 36
9 24 34
9 40 42
10 11 17
10 12 18
10 13 40
10 14 28
10 15 41
10 16 21
10 19 24
10 20 37
10 23 42
10 26 27
10 29 43
10 30 44
10 31 38
10 32 35
10 33 39
11 12 29
11 14 44
11 16 35
11 19 23
11 21 38
11 24 30
11 25 27
11 26 37
11 32 39
11 36 42
11 40 43
12 13 35
12 14 42
12 15 20
12 19 36
12 23 32
12 24 39
12 26 31
12 27 34
12 30 33
12 37 43
12 38 44
13 15 33
13 16 18
13 17 36
13 19 22
13 20 25
13 26 42
13 27 29
13 30 34
13 37 41
13 39 43
14 16 22
14 17 27
14 18 26
14 23 31
14 25 36
14 29 32
14 30 40
14 33 41
14 34 38
15 16 19
15 18 21
15 22 27
15 24 35
15 25 38
15 26 44
15 28 32
15 30 42
15 31 36
15 34 43
15 37 39
16 23 33
16 24 27
16 25 41
16 28 40
16 36 37
16 38 39
16 42 44
17 18 43
17 19 37
17 20 40
17 21 25
17 24 31
17 26 28
17 32 33
17 34 44
17 38 41
18 20 34
18 22 24
18 23 40
18 27 33
18 29 38
18 30 36
18 31 39
18 35 44
19 21 40
19 26 29
19 27 41
19 28 38
19 35 42
19 43 44
20 22 36
20 23 35
20 26 33
20 27 38
20 29 31
20 30 39
20 32 43
21 22 26
21 24 29
21 27 35
21 30 32
21 31 37
21 33 44
21 34 39
21 36 41
22 23 29
22 25 32
22 28 34
22 31 40
22 35 39
22 38 42
22 41 44
23 24 25
23 27 37
23 28 30
23 39 44
24 26 41
24 32 42
24 33 37
24 38 43
25 28 44
25 29 30
25 34 40
25 35 43
26 32 34
26 35 40
26 36 43
27 32 40
28 29 36
28 33 42
28 35 37
28 41 43
29 34 35
29 37 42
29 40 41
30 31 41
30 37 38
31 32 44
31 34 42
33 34 36
36 40 44
39 41 42
