0 1 2 3
0 4 5 6
0 7 8 9
0 10 11 12
0 13 14 15
0 16 17 18
0 18 21 28
0 19 23 31
0 20 22 33
0 24 30 32
0 25 27 34
0 26 29 34
1 4 18 31
1 5 26 27
1 6 7 11
1 8 15 33
1 9 28 29
1 10 13 19
1 12 17 23
1 12 20 34
1 14 24 30
1 16 21 23
1 22 25 32
2 4 10 22
2 5 13 16
2 6 13 25
2 7 32 34
2 8 17 29
2 9 14 27
2 11 18 33
2 12 19 21
2 15 30 31
2 19 26 28
2 20 23 24
3 4 7 17
3 5 25 33
3 6 14 23
3 8 16 20
3 9 19 34
3 10 27 28
3 11 13 31
3 12 24 29
3 14 18 22
3 15 23 32
3 21 26 30
4 8 26 32
4 9 12 28
4 10 20 25
4 11 16 19
4 13 17 30
4 14 21 34
4 15 24 33
4 23 27 29
5 7 12 30
5 8 14 19
5 9 11 15
5 10 21 32
5 17 20 31
5 18 23 34
5 19 29 32
5 22 24 28
6 8 31 34
6 9 20 32
6 10 16 30
6 12 13 32
6 15 21 29
6 17 27 28
6 18 24 26
6 19 22 33
7 10 23 33
7 13 18 29
7 14 20 28
7 14 25 26
7 15 19 27
7 16 22 29
7 21 24 31
8 10 17 26
8 11 24 27
8 12 18 25
8 13 23 28
8 21 22 30
9 10 15 18
9 13 22 24
9 16 26 31
9 17 21 33
9 23 25 30
10 14 29 31
10 16 24 34
11 14 17 32
11 20 25 29
11 21 25 31
11 22 23 26
11 28 30 34
12 14 16 33
12 15 20 26
12 22 27 31
13 20 21 27
13 26 33 34
15 16 25 28
15 17 22 34
16 18 27 32
17 19 24 25
18 19 20 30
27 29 30 33
28 31 32 33
