0 1 2 3 4 5 6 7 8
0 4 5 12 13 18 20 39 40
0 5 9 15 16 17 24 27 30
0 5 10 11 12 28 34 35 36
0 5 14 19 21 22 31 37 38
0 5 23 25 26 29 32 33 41
1 8 9 12 21 22 25 26 39
1 8 9 15 23 34 35 38 40
1 8 10 14 23 24 28 30 32
1 8 11 13 16 18 19 33 36
1 8 17 20 27 29 31 37 41
2 3 4 9 10 20 28 33 38
2 4 12 17 19 23 27 32 40
2 4 16 21 22 29 34 35 41
2 11 24 30 31 34 36 37 39
2 13 14 15 18 20 25 26 34
3 10 16 25 26 28 31 37 40
3 11 15 20 21 22 23 32 36
3 12 13 18 24 29 30 38 41
3 14 17 19 27 33 34 35 39
4 6 11 17 25 26 27 36 38
4 7 12 14 15 16 31 33 37
4 7 19 20 24 25 26 30 35
6 7 9 11 14 29 36 40 41
6 7 16 20 23 32 34 38 39
6 9 10 15 19 28 29 39 41
6 9 12 21 22 24 30 33 40
6 9 13 18 23 31 32 35 37
7 10 13 17 18 21 22 27 28
