0 1 2
0 3 4
0 3 41
0 5 7
0 6 21
0 8 23
0 9 12
0 10 29
0 11 39
0 13 38
0 14 42
0 15 30
0 16 40
0 17 35
0 18 26
0 19 37
0 20 31
0 22 33
0 24 34
0 25 36
0 27 32
0 28 43
1 3 20
1 4 42
1 5 28
1 6 30
1 7 25
1 8 12
1 9 10
1 11 37
1 12 29
1 13 24
1 14 17
1 15 33
1 16 18
1 19 43
1 21 32
1 22 35
1 23 36
1 26 27
1 31 38
1 34 39
1 40 41
2 3 35
2 4 9
2 5 16
2 6 43
2 7 13
2 8 27
2 10 20
2 10 42
2 11 29
2 12 39
2 14 15
2 17 24
2 18 31
2 19 25
2 21 26
2 22 28
2 23 34
2 30 41
2 32 38
2 33 36
2 37 40
3 5 23
3 6 31
3 7 30
3 8 11
3 9 22
3 10 12
3 13 26
3 14 24
3 15 29
3 16 38
3 17 36
3 18 21
3 19 27
3 25 40
3 28 34
3 32 43
3 33 42
3 37 39
4 5 37
4 6 13
4 7 14
4 8 16
4 10 31
4 11 27
4 12 33
4 15 32
4 17 38
4 18 27
4 19 24
4 20 35
4 21 43
4 22 25
4 23 41
4 26 39
4 28 40
4 29 36
4 30 34
5 6 29
5 8 34
5 9 19
5 10 30
5 11 32
5 12 18
5 13 22
5 14 41
5 15 31
5 17 33
5 20 36
5 21 27
5 24 33
5 25 42
5 26 35
5 38 40
5 39 43
6 7 22
6 8 23
6 9 15
6 10 11
6 12 42
6 14 27
6 15 37
6 16 20
6 17 26
6 18 38
6 19 32
6 24 41
6 25 35
6 28 39
6 33 34
6 36 40
7 8 19
7 9 31
7 10 34
7 11 15
7 12 17
7 16 43
7 18 41
7 20 39
7 21 37
7 23 28
7 24 43
7 26 40
7 27 33
7 29 35
7 32 42
7 36 38
8 9 29
8 10 33
8 13 40
8 14 43
8 15 18
8 17 21
8 20 26
8 22 41
8 24 25
8 28 35
8 30 31
8 32 39
8 36 37
8 38 42
9 11 40
9 13 16
9 14 21
9 17 18
9 20 34
9 20 41
9 23 43
9 24 38
9 25 30
9 26 33
9 27 28
9 32 35
9 36 39
9 37 42
10 13 39
10 14 26
10 15 36
10 16 27
10 17 25
10 18 32
10 19 28
10 21 35
10 22 43
10 23 37
10 24 40
10 38 41
11 12 23
11 13 17
11 14 28
11 16 31
11 18 33
11 19 41
11 20 43
11 21 25
11 22 26
11 24 31
11 30 35
11 34 42
11 36 38
12 13 35
12 14 19
12 15 40
12 16 28
12 20 21
12 22 31
12 24 32
12 25 41
12 26 37
12 27 30
12 34 38
12 36 43
13 14 25
13 15 43
13 18 28
13 19 33
13 20 30
13 21 42
13 23 27
13 29 34
13 31 37
13 32 41
13 34 36
14 16 30
14 18 32
14 20 37
14 22 29
14 23 25
14 31 36
14 33 39
14 34 40
14 35 38
15 16 22
15 17 19
15 20 38
15 21 34
15 23 42
15 24 26
15 25 28
15 27 41
15 35 39
16 17 32
16 19 34
16 21 36
16 23 26
16 24 39
16 25 37
16 29 33
16 35 41
16 38 42
17 20 23
17 22 39
17 27 31
17 28 42
17 29 37
17 30 43
17 34 41
17 35 40
18 19 20
18 22 23
18 24 29
18 25 39
18 30 37
18 34 43
18 35 36
18 40 42
19 21 40
19 22 38
19 23 31
19 24 36
19 26 30
19 29 39
19 35 42
20 22 40
20 24 42
20 25 32
20 27 29
20 28 33
21 22 30
21 23 24
21 28 31
21 28 38
21 29 39
21 33 41
22 24 37
22 27 36
22 32 34
22 41 42
23 29 40
23 30 32
23 33 35
23 38 39
24 27 35
24 28 30
25 26 38
25 27 34
25 29 43
25 31 33
26 28 37
26 29 41
26 31 34
26 32 36
26 42 43
27 37 38
27 39 42
27 40 43
28 29 32
28 36 41
29 30 38
29 31 42
30 33 40
30 36 42
30 39 40
31 32 40
31 35 43
31 39 41
32 33 37
33 38 43
34 35 37
37 41 43
