Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    6.25580e+15    0.00000e+00    1.59730e+23    3.49286e+18    0.00000e+00    0.00000e+00
    1.05207e-06    1.14422e+16    0.00000e+00    1.74000e+23    5.31413e+18    3.38821e+12    0.00000e+00
    1.10685e-06    1.21950e+16    0.00000e+00    1.80265e+23    5.12103e+18    3.73720e+12    0.00000e+00
    1.16448e-06    1.28913e+16    0.00000e+00    1.90562e+23    5.96666e+18    4.12212e+12    0.00000e+00
    1.22511e-06    1.49419e+16    0.00000e+00    2.07730e+23    8.37130e+18    4.54669e+12    0.00000e+00
    1.28890e-06    2.50655e+16    0.00000e+00    2.26255e+23    8.72108e+18    5.01500e+12    0.00000e+00
    1.35602e-06    2.78714e+16    0.00000e+00    2.38981e+23    1.11815e+19    5.53162e+12    0.00000e+00
    1.42662e-06    3.02564e+16    0.00000e+00    2.55615e+23    1.12319e+19    6.10133e+12    0.00000e+00
    1.50090e-06    6.08813e+16    0.00000e+00    2.80670e+23    1.38616e+19    6.72976e+12    0.00000e+00
    1.57905e-06    7.07210e+16    0.00000e+00    2.88551e+23    1.72649e+19    7.42293e+12    0.00000e+00
    1.66127e-06    6.55104e+16    0.00000e+00    3.15961e+23    1.77167e+19    8.18751e+12    0.00000e+00
    1.74777e-06    1.14320e+17    0.00000e+00    3.33686e+23    2.52005e+19    9.03083e+12    0.00000e+00
    1.83878e-06    1.33236e+17    0.00000e+00    3.58217e+23    2.58464e+19    9.96108e+12    0.00000e+00
    1.93452e-06    1.36841e+17    0.00000e+00    3.74283e+23    2.97208e+19    1.09871e+13    0.00000e+00
    2.03525e-06    1.81285e+17    0.00000e+00    3.94679e+23    4.02978e+19    1.21188e+13    0.00000e+00
    2.14122e-06    2.24079e+17    0.00000e+00    4.16401e+23    4.56094e+19    1.33670e+13    0.00000e+00
    2.25271e-06    2.97376e+17    0.00000e+00    4.49254e+23    4.86611e+19    1.47438e+13    0.00000e+00
    2.37001e-06    3.05389e+17    0.00000e+00    4.64855e+23    5.80853e+19    1.62625e+13    0.00000e+00
    2.49341e-06    3.90885e+17    0.00000e+00    4.87582e+23    6.37516e+19    1.79375e+13    0.00000e+00
    2.62324e-06    4.46574e+17    0.00000e+00    5.13499e+23    8.23717e+19    1.97851e+13    0.00000e+00
    2.75983e-06    4.93987e+17    0.00000e+00    5.39777e+23    9.40640e+19    2.18230e+13    0.00000e+00
    2.90353e-06    6.80891e+17    0.00000e+00    5.64150e+23    9.77610e+19    2.40708e+13    0.00000e+00
    3.05471e-06    8.20021e+17    0.00000e+00    5.89513e+23    1.18508e+20    2.65500e+13    0.00000e+00
    3.21376e-06    9.08073e+17    0.00000e+00    6.11429e+23    1.31343e+20    2.92846e+13    0.00000e+00
    3.38110e-06    1.08985e+18    0.00000e+00    6.38542e+23    1.65237e+20    3.23010e+13    0.00000e+00
    3.55715e-06    1.43686e+18    0.00000e+00    6.55288e+23    2.01801e+20    3.56281e+13    0.00000e+00
    3.74237e-06    1.80015e+18    0.00000e+00    6.82376e+23    2.13488e+20    3.92979e+13    0.00000e+00
    3.93723e-06    1.72194e+18    0.00000e+00    7.12705e+23    2.47169e+20    4.33456e+13    0.00000e+00
    4.14223e-06    2.16210e+18    0.00000e+00    7.28524e+23    2.83388e+20    4.78101e+13    0.00000e+00
    4.35791e-06    3.03411e+18    0.00000e+00    7.55287e+23    3.29946e+20    5.27346e+13    0.00000e+00
    4.58482e-06    3.36982e+18    0.00000e+00    7.70009e+23    4.02304e+20    5.81663e+13    0.00000e+00
    4.82355e-06    3.66372e+18    0.00000e+00    7.97200e+23    4.39575e+20    6.41576e+13    0.00000e+00
    5.07471e-06    4.93491e+18    0.00000e+00    8.05597e+23    4.48644e+20    7.07661e+13    0.00000e+00
    5.33894e-06    5.32915e+18    0.00000e+00    8.18769e+23    5.89381e+20    7.80549e+13    0.00000e+00
    5.61693e-06    6.14486e+18    0.00000e+00    8.28581e+23    6.91360e+20    8.60946e+13    0.00000e+00
    5.90940e-06    7.00236e+18    0.00000e+00    8.37419e+23    7.66682e+20    9.49626e+13    0.00000e+00
    6.21709e-06    8.30279e+18    0.00000e+00    8.48393e+23    8.33122e+20    1.04744e+14    0.00000e+00
    6.54081e-06    1.00834e+19    0.00000e+00    8.52983e+23    9.48069e+20    1.15533e+14    0.00000e+00
    6.88138e-06    1.14505e+19    0.00000e+00    8.55081e+23    1.09781e+21    1.27433e+14    0.00000e+00
    7.23968e-06    1.45873e+19    0.00000e+00    8.51013e+23    1.22316e+21    1.40558e+14    0.00000e+00
    7.61664e-06    1.59898e+19    0.00000e+00    8.51278e+23    1.35831e+21    1.55036e+14    0.00000e+00
    8.01323e-06    1.65560e+19    0.00000e+00    8.45070e+23    1.59854e+21    1.71005e+14    0.00000e+00
    8.43047e-06    2.27649e+19    0.00000e+00    8.34061e+23    1.73489e+21    1.88618e+14    0.00000e+00
    8.86943e-06    2.77490e+19    0.00000e+00    8.21610e+23    1.93405e+21    2.08046e+14    0.00000e+00
    9.33125e-06    2.98271e+19    0.00000e+00    8.02009e+23    2.35819e+21    2.29475e+14    0.00000e+00
    9.81712e-06    3.39415e+19    0.00000e+00    7.90361e+23    2.65303e+21    2.53111e+14    0.00000e+00
    1.03283e-05    3.94195e+19    0.00000e+00    7.63296e+23    2.77659e+21    2.79183e+14    0.00000e+00
    1.08661e-05    4.61017e+19    0.00000e+00    7.41578e+23    3.28360e+21    3.07940e+14    0.00000e+00
    1.14318e-05    5.76675e+19    0.00000e+00    7.15725e+23    3.64574e+21    3.39654e+14    0.00000e+00
    1.20271e-05    6.25940e+19    0.00000e+00    6.90199e+23    4.15883e+21    3.74642e+14    0.00000e+00
    1.26533e-05    6.75197e+19    0.00000e+00    6.59086e+23    4.29114e+21    4.13228e+14    0.00000e+00
    1.33122e-05    7.63163e+19    0.00000e+00    6.28251e+23    5.00588e+21    4.55795e+14    0.00000e+00
    1.40053e-05    9.63120e+19    0.00000e+00    5.93698e+23    5.46395e+21    5.02739e+14    0.00000e+00
    1.47345e-05    1.14917e+20    0.00000e+00    5.65496e+23    5.95896e+21    5.54519e+14    0.00000e+00
    1.55018e-05    1.32850e+20    0.00000e+00    5.27028e+23    6.62008e+21    6.11643e+14    0.00000e+00
    1.63089e-05    1.46446e+20    0.00000e+00    4.94741e+23    7.44616e+21    6.74638e+14    0.00000e+00
    1.71581e-05    1.62065e+20    0.00000e+00    4.61835e+23    7.73185e+21    7.44128e+14    0.00000e+00
    1.80515e-05    1.85600e+20    0.00000e+00    4.31358e+23    8.76700e+21    8.20774e+14    0.00000e+00
    1.89914e-05    2.34672e+20    0.00000e+00    3.98177e+23    9.80531e+21    9.05313e+14    0.00000e+00
    1.99803e-05    2.71590e+20    0.00000e+00    3.67937e+23    1.03301e+22    9.98565e+14    0.00000e+00
    2.10206e-05    2.78014e+20    0.00000e+00    3.37897e+23    1.13155e+22    1.10141e+15    0.00000e+00
    2.21151e-05    3.25689e+20    0.00000e+00    3.10107e+23    1.25341e+22    1.21486e+15    0.00000e+00
    2.32666e-05    4.14319e+20    0.00000e+00    2.83004e+23    1.36204e+22    1.33999e+15    0.00000e+00
    2.44781e-05    4.28335e+20    0.00000e+00    2.58333e+23    1.48399e+22    1.47802e+15    0.00000e+00
    2.57526e-05    4.89558e+20    0.00000e+00    2.34865e+23    1.62222e+22    1.63025e+15    0.00000e+00
    2.70935e-05    5.74882e+20    0.00000e+00    2.13606e+23    1.77893e+22    1.79816e+15    0.00000e+00
    2.85043e-05    6.41146e+20    0.00000e+00    1.93897e+23    1.86128e+22    1.98339e+15    0.00000e+00
    2.99884e-05    6.85414e+20    0.00000e+00    1.76570e+23    2.06833e+22    2.18767e+15    0.00000e+00
    3.15499e-05    8.22717e+20    0.00000e+00    1.59456e+23    2.24868e+22    2.41301e+15    0.00000e+00
    3.31927e-05    9.20687e+20    0.00000e+00    1.44873e+23    2.43977e+22    2.66155e+15    0.00000e+00
    3.49210e-05    1.00215e+21    0.00000e+00    1.32057e+23    2.56203e+22    2.93570e+15    0.00000e+00
    3.67392e-05    1.09856e+21    0.00000e+00    1.19493e+23    2.80412e+22    3.23806e+15    0.00000e+00
    3.86522e-05    1.32191e+21    0.00000e+00    1.09392e+23    3.02517e+22    3.57159e+15    0.00000e+00
    4.06648e-05    1.42917e+21    0.00000e+00    1.00150e+23    3.21109e+22    3.93948e+15    0.00000e+00
    4.27821e-05    1.53916e+21    0.00000e+00    9.16257e+22    3.45177e+22    4.34524e+15    0.00000e+00
    4.50098e-05    1.77845e+21    0.00000e+00    8.50315e+22    3.71848e+22    4.79282e+15    0.00000e+00
    4.73533e-05    2.05350e+21    0.00000e+00    7.92461e+22    3.94493e+22    5.28646e+15    0.00000e+00
    4.98190e-05    2.21771e+21    0.00000e+00    7.46171e+22    4.18650e+22    5.83099e+15    0.00000e+00
    5.24130e-05    2.42281e+21    0.00000e+00    7.01223e+22    4.50977e+22    6.43159e+15    0.00000e+00
    5.51421e-05    2.68117e+21    0.00000e+00    6.71750e+22    4.82965e+22    7.09406e+15    0.00000e+00
    5.80132e-05    2.96540e+21    0.00000e+00    6.49770e+22    5.07201e+22    7.82473e+15    0.00000e+00
    6.10339e-05    3.25271e+21    0.00000e+00    6.24022e+22    5.41716e+22    8.63070e+15    0.00000e+00
    6.42119e-05    3.68413e+21    0.00000e+00    6.12698e+22    5.79765e+22    9.51968e+15    0.00000e+00
    6.75553e-05    3.96028e+21    0.00000e+00    6.06727e+22    6.11407e+22    1.05002e+16    0.00000e+00
    7.10728e-05    4.41771e+21    0.00000e+00    6.08854e+22    6.44012e+22    1.15817e+16    0.00000e+00
    7.47735e-05    4.80601e+21    0.00000e+00    6.03105e+22    6.81459e+22    1.27747e+16    0.00000e+00
    7.86668e-05    5.34291e+21    0.00000e+00    6.11562e+22    7.16004e+22    1.40905e+16    0.00000e+00
    8.27629e-05    5.77444e+21    0.00000e+00    6.19091e+22    7.58231e+22    1.55418e+16    0.00000e+00
    8.70722e-05    6.33522e+21    0.00000e+00    6.30404e+22    7.93088e+22    1.71426e+16    0.00000e+00
    9.16060e-05    6.78298e+21    0.00000e+00    6.46278e+22    8.34962e+22    1.89083e+16    0.00000e+00
    9.63758e-05    7.38500e+21    0.00000e+00    6.55718e+22    8.70398e+22    2.08559e+16    0.00000e+00
    1.01394e-04    8.12945e+21    0.00000e+00    6.73236e+22    9.14750e+22    2.30041e+16    0.00000e+00
    1.06673e-04    8.87200e+21    0.00000e+00    6.92528e+22    9.55652e+22    2.53734e+16    0.00000e+00
    1.12228e-04    9.47823e+21    0.00000e+00    7.11709e+22    9.97268e+22    2.79872e+16    0.00000e+00
    1.18071e-04    1.01215e+22    0.00000e+00    7.26898e+22    1.03491e+23    3.08696e+16    0.00000e+00
    1.24219e-04    1.10307e+22    0.00000e+00    7.48480e+22    1.07948e+23    3.40493e+16    0.00000e+00
    1.30687e-04    1.17872e+22    0.00000e+00    7.68601e+22    1.12391e+23    3.75565e+16    0.00000e+00
    1.37492e-04    1.25990e+22    0.00000e+00    7.86487e+22    1.16565e+23    4.14250e+16    0.00000e+00
    1.44651e-04    1.35506e+22    0.00000e+00    8.06891e+22    1.21005e+23    4.56918e+16    0.00000e+00
    1.52183e-04    1.43971e+22    0.00000e+00    8.28107e+22    1.25022e+23    5.03983e+16    0.00000e+00
    1.60106e-04    1.54276e+22    0.00000e+00    8.48833e+22    1.28957e+23    5.55887e+16    0.00000e+00
    1.68443e-04    1.64224e+22    0.00000e+00    8.67337e+22    1.32674e+23    6.13148e+16    0.00000e+00
    1.77214e-04    1.75240e+22    0.00000e+00    8.87979e+22    1.37471e+23    6.76305e+16    0.00000e+00
    1.86441e-04    1.85019e+22    0.00000e+00    8.99203e+22    1.41038e+23    7.45963e+16    0.00000e+00
    1.96149e-04    1.96857e+22    0.00000e+00    9.22319e+22    1.44880e+23    8.22801e+16    0.00000e+00
    2.06362e-04    2.07771e+22    0.00000e+00    9.37880e+22    1.48565e+23    9.07548e+16    0.00000e+00
    2.17107e-04    2.19517e+22    0.00000e+00    9.53272e+22    1.52733e+23    1.00103e+17    0.00000e+00
    2.28411e-04    2.30771e+22    0.00000e+00    9.66950e+22    1.55606e+23    1.10413e+17    0.00000e+00
    2.40304e-04    2.44609e+22    0.00000e+00    9.81414e+22    1.58572e+23    1.21808e+17    0.00000e+00
    2.52817e-04    2.55257e+22    0.00000e+00    9.94202e+22    1.61619e+23    1.34386e+17    0.00000e+00
    2.65980e-04    2.66612e+22    0.00000e+00    1.00706e+23    1.65143e+23    1.48165e+17    0.00000e+00
