Year,BuildingType,Target,BuildingTypeShorthand,Unit,ConstructionMethod
2033,Higher Education,79.0,High. Ed.,kWh/m²GIA/yr,newbuild
2034,Higher Education,76.0,High. Ed.,kWh/m²GIA/yr,newbuild
2035,Higher Education,74.0,High. Ed.,kWh/m²GIA/yr,newbuild
2036,Higher Education,71.0,High. Ed.,kWh/m²GIA/yr,newbuild
2037,Higher Education,68.0,High. Ed.,kWh/m²GIA/yr,newbuild
2038,Higher Education,66.0,High. Ed.,kWh/m²GIA/yr,newbuild
2039,Higher Education,63.0,High. Ed.,kWh/m²GIA/yr,newbuild
2040,Higher Education,60.0,High. Ed.,kWh/m²GIA/yr,newbuild
2050,Higher Education,60.0,High. Ed.,kWh/m²GIA/yr,newbuild
2025,Homes - Single family homes,45.0,Home S.F.,kWh/m²GIA/yr,newbuild
2026,Homes - Single family homes,45.0,Home S.F.,kWh/m²GIA/yr,newbuild
2027,Homes - Single family homes,44.0,Home S.F.,kWh/m²GIA/yr,newbuild
2028,Homes - Single family homes,43.0,Home S.F.,kWh/m²GIA/yr,newbuild
2029,Homes - Single family homes,43.0,Home S.F.,kWh/m²GIA/yr,newbuild
2030,Homes - Single family homes,42.0,Home S.F.,kWh/m²GIA/yr,newbuild
2031,Homes - Single family homes,41.0,Home S.F.,kWh/m²GIA/yr,newbuild
2032,Homes - Single family homes,41.0,Home S.F.,kWh/m²GIA/yr,newbuild
2033,Homes - Single family homes,40.0,Home S.F.,kWh/m²GIA/yr,newbuild
2034,Homes - Single family homes,39.0,Home S.F.,kWh/m²GIA/yr,newbuild
2035,Homes - Single family homes,39.0,Home S.F.,kWh/m²GIA/yr,newbuild
2036,Homes - Single family homes,38.0,Home S.F.,kWh/m²GIA/yr,newbuild
2037,Homes - Single family homes,37.0,Home S.F.,kWh/m²GIA/yr,newbuild
2038,Homes - Single family homes,37.0,Home S.F.,kWh/m²GIA/yr,newbuild
2039,Homes - Single family homes,36.0,Home S.F.,kWh/m²GIA/yr,newbuild
2040,Homes - Single family homes,35.0,Home S.F.,kWh/m²GIA/yr,newbuild
2050,Homes - Single family homes,35.0,Home S.F.,kWh/m²GIA/yr,newbuild
2025,Homes - Flats,40.0,Home Flat.,kWh/m²GIA/yr,newbuild
2026,Homes - Flats,40.0,Home Flat.,kWh/m²GIA/yr,newbuild
2027,Homes - Flats,40.0,Home Flat.,kWh/m²GIA/yr,newbuild
2028,Homes - Flats,39.0,Home Flat.,kWh/m²GIA/yr,newbuild
2029,Homes - Flats,39.0,Home Flat.,kWh/m²GIA/yr,newbuild
2030,Homes - Flats,39.0,Home Flat.,kWh/m²GIA/yr,newbuild
2031,Homes - Flats,38.0,Home Flat.,kWh/m²GIA/yr,newbuild
2032,Homes - Flats,38.0,Home Flat.,kWh/m²GIA/yr,newbuild
2033,Homes - Flats,38.0,Home Flat.,kWh/m²GIA/yr,newbuild
2034,Homes - Flats,37.0,Home Flat.,kWh/m²GIA/yr,newbuild
2035,Homes - Flats,37.0,Home Flat.,kWh/m²GIA/yr,newbuild
2036,Homes - Flats,37.0,Home Flat.,kWh/m²GIA/yr,newbuild
2037,Homes - Flats,36.0,Home Flat.,kWh/m²GIA/yr,newbuild
2038,Homes - Flats,36.0,Home Flat.,kWh/m²GIA/yr,newbuild
2039,Homes - Flats,36.0,Home Flat.,kWh/m²GIA/yr,newbuild
2040,Homes - Flats,35.0,Home Flat.,kWh/m²GIA/yr,newbuild
2050,Homes - Flats,35.0,Home Flat.,kWh/m²GIA/yr,newbuild
2025,Hotel,125.0,Hotel,kWh/m²GIA/yr,newbuild
2026,Hotel,122.0,Hotel,kWh/m²GIA/yr,newbuild
2027,Hotel,119.0,Hotel,kWh/m²GIA/yr,newbuild
2028,Hotel,116.0,Hotel,kWh/m²GIA/yr,newbuild
2029,Hotel,113.0,Hotel,kWh/m²GIA/yr,newbuild
2030,Hotel,110.0,Hotel,kWh/m²GIA/yr,newbuild
2031,Hotel,107.0,Hotel,kWh/m²GIA/yr,newbuild
2032,Hotel,104.0,Hotel,kWh/m²GIA/yr,newbuild
2033,Hotel,101.0,Hotel,kWh/m²GIA/yr,newbuild
2034,Hotel,98.0,Hotel,kWh/m²GIA/yr,newbuild
2035,Hotel,95.0,Hotel,kWh/m²GIA/yr,newbuild
2036,Hotel,92.0,Hotel,kWh/m²GIA/yr,newbuild
2037,Hotel,89.0,Hotel,kWh/m²GIA/yr,newbuild
2038,Hotel,86.0,Hotel,kWh/m²GIA/yr,newbuild
2039,Hotel,83.0,Hotel,kWh/m²GIA/yr,newbuild
2040,Hotel,80.0,Hotel,kWh/m²GIA/yr,newbuild
2050,Hotel,80.0,Hotel,kWh/m²GIA/yr,newbuild
2025,Office - General,85.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2026,Office - General,83.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2027,Office - General,80.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2028,Office - General,77.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2029,Office - General,75.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2030,Office - General,72.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2031,Office - General,69.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2032,Office - General,67.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2033,Office - General,64.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2034,Office - General,61.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2035,Office - General,59.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2036,Office - General,56.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2037,Office - General,53.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2038,Office - General,51.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2039,Office - General,48.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2040,Office - General,45.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2050,Office - General,45.0,Off. Gen. (GIA),kWh/m²GIA/yr,newbuild
2025,Office - Call Centre,127.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2026,Office - Call Centre,123.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2027,Office - Call Centre,119.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2028,Office - Call Centre,115.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2029,Office - Call Centre,111.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2030,Office - Call Centre,106.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2031,Office - Call Centre,102.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2032,Office - Call Centre,98.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2033,Office - Call Centre,94.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2034,Office - Call Centre,90.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2035,Office - Call Centre,85.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2036,Office - Call Centre,81.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2037,Office - Call Centre,77.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2038,Office - Call Centre,73.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2039,Office - Call Centre,69.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2040,Office - Call Centre,64.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2050,Office - Call Centre,64.0,Off. Call Cen. (GIA),kWh/m²GIA/yr,newbuild
2025,Office - Trading Floors,147.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2026,Office - Trading Floors,143.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2027,Office - Trading Floors,138.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2028,Office - Trading Floors,133.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2029,Office - Trading Floors,128.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2030,Office - Trading Floors,123.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2031,Office - Trading Floors,118.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2032,Office - Trading Floors,113.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2033,Office - Trading Floors,109.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2034,Office - Trading Floors,104.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2035,Office - Trading Floors,99.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2036,Office - Trading Floors,94.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2037,Office - Trading Floors,89.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2038,Office - Trading Floors,84.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2039,Office - Trading Floors,79.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2040,Office - Trading Floors,74.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2050,Office - Trading Floors,74.0,Off. Tr. Fl. (GIA),kWh/m²GIA/yr,newbuild
2025,Retail - Supermarket,200.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2026,Retail - Supermarket,194.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2027,Retail - Supermarket,188.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2028,Retail - Supermarket,182.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2029,Retail - Supermarket,176.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2030,Retail - Supermarket,170.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2031,Retail - Supermarket,164.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2032,Retail - Supermarket,158.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2033,Retail - Supermarket,152.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2034,Retail - Supermarket,146.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2035,Retail - Supermarket,140.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2036,Retail - Supermarket,134.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2037,Retail - Supermarket,128.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2038,Retail - Supermarket,122.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2039,Retail - Supermarket,116.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2040,Retail - Supermarket,110.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2050,Retail - Supermarket,110.0,Retail Super M.,kWh/m²GIA/yr,newbuild
2025,Retail - High street retail e.g. dept. store,70.0,Retail Hi. St.,kWh/m²GIA/yr,newbuild
2026,Retail - High street retail e.g. dept. store,68.0,Retail Hi. St.,kWh/m²GIA/yr,newbuild
2027,Retail - High street retail e.g. dept. store,66.0,Retail Hi. St.,kWh/m²GIA/yr,newbuild
2028,Retail - High street retail e.g. dept. store,63.0,Retail Hi. St.,kWh/m²GIA/yr,newbuild
2029,Retail - High street retail e.g. dept. store,61.0,Retail Hi. St.,kWh/m²GIA/yr,newbuild
2030,Retail - High street retail e.g. dept. store,59.0,Retail Hi. St.,kWh/m²GIA/yr,newbuild
2031,Retail - High street retail e.g. dept. store,56.0,Retail Hi. St.,kWh/m²GIA/yr,newbuild
2032,Retail - High street retail e.g. dept. store,54.0,Retail Hi. St.,kWh/m²GIA/yr,newbuild
2033,Retail - High street retail e.g. dept. store,52.0,Retail Hi. St.,kWh/m²GIA/yr,newbuild
2034,Retail - High street retail e.g. dept. store,49.0,Retail Hi. St.,kWh/m²GIA/yr,newbuild
2035,Retail - High street retail e.g. dept. store,47.0,Retail Hi. St.,kWh/m²GIA/yr,newbuild
2036,Retail - High street retail e.g. dept. store,45.0,Retail Hi. St.,kWh/m²GIA/yr,newbuild
2037,Retail - High street retail e.g. dept. store,42.0,Retail Hi. St.,kWh/m²GIA/yr,newbuild
2038,Retail - High street retail e.g. dept. store,40.0,Retail Hi. St.,kWh/m²GIA/yr,newbuild
2039,Retail - High street retail e.g. dept. store,38.0,Retail Hi. St.,kWh/m²GIA/yr,newbuild
2040,Retail - High street retail e.g. dept. store,35.0,Retail Hi. St.,kWh/m²GIA/yr,newbuild
2050,Retail - High street retail e.g. dept. store,35.0,Retail Hi. St.,kWh/m²GIA/yr,newbuild
2025,Retail - F&B without catering (a),215.0,Retail FB w/o Cater.,kWh/m²GIA/yr,newbuild
2026,Retail - F&B without catering (a),209.0,Retail FB w/o Cater.,kWh/m²GIA/yr,newbuild
2027,Retail - F&B without catering (a),202.0,Retail FB w/o Cater.,kWh/m²GIA/yr,newbuild
2028,Retail - F&B without catering (a),195.0,Retail FB w/o Cater.,kWh/m²GIA/yr,newbuild
2029,Retail - F&B without catering (a),189.0,Retail FB w/o Cater.,kWh/m²GIA/yr,newbuild
2030,Retail - F&B without catering (a),182.0,Retail FB w/o Cater.,kWh/m²GIA/yr,newbuild
2031,Retail - F&B without catering (a),175.0,Retail FB w/o Cater.,kWh/m²GIA/yr,newbuild
2032,Retail - F&B without catering (a),169.0,Retail FB w/o Cater.,kWh/m²GIA/yr,newbuild
2033,Retail - F&B without catering (a),162.0,Retail FB w/o Cater.,kWh/m²GIA/yr,newbuild
2034,Retail - F&B without catering (a),155.0,Retail FB w/o Cater.,kWh/m²GIA/yr,newbuild
2035,Retail - F&B without catering (a),149.0,Retail FB w/o Cater.,kWh/m²GIA/yr,newbuild
2036,Retail - F&B without catering (a),142.0,Retail FB w/o Cater.,kWh/m²GIA/yr,newbuild
2037,Retail - F&B without catering (a),135.0,Retail FB w/o Cater.,kWh/m²GIA/yr,newbuild
2038,Retail - F&B without catering (a),129.0,Retail FB w/o Cater.,kWh/m²GIA/yr,newbuild
2039,Retail - F&B without catering (a),122.0,Retail FB w/o Cater.,kWh/m²GIA/yr,newbuild
2040,Retail - F&B without catering (a),115.0,Retail FB w/o Cater.,kWh/m²GIA/yr,newbuild
2050,Retail - F&B without catering (a),115.0,Retail FB w/o Cater.,kWh/m²GIA/yr,newbuild
2025,Retail - F&B with catering (b),380.0,Retail FB inc. Cater.,kWh/m²GIA/yr,newbuild
2026,Retail - F&B with catering (b),370.0,Retail FB inc. Cater.,kWh/m²GIA/yr,newbuild
2027,Retail - F&B with catering (b),359.0,Retail FB inc. Cater.,kWh/m²GIA/yr,newbuild
2028,Retail - F&B with catering (b),348.0,Retail FB inc. Cater.,kWh/m²GIA/yr,newbuild
2029,Retail - F&B with catering (b),338.0,Retail FB inc. Cater.,kWh/m²GIA/yr,newbuild
2030,Retail - F&B with catering (b),327.0,Retail FB inc. Cater.,kWh/m²GIA/yr,newbuild
2031,Retail - F&B with catering (b),316.0,Retail FB inc. Cater.,kWh/m²GIA/yr,newbuild
2032,Retail - F&B with catering (b),306.0,Retail FB inc. Cater.,kWh/m²GIA/yr,newbuild
2033,Retail - F&B with catering (b),295.0,Retail FB inc. Cater.,kWh/m²GIA/yr,newbuild
2034,Retail - F&B with catering (b),284.0,Retail FB inc. Cater.,kWh/m²GIA/yr,newbuild
2035,Retail - F&B with catering (b),274.0,Retail FB inc. Cater.,kWh/m²GIA/yr,newbuild
2036,Retail - F&B with catering (b),263.0,Retail FB inc. Cater.,kWh/m²GIA/yr,newbuild
2037,Retail - F&B with catering (b),252.0,Retail FB inc. Cater.,kWh/m²GIA/yr,newbuild
2038,Retail - F&B with catering (b),242.0,Retail FB inc. Cater.,kWh/m²GIA/yr,newbuild
2039,Retail - F&B with catering (b),231.0,Retail FB inc. Cater.,kWh/m²GIA/yr,newbuild
2040,Retail - F&B with catering (b),220.0,Retail FB inc. Cater.,kWh/m²GIA/yr,newbuild
2050,Retail - F&B with catering (b),220.0,Retail FB inc. Cater.,kWh/m²GIA/yr,newbuild
2025,Retail - Landlord areas (c),55.0,Retail LL.,kWh/m²GIA/yr,newbuild
2026,Retail - Landlord areas (c),54.0,Retail LL.,kWh/m²GIA/yr,newbuild
2027,Retail - Landlord areas (c),53.0,Retail LL.,kWh/m²GIA/yr,newbuild
2028,Retail - Landlord areas (c),52.0,Retail LL.,kWh/m²GIA/yr,newbuild
2029,Retail - Landlord areas (c),51.0,Retail LL.,kWh/m²GIA/yr,newbuild
2030,Retail - Landlord areas (c),50.0,Retail LL.,kWh/m²GIA/yr,newbuild
2031,Retail - Landlord areas (c),49.0,Retail LL.,kWh/m²GIA/yr,newbuild
2032,Retail - Landlord areas (c),48.0,Retail LL.,kWh/m²GIA/yr,newbuild
2033,Retail - Landlord areas (c),47.0,Retail LL.,kWh/m²GIA/yr,newbuild
2034,Retail - Landlord areas (c),46.0,Retail LL.,kWh/m²GIA/yr,newbuild
2035,Retail - Landlord areas (c),45.0,Retail LL.,kWh/m²GIA/yr,newbuild
2036,Retail - Landlord areas (c),44.0,Retail LL.,kWh/m²GIA/yr,newbuild
2037,Retail - Landlord areas (c),43.0,Retail LL.,kWh/m²GIA/yr,newbuild
2038,Retail - Landlord areas (c),42.0,Retail LL.,kWh/m²GIA/yr,newbuild
2039,Retail - Landlord areas (c),41.0,Retail LL.,kWh/m²GIA/yr,newbuild
2040,Retail - Landlord areas (c),40.0,Retail LL.,kWh/m²GIA/yr,newbuild
2050,Retail - Landlord areas (c),40.0,Retail LL.,kWh/m²GIA/yr,newbuild
2025,Retail - warehouse,80.0,Retail W.H,kWh/m²GIA/yr,newbuild
2026,Retail - warehouse,78.0,Retail W.H,kWh/m²GIA/yr,newbuild
2027,Retail - warehouse,75.0,Retail W.H,kWh/m²GIA/yr,newbuild
