Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    2.80096e+14    0.00000e+00    5.28999e+22    1.56284e+17    0.00000e+00    0.00000e+00
    1.05207e-06    5.12978e+14    0.00000e+00    5.26328e+22    2.38640e+17    1.51349e+11    0.00000e+00
    1.10685e-06    5.46513e+14    0.00000e+00    6.79979e+22    2.29687e+17    1.66938e+11    0.00000e+00
    1.16448e-06    5.77474e+14    0.00000e+00    6.58283e+22    2.68571e+17    1.84133e+11    0.00000e+00
    1.22511e-06    6.69108e+14    0.00000e+00    7.08771e+22    3.78106e+17    2.03097e+11    0.00000e+00
    1.28890e-06    1.12039e+15    0.00000e+00    9.98591e+22    3.94351e+17    2.24017e+11    0.00000e+00
    1.35602e-06    1.24557e+15    0.00000e+00    9.97629e+22    5.07278e+17    2.47094e+11    0.00000e+00
    1.42662e-06    1.35259e+15    0.00000e+00    1.13296e+23    5.07997e+17    2.72542e+11    0.00000e+00
    1.50090e-06    2.71455e+15    0.00000e+00    1.25300e+23    6.28836e+17    3.00614e+11    0.00000e+00
    1.57905e-06    3.15348e+15    0.00000e+00    1.18672e+23    7.87896e+17    3.31577e+11    0.00000e+00
    1.66127e-06    2.92376e+15    0.00000e+00    1.69010e+23    8.09199e+17    3.65731e+11    0.00000e+00
    1.74777e-06    5.09184e+15    0.00000e+00    1.73821e+23    1.16225e+18    4.03401e+11    0.00000e+00
    1.83878e-06    5.93401e+15    0.00000e+00    1.73839e+23    1.18910e+18    4.44955e+11    0.00000e+00
    1.93452e-06    6.09620e+15    0.00000e+00    2.16456e+23    1.36660e+18    4.90784e+11    0.00000e+00
    2.03525e-06    8.07040e+15    0.00000e+00    2.24859e+23    1.89459e+18    5.41337e+11    0.00000e+00
    2.14122e-06    9.97962e+15    0.00000e+00    2.62822e+23    2.14360e+18    5.97093e+11    0.00000e+00
    2.25271e-06    1.32346e+16    0.00000e+00    2.99861e+23    2.28854e+18    6.58594e+11    0.00000e+00
    2.37001e-06    1.35965e+16    0.00000e+00    3.03844e+23    2.75352e+18    7.26433e+11    0.00000e+00
    2.49341e-06    1.74042e+16    0.00000e+00    3.59904e+23    3.00715e+18    8.01254e+11    0.00000e+00
    2.62324e-06    1.98829e+16    0.00000e+00    3.82854e+23    3.96238e+18    8.83785e+11    0.00000e+00
    2.75983e-06    2.20035e+16    0.00000e+00    4.10594e+23    4.57170e+18    9.74817e+11    0.00000e+00
    2.90353e-06    3.03373e+16    0.00000e+00    4.87998e+23    4.72686e+18    1.07522e+12    0.00000e+00
    3.05471e-06    3.65493e+16    0.00000e+00    4.82281e+23    5.72439e+18    1.18597e+12    0.00000e+00
    3.21376e-06    4.04957e+16    0.00000e+00    5.56583e+23    6.40536e+18    1.30812e+12    0.00000e+00
    3.38110e-06    4.86398e+16    0.00000e+00    5.72073e+23    8.20975e+18    1.44287e+12    0.00000e+00
    3.55715e-06    6.42605e+16    0.00000e+00    6.13144e+23    1.01596e+19    1.59148e+12    0.00000e+00
    3.74237e-06    8.06144e+16    0.00000e+00    7.11706e+23    1.08471e+19    1.75541e+12    0.00000e+00
    3.93723e-06    7.69834e+16    0.00000e+00    7.32181e+23    1.25754e+19    1.93622e+12    0.00000e+00
    4.14223e-06    9.66150e+16    0.00000e+00    7.71974e+23    1.44520e+19    2.13565e+12    0.00000e+00
    4.35791e-06    1.36250e+17    0.00000e+00    8.44860e+23    1.69928e+19    2.35562e+12    0.00000e+00
    4.58482e-06    1.51317e+17    0.00000e+00    9.19963e+23    2.15587e+19    2.59825e+12    0.00000e+00
    4.82355e-06    1.64783e+17    0.00000e+00    1.00221e+24    2.35690e+19    2.86588e+12    0.00000e+00
    5.07471e-06    2.23058e+17    0.00000e+00    1.05828e+24    2.34010e+19    3.16107e+12    0.00000e+00
    5.33894e-06    2.41040e+17    0.00000e+00    1.13383e+24    3.25259e+19    3.48666e+12    0.00000e+00
    5.61693e-06    2.78462e+17    0.00000e+00    1.22699e+24    3.94413e+19    3.84579e+12    0.00000e+00
