Hawking primary spectra for each particle types.
energy/particle         photon         gluons          higgs            W+-             Z0      neutrinos       electron           muon            tau             up           down          charm        strange            top         bottom       graviton             DM
    1.00000e-06    1.92509e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.28430e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.86689e-05    0.00000e+00
    1.05207e-06    2.23329e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.51958e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.41039e-05    0.00000e+00
    1.10685e-06    2.59083e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.77910e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.11210e-05    0.00000e+00
    1.16448e-06    3.00561e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.06535e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.01810e-05    0.00000e+00
    1.22511e-06    3.48679e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.38109e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.18786e-05    0.00000e+00
    1.28890e-06    4.04501e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.72934e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.69815e-05    0.00000e+00
    1.35602e-06    4.69260e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.11347e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.64813e-05    0.00000e+00
    1.42662e-06    5.44386e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.53716e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.11658e-04    0.00000e+00
    1.50090e-06    6.31540e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.00449e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.44164e-04    0.00000e+00
    1.57905e-06    7.32647e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.51996e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.86133e-04    0.00000e+00
    1.66127e-06    8.49940e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.08852e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.40320e-04    0.00000e+00
    1.74777e-06    9.86012e+07    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.71565e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.10283e-04    0.00000e+00
    1.83878e-06    1.14387e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.40736e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.00613e-04    0.00000e+00
    1.93452e-06    1.32700e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.17033e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.17240e-04    0.00000e+00
    2.03525e-06    1.53944e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.01189e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.67819e-04    0.00000e+00
    2.14122e-06    1.78590e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.94012e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.62235e-04    0.00000e+00
    2.25271e-06    2.07181e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.09640e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.11325e-03    0.00000e+00
