      E_gamma(MeV)          Gamma Rays            Positrons
    5.1454400000e-01     9.9999999997e+11     1.5000000000e+14
    5.4133600000e-01     9.9999999997e+11     1.1319714743e+14
    5.6952300000e-01     9.9999999997e+11     8.4181007549e+13
    5.9917700000e-01     1.0560949060e+12     6.1645108691e+13
    6.3037500000e-01     1.1185104378e+12     4.4415814460e+13
    6.6319800000e-01     1.1881630020e+12     3.1460203498e+13
    6.9773000000e-01     1.2661292481e+12     2.1887038922e+13
    7.3406000000e-01     1.3536837944e+12     1.4941973387e+13
    7.7228100000e-01     1.4523387562e+12     9.9999999999e+12
    8.1249300000e-01     1.5639039052e+12     9.9999999999e+12
    8.5479800000e-01     1.6905389136e+12     9.9999999999e+12
    8.9930700000e-01     1.8348559506e+12     9.9999999999e+12
    9.4613200000e-01     1.9999999999e+12     9.9999999999e+12
    9.9539600000e-01     9.9999999997e+11     9.9999999999e+12
    1.0472300000e+00     1.2000000000e+13     1.9000000000e+13
    1.1017500000e+00     7.0000000000e+12     1.2000000000e+13
    1.1591200000e+00     5.3291161424e+12     8.5600525498e+12
    1.2194700000e+00     4.0000000000e+12     6.0000000000e+12
    1.2829700000e+00     1.0000000000e+11     3.5126303556e+12
    1.3497700000e+00     1.1000000000e+12     2.0000000000e+12
    1.4200500000e+00     9.0000000000e+11     2.0000000000e+12
    1.4939900000e+00     6.0000000000e+11     2.0000000000e+12
    1.5717800000e+00     5.0000000000e+11     1.3000000000e+12
    1.6536200000e+00     4.0000000000e+11     9.0000000000e+11
    1.7397300000e+00     1.2000000000e+11     2.0000000000e+11
    1.8303100000e+00     6.0000000000e+10     1.0000000000e+11
    1.9256100000e+00     7.0000000000e+10     1.2000000000e+11
    2.0258800000e+00     1.0000000000e+10     3.0000000000e+10
    2.1313600000e+00     1.1000000000e+10     3.0000000000e+10
    2.2423400000e+00     1.0000000000e+09     1.2529112202e+10
    2.3591000000e+00     3.0000000000e+09     5.0000000000e+09
    2.4819300000e+00     2.0000000000e+08     1.0000000000e+09
    2.6111600000e+00     3.0000000000e+08     5.0000000000e+08
    2.7471200000e+00     7.0000000000e+07     1.0000000000e+08
    2.8901600000e+00     1.0000000000e+07     1.0000000000e+07
    3.0406500000e+00     2.0000000000e+07     3.0000000000e+07
