0 1 2 3 4 5 6 7 8 9
0 3 5 11 15 16 19 24 31 39
0 5 10 12 22 26 27 28 34 37
0 5 13 20 21 23 32 33 36 40
0 5 14 17 18 25 29 30 35 38
1 3 6 15 18 21 22 28 36 38
1 6 10 11 13 14 16 20 25 37
1 6 12 23 27 29 30 31 33 39
1 6 17 19 24 26 32 34 35 40
2 3 4 12 14 15 25 27 32 40
2 4 10 19 21 24 29 30 36 37
2 4 11 16 18 23 26 33 34 38
2 4 13 17 20 22 28 31 35 39
3 7 9 10 15 17 23 33 35 37
3 8 13 15 20 26 29 30 34 40
7 9 11 16 22 28 29 30 32 40
7 9 12 13 18 19 20 24 27 38
7 9 14 21 25 26 31 34 36 39
8 10 18 31 32 36 37 38 39 40
8 11 12 15 16 17 21 27 35 36
8 14 19 21 22 23 24 25 28 33
