0 1 2 3 4 5 6 7 8 9
0 8 10 11 23 27 29 30 35 36
0 8 12 20 22 25 31 32 38 41
0 8 13 15 16 17 18 19 21 39
0 8 14 24 26 28 33 34 37 40
1 6 10 18 23 28 37 38 39 41
1 6 11 12 16 21 22 24 36 40
1 6 13 14 19 20 29 30 32 33
1 6 15 17 25 26 27 31 34 35
2 3 10 14 16 21 23 25 31 33
2 3 11 18 20 26 32 34 36 39
2 3 12 15 17 22 28 29 30 37
2 3 13 19 24 27 35 38 40 41
4 5 10 12 13 19 22 23 26 34
4 5 11 14 15 17 33 36 38 41
4 5 16 20 21 27 28 32 35 37
4 5 18 24 25 29 30 31 39 40
7 9 10 15 17 20 23 24 32 40
7 9 11 13 19 25 28 31 36 37
7 9 12 14 18 22 27 33 35 39
7 9 16 21 26 29 30 34 38 41
