0 1 2
0 3 4
0 5 6
0 7 8
0 9 10
0 11 12
0 13 14
0 15 16
0 17 18
0 19 20
0 21 22
0 23 24
0 25 26
0 27 28
0 29 30
0 31 32
0 33 34
0 35 36
0 37 38
0 39 40
1 3 21
1 4 14
1 5 24
1 6 23
1 7 29
1 8 39
1 9 26
1 10 11
1 12 13
1 15 34
1 16 40
1 17 33
1 18 28
1 19 31
1 20 27
1 22 36
1 25 37
1 30 32
1 35 38
2 3 24
2 4 19
2 5 32
2 6 20
2 7 33
2 8 34
2 9 37
2 10 29
2 11 21
2 12 23
2 13 36
2 14 17
2 15 25
2 16 18
2 22 31
2 26 30
2 27 40
2 28 38
2 35 39
3 5 35
3 6 19
3 7 31
3 8 18
3 9 11
3 10 39
3 12 30
3 13 34
3 14 27
3 15 22
3 16 32
3 17 28
3 20 37
3 23 25
3 26 29
3 33 38
3 36 40
4 5 29
4 6 31
4 7 38
4 8 20
4 9 30
4 10 28
4 11 32
4 12 15
4 13 21
4 16 24
4 17 22
4 18 34
4 23 40
4 25 36
4 26 39
4 27 35
4 33 37
5 7 15
5 8 26
5 9 19
5 10 38
5 11 34
5 12 28
5 13 22
5 14 40
5 16 30
5 17 23
5 18 39
5 20 25
5 21 37
5 27 36
5 31 33
6 7 28
6 8 38
6 9 16
6 10 18
6 11 36
6 12 27
6 13 39
6 14 22
6 15 33
6 17 26
6 21 25
6 24 32
6 29 37
6 30 40
6 34 35
7 9 34
7 10 17
7 11 13
7 12 39
7 14 36
7 16 20
7 18 32
7 19 37
7 21 27
7 22 23
7 24 30
7 25 40
7 26 35
8 9 33
8 10 24
8 11 19
8 12 40
8 13 27
8 14 21
8 15 28
8 16 22
8 17 37
8 23 36
8 25 31
8 29 32
8 30 35
9 12 31
9 13 18
9 14 39
9 15 40
9 17 35
9 20 24
9 21 23
9 22 28
9 25 32
9 27 38
9 29 36
10 12 33
10 13 15
10 14 30
10 16 26
10 19 40
10 20 31
10 21 36
10 22 34
10 23 32
10 25 35
10 27 37
11 14 15
11 16 23
11 17 20
11 18 40
11 22 27
11 24 33
11 25 30
11 26 31
11 28 29
11 35 37
11 38 39
12 14 16
12 17 21
12 18 20
12 19 22
12 21 26
12 21 38
12 24 36
12 25 34
12 29 35
12 32 37
13 16 33
13 17 25
13 19 35
13 20 40
13 23 31
13 24 26
13 28 32
13 29 38
13 30 37
14 18 25
14 19 26
14 20 23
14 24 38
14 28 33
14 29 34
14 31 37
14 32 35
15 17 39
15 18 27
15 19 36
15 20 38
15 21 29
15 23 30
15 24 37
15 26 32
15 31 35
16 17 31
16 19 29
16 21 34
16 25 27
16 28 35
16 36 38
16 37 39
17 19 27
17 24 29
17 30 38
17 32 36
17 34 40
18 19 33
18 21 24
18 22 37
18 23 35
18 26 38
18 29 31
18 30 36
19 21 28
19 23 39
19 24 25
19 30 34
19 32 38
20 21 35
20 22 26
20 28 30
20 29 39
20 32 34
20 33 36
21 30 31
21 32 40
21 33 39
22 24 35
22 25 38
22 29 40
22 30 39
22 32 33
23 26 33
23 27 29
23 28 37
23 34 38
24 27 31
24 28 40
24 34 39
25 28 39
25 29 33
26 27 34
26 28 36
26 37 40
27 30 33
27 32 39
28 31 34
31 36 39
31 38 40
33 35 40
34 36 37
