0 1 2 3 4 5 6 7 8 9
0 1 10 11 16 17 18 19 20 21
0 1 12 13 22 23 24 25 26 27
0 1 14 15 28 29 30 31 32 33
0 1 31 50 51 52 53 54 55 56
0 1 34 35 36 37 38 39 40 41
0 1 42 43 44 45 46 47 48 49
2 3 10 11 28 29 34 35 39 56
2 3 12 13 20 21 30 31 36 37
2 3 14 15 40 41 44 45 52 53
2 3 16 17 22 23 32 33 46 47
2 3 18 19 24 25 48 49 54 55
2 3 26 27 38 39 42 43 50 51
4 5 10 11 12 13 42 43 52 53
4 5 14 15 16 17 24 25 38 39
4 5 18 19 21 22 23 40 41 56
4 5 20 21 32 33 44 45 50 51
4 5 26 27 28 29 36 37 48 49
4 5 30 31 34 35 46 47 54 55
5 24 25 32 33 36 37 42 43 56
6 7 8 9 16 17 36 37 52 53
6 7 8 9 18 19 30 31 42 43
6 7 8 9 22 23 28 29 50 51
6 7 8 9 24 25 34 35 44 45
6 7 10 11 32 33 40 41 48 49
6 7 12 13 21 38 39 46 47 56
6 7 14 15 20 21 26 27 54 55
8 9 10 11 26 27 40 41 46 47
8 9 12 13 32 33 38 39 54 55
8 9 14 15 20 21 39 48 49 56
10 11 12 13 14 15 20 38 40 41
10 11 22 23 36 37 44 45 54 55
10 11 24 25 30 31 40 41 50 51
12 13 16 17 34 35 48 49 50 51
12 13 18 19 28 29 38 39 44 45
14 15 18 19 36 37 46 47 50 51
14 15 20 21 22 23 34 35 42 43
16 17 24 26 27 30 31 44 45 56
16 17 28 29 40 41 42 43 54 55
18 19 26 27 32 33 34 35 52 53
20 21 24 25 28 29 46 47 52 53
22 23 30 31 38 39 48 49 52 53
