0 1 2 3 4 5 6 7 8
0 1 5 7 9 21 26 27 32
0 2 11 18 20 21 23 28 31
0 3 4 10 12 15 20 21 22
0 6 13 14 16 17 21 24 29
0 8 19 21 25 30 33 34 35
1 2 10 15 24 26 29 30 33
1 3 16 17 18 19 26 29 35
1 4 8 13 14 20 26 28 31
1 6 11 12 22 23 25 26 34
2 4 7 9 16 17 20 25 34
2 12 13 14 19 22 27 32 35
3 5 10 13 14 15 18 25 34
3 7 9 11 13 14 23 30 33
3 24 25 27 28 29 31 32 34
4 5 11 19 20 23 24 29 35
4 6 7 18 20 27 30 32 33
5 12 16 17 22 28 30 31 33
6 7 9 10 15 19 28 31 35
7 8 9 12 18 22 24 27 29
8 10 11 15 16 17 23 27 32
