Type élément;Type bâtiment;Winst(Q);Wnet,fin;Wfin;Ufin,max
Chevrons;Bâtiments courants;None;150;125;None
Chevrons;Bâtiments agricoles et similaires;None;150;100;None
Panneaux de planchers ou supports de toiture;Bâtiments courants;None;250;250;None
Panneaux de planchers ou supports de toiture;Bâtiments agricoles et similaires;None;250;250;None
Élément structuraux;Bâtiments courants;300;200;125;None
Élément structuraux;Bâtiments agricoles et similaires;200;150;100;None
Linteaux;Bâtiments courants;500;500;500;10
Linteaux;Bâtiments agricoles et similaires;500;500;500;10
