classe;fm0k;ft0k;ft90k;fc0k;fc90k;fvk;E0mean;E005;E90mean;Gmoy;rhok;rhomean
;Flexion;Traction Axiale;Traction Transversale;Compression Axiale;Compression Transversale;Cisaillement;Module Moyen d'Elasticité Axial;Module d'Elasticité Axial au Fractile 5%;Module Moyen d'Elasticité Transversal;Module Moyen de Cisaillement;Masse Volumique au Fractile 5%;Masse Volumique moyenne
;MPa;MPa;MPa;MPa;MPa;MPa;MPa;MPa;MPa;MPa;kg/m3;kg/m3
C14;14;7.2;0.4;16;2;3;7000;4700;230;440;290;350
C16;16;8.5;0.4;17;2.2;3.2;8000;5400;270;500;310;370
C18;18;10;0.4;18;2.2;3.4;9000;6000;300;560;320;380
C20;20;11.5;0.4;19;2.3;3.6;9500;6400;320;590;330;400
C22;22;13;0.4;20;2.4;3.8;10000;6700;330;630;340;410
C24;24;14.5;0.4;21;2.5;4;11000;7400;370;690;350;420
C27;27;16.5;0.4;22;2.5;4;11500;7700;380;720;360;430
C30;30;19;0.4;24;2.7;4;12000;8000;400;750;380;460
C35;35;22.5;0.4;25;2.7;4;13000;8700;430;810;390;470
C40;40;26;0.4;27;2.8;4;14000;9400;470;880;400;480
C45;45;30;0.4;29;2.9;4;15000;10100;500;940;410;490
C50;50;33.5;0.4;30;3;4;16000;10700;530;1000;430;520
D18;18;11;0.6;18;4.8;3.5;9500;8000;640;590;475;570
D24;24;14;0.6;21;4.9;3.7;10000;8400;670;630;485;580
D27;27;16;0.6;22;5.1;3.8;10500;8800;700;660;510;610
D30;30;18;0.6;24;5.3;3.9;11000;9200;730;690;530;640
D35;35;21;0.6;25;5.4;4.1;12000;10100;800;750;540;650
D40;40;24;0.6;27;5.5;4.2;13000;10900;870;810;550;660
D45;45;27;0.6;29;5.8;4.4;13500;11300;900;840;580;700
D50;50;30;0.6;30;6.2;4.5;14000;11800;930;880;620;740
D55;55;33;0.6;32;6.6;4.7;15500;13000;1030;970;660;790
D60;60;36;0.6;33;10.5;4.8;17000;14300;1130;1060;700;840
D65;65;39;0.6;35;11.3;5;18500;15500;1230;1160;750;900
D70;70;42;0.6;36;12;5;20000;16800;1330;1250;800;960
D75;75;45;0.6;37;12.8;5;22000;18500;1470;1380;850;1020
D80;80;48;0.6;38;13.5;5;24000;20200;1600;1500;900;1080
GL20h;20;16;0.5;20;2.5;3.5;8400;7000;300;650;340;370
GL24h;24;19.2;0.5;24;2.5;3.5;11500;9600;300;650;385;420
GL28h;28;22.4;0.5;28;2.5;3.5;12600;10500;300;650;425;460
GL32h;32;25.6;0.5;32;2.5;3.5;14200;11800;300;650;440;490
GL20c;20;15;0.5;18.5;2.5;3.5;10400;8600;300;650;355;390
GL24c;24;17;0.5;21.5;2.5;3.5;11000;9100;300;650;365;400
GL28c;28;19.5;0.5;24;2.5;3.5;12500;10400;300;650;390;420
GL32c;32;19.5;0.5;24.5;2.5;3.5;13500;11200;300;650;400;440

