qualite;fyb;fub
4.6;240;400
4.8;320;400
5.6;300;500
5.8;400;500
6.8;480;600
8.8;640;800
9.8;810;900
10.9;900;1000
12.9;1080;1200
A2-50;210;500
A2-70;450;700
A2-80;600;800
A4-50;210;500
A4-70;450;700
A4-80;600;800
S235;235;360
S355;355;490
