Tool,Secondary,cmd_version,citation
KMC,None,kmc_v3 --version | head -n1, @kokot_kmc_2017
KMERS_GWAS, None, echo "v0.3-beta", @voichek_identifying_2020
BWA-MEM2, None, bwa-mem2  version 2>&1 | grep -A 1 "Launching" | tail -n1, @bwa
BWA, BWA, bwa 2>&1 | grep "Version" , @bwa
FLAGSTATS,BWA,bwa 2>&1 | grep "Version",@bwa
FLAGSTATS,SAMTOOLS,samtools --version | head -1,@samtools
SAMTOOLS,None,samtools --version | head -1,@samtools
SEQTK,None,seqtk 2>&1| grep 'Version',@seqtk
BEDTOOLS,None,bedtools --version,@bedtools
MERGETAGS,None,echo "dekupl-mergeTags version 5th january 2024", @mergetags
R,None, R --version | grep 'R version',@R
R,pcadapt,echo "pcadapt_4.3.5", @luu_pcadapt_2017
R,lfmm,echo "lfmm_1.1", @lfmm
R,LEA_snmf, echo "LEA_3.14.0", @snmf
