City,Lat,Lon
Abuja,9.06, 7.5
Accra,5.56, -0.2
Addis Ababa,9.02, 38.75
Algiers,36.73, 3.09
Antananarivo,-18.91, 47.54
Asmara,15.34, 38.93
Bamako,12.65, -8
Bangui,4.36, 18.56
Banjul,13.45, -16.58
Bissau,11.86, -15.6
Brazzaville,-4.27, 15.28
Bujumbura,-3.38, 29.36
Cairo,30.06, 31.25
Conakry,9.54, -13.68
Dakar,14.69, -17.44
Djibouti,11.59, 43.15
Dodoma,-6.17, 35.74
Freetown,8.48, -13.23
Gaborone,-24.65, 25.91
Harare,-17.83, 31.05
Juba,4.85, 31.58
Kampala,0.32, 32.58
Khartoum,15.55, 32.53
Kigali,-1.95, 30.06
Kinshasa,-4.33, 15.31
Libreville,0.39, 9.45
Lilongwe,-13.97, 33.79
Lomé,6.14, 1.21
Luanda,-8.84, 13.23
Lusaka,-15.41, 28.29
Malabo,3.75, 8.78
Maputo,-25.97, 32.58
Maseru,-29.32, 27.48
Mbabane,-26.32, 31.13
Mogadishu,2.04, 45.34
Monrovia,6.3, -10.8
Moroni,-11.7, 43.26
N'Djamena,12.11, 15.04
Nairobi,-1.28, 36.82
Niamey,13.51, 2.11
Nouakchott,18.09, -15.98
Ouagadougou,12.37, -1.53
Port Louis,-20.16, 57.5
Porto-Novo,6.5, 2.6
Praia,14.93, -23.51
Pretoria,-25.74, 28.19
Rabat,34.01, -6.83
São Tomé,0.34, 6.73
Tripoli,32.88, 13.19
Tunis,36.82, 10.17
Victoria,-4.62, 55.45
Windhoek,-22.56, 17.08
Yamoussoukro,6.82, -5.28
Yaoundé,3.87, 11.52
