# E_gamma(MeV)   TotalSpectrum
5.1454400000e-01 1.2114066293e+19
5.4133600000e-01 1.4184980755e+19
5.6952300000e-01 1.6592807956e+19
5.9917700000e-01 1.8840681689e+19
6.3037500000e-01 2.0347141815e+19
6.6319800000e-01 2.1193645394e+19
6.9773000000e-01 2.1567731340e+19
7.3406000000e-01 2.1578097058e+19
7.7228100000e-01 2.1333429544e+19
8.1249300000e-01 2.0893338316e+19
8.5479800000e-01 2.0327276688e+19
8.9930700000e-01 1.9672407373e+19
9.4613200000e-01 1.8952898287e+19
9.9539600000e-01 1.8188609710e+19
1.0472300000e+00 1.7406591788e+19
1.1017500000e+00 1.6619412949e+19
1.1591200000e+00 1.5831792919e+19
1.2194700000e+00 1.5054223602e+19
1.2829700000e+00 1.4287195671e+19
1.3497700000e+00 1.3547688730e+19
1.4200500000e+00 1.2828057826e+19
1.4939900000e+00 1.2132670611e+19
1.5717800000e+00 1.1465387515e+19
1.6536200000e+00 1.0822490575e+19
1.7397300000e+00 1.0210069312e+19
1.8303100000e+00 9.6225740089e+18
1.9256100000e+00 9.0642436387e+18
2.0258800000e+00 8.5322111480e+18
2.1313600000e+00 8.0263851823e+18
2.2423400000e+00 7.5479519523e+18
2.3591000000e+00 7.0905865920e+18
2.4819300000e+00 6.6612397637e+18
2.6111600000e+00 6.2532916692e+18
2.7471200000e+00 5.8684160766e+18
2.8901600000e+00 5.5053908642e+18
3.0406500000e+00 5.1617658023e+18
3.1989700000e+00 4.8385336915e+18
3.3655300000e+00 4.5332993714e+18
3.5407700000e+00 4.2463109790e+18
3.7251400000e+00 3.9757496722e+18
3.9191000000e+00 3.7217688900e+18
4.1231600000e+00 3.4823906247e+18
4.3378500000e+00 3.2577582669e+18
4.5637200000e+00 3.0465933431e+18
4.8013400000e+00 2.8492839085e+18
5.0513400000e+00 2.6642390936e+18
5.3143600000e+00 2.4907702456e+18
5.5910700000e+00 2.3286725627e+18
5.8821900000e+00 2.1771862279e+18
6.1884700000e+00 2.0363696284e+18
6.5106900000e+00 1.9058547761e+18
6.8497000000e+00 1.7847397753e+18
7.2063500000e+00 1.6737242285e+18
7.5815800000e+00 1.5716059495e+18
7.9763400000e+00 1.4791722236e+18
8.3916600000e+00 1.3957707405e+18
8.8286000000e+00 1.3220031268e+18
9.2882900000e+00 1.2580944409e+18
9.7719200000e+00 1.2038912797e+18
1.0280700000e+01 1.1615914258e+18
1.0816000000e+01 1.1285562636e+18
1.1379200000e+01 1.1063367148e+18
1.1971700000e+01 1.0956742828e+18
1.2595100000e+01 1.0961567622e+18
1.3250900000e+01 1.1078278163e+18
1.3940800000e+01 1.1295146097e+18
1.4666700000e+01 1.1593949617e+18
1.5430400000e+01 1.1944544014e+18
1.6233800000e+01 1.2295961130e+18
1.7079100000e+01 1.2601836228e+18
1.7968400000e+01 1.2780922315e+18
1.8904000000e+01 1.2779227271e+18
1.9888300000e+01 1.2516045801e+18
2.0923800000e+01 1.1926253086e+18
2.2013300000e+01 1.1001618464e+18
2.3159500000e+01 9.7267158968e+17
2.4365400000e+01 8.2483099501e+17
2.5634100000e+01 6.6878164640e+17
2.6968800000e+01 5.2223238105e+17
2.8373000000e+01 3.9341381699e+17
2.9850400000e+01 2.8783940445e+17
3.1404700000e+01 2.0603994221e+17
3.3039900000e+01 1.4354785329e+17
3.4760200000e+01 9.9623570937e+16
3.6570100000e+01 6.8866805642e+16
3.8474300000e+01 4.7481884328e+16
4.0477600000e+01 3.2686922585e+16
4.2585200000e+01 2.1461246323e+16
4.4802500000e+01 1.3222715386e+16
4.7135300000e+01 7.6910545874e+15
4.9589600000e+01 4.2062418039e+15
5.2171700000e+01 2.2991187483e+15
5.4888200000e+01 1.2596791280e+15
5.7746200000e+01 6.9274710923e+14
6.0752900000e+01 3.8159002785e+14
6.3916200000e+01 1.9070358416e+14
6.7244300000e+01 8.8778309111e+13
7.0745600000e+01 4.0172236247e+13
7.4429200000e+01 1.7366422364e+13
7.8304700000e+01 7.6314703202e+12
8.2381900000e+01 3.1016631505e+12
8.6671400000e+01 1.1753744797e+12
9.1184300000e+01 4.7148342255e+11
9.5932100000e+01 1.7040265517e+11
1.0092700000e+02 5.6551846576e+10
1.0618200000e+02 1.8324769902e+10
1.1171100000e+02 5.6276406280e+09
1.1752800000e+02 1.7834551809e+09
1.2364700000e+02 4.8914516293e+08
1.3008500000e+02 1.2009468042e+08
1.3685900000e+02 3.2252695037e+07
1.4398500000e+02 7.4793680194e+06
1.5148200000e+02 1.6285332353e+06
1.5936900000e+02 3.3504077686e+05
1.6766800000e+02 6.0008300765e+04
1.7639800000e+02 1.1321376654e+04
1.8558300000e+02 1.7443071777e+03
1.9524600000e+02 2.3575651943e+02
2.0541200000e+02 3.5842401928e+01
2.1610700000e+02 3.7969328977e+00
2.2736000000e+02 4.3354004015e-01
2.3919800000e+02 4.5188274386e-02
2.5165300000e+02 3.1397269760e-03
