Hawking primary spectra for each particle types.
energy/particle         photon         gluons          higgs            W+-             Z0      neutrinos       electron           muon            tau             up           down          charm        strange            top         bottom       graviton             DM
    1.00000e-06    1.36707e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.66553e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.18203e+05    0.00000e+00
    1.05207e-06    1.58593e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.83708e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.81726e+05    0.00000e+00
    1.10685e-06    1.83983e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.02630e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.63742e+05    0.00000e+00
    1.16448e-06    2.13438e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.23501e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.69636e+05    0.00000e+00
    1.22511e-06    2.47609e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.46522e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.06357e+05    0.00000e+00
    1.28890e-06    2.87250e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.71914e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.82880e+05    0.00000e+00
    1.35602e-06    3.33237e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.99922e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.01079e+06    0.00000e+00
    1.42662e-06    3.86587e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.30814e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.30506e+06    0.00000e+00
    1.50090e-06    4.48478e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.64888e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.68499e+06    0.00000e+00
    1.57905e-06    5.20277e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.02472e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.17552e+06    0.00000e+00
    1.66127e-06    6.03571e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.43927e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.80886e+06    0.00000e+00
    1.74777e-06    7.00200e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.89652e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.62658e+06    0.00000e+00
    1.83878e-06    8.12299e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.40087e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.68236e+06    0.00000e+00
    1.93452e-06    9.42344e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.95717e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.04549e+06    0.00000e+00
    2.03525e-06    1.09321e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.57076e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.80547e+06    0.00000e+00
    2.14122e-06    1.26823e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.24756e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.00778e+07    0.00000e+00
    2.25271e-06    1.47126e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.99406e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.30117e+07    0.00000e+00
    2.37001e-06    1.70681e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.81746e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.67996e+07    0.00000e+00
    2.49341e-06    1.98006e+14    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.72567e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.16904e+07    0.00000e+00
