(0, 1, 2, 3, 4, 5, 6, 7)
(0, 8, 9, 10, 11, 12, 13, 14)
(0, 15, 16, 17, 18, 19, 20, 21)
(0, 22, 23, 24, 25, 26, 27, 28)
(0, 29, 30, 31, 32, 33, 34, 35)
(0, 36, 37, 38, 39, 40, 41, 42)
(0, 43, 44, 45, 46, 47, 48, 49)
(0, 50, 51, 52, 53, 54, 55, 56)
(1, 8, 15, 22, 29, 36, 43, 50)
(1, 9, 16, 23, 30, 37, 44, 51)
(1, 10, 17, 24, 31, 38, 45, 52)
(1, 11, 18, 25, 32, 39, 46, 53)
(1, 12, 19, 26, 33, 40, 47, 54)
(1, 13, 20, 27, 34, 41, 48, 55)
(1, 14, 21, 28, 35, 42, 49, 56)
(2, 8, 16, 24, 32, 40, 48, 56)
(2, 9, 15, 25, 31, 41, 47, 57)
(2, 10, 18, 22, 33, 37, 49, 55)
(2, 11, 17, 23, 34, 42, 43, 54)
(2, 12, 20, 28, 29, 38, 44, 53)
(2, 13, 21, 26, 30, 36, 46, 52)
(3, 8, 17, 26, 35, 37, 53, 57)
(3, 9, 18, 28, 34, 40, 45, 50)
(3, 10, 19, 23, 29, 41, 46, 56)
(3, 12, 21, 22, 31, 39, 48, 51)
(4, 8, 19, 25, 30, 42, 45, 55)
(4, 10, 15, 27, 35, 39, 44, 54)
(4, 11, 20, 24, 33, 36, 51, 57)
(5, 12, 16, 27, 42, 46, 50, 57)
(5, 13, 17, 25, 29, 40, 49, 51)
(6, 14, 18, 30, 38, 48, 54, 57)
(7, 14, 19, 27, 32, 37, 43, 52)
(4, 13, 21, 23, 32, 38, 47, 50)
(5, 6, 9, 20, 26, 39, 43, 56)
(6, 7, 10, 16, 34, 36, 47, 53)
(5, 6, 8, 21, 33, 41, 44, 52)
(3, 7, 11, 15, 26, 38, 49, 55)
(5, 14, 15, 23, 33, 45, 48, 53)
(7, 8, 20, 28, 31, 37, 46, 54)
(7, 12, 13, 18, 24, 35, 41, 43)
(11, 20, 22, 30, 35, 40, 47, 52)
(3, 14, 16, 24, 29, 39, 47, 55)
(4, 9, 18, 26, 29, 42, 48, 52)
(4, 14, 17, 22, 34, 44, 46, 56)
(5, 6, 12, 17, 28, 32, 36, 55)
(6, 11, 19, 24, 31, 44, 49, 50)
(6, 11, 21, 27, 29, 37, 45, 56)
(8, 12, 23, 34, 39, 49, 52, 57)
(9, 16, 22, 32, 41, 45, 49, 54)
(4, 21, 31, 40, 43, 53, 55, 57)
(7, 9, 17, 27, 30, 33, 39, 50)
(3, 13, 16, 25, 28, 33, 38, 43)
(5, 9, 19, 34, 35, 38, 46, 51)
(3, 10, 20, 26, 32, 42, 44, 51)
(8, 18, 27, 31, 36, 47, 51, 56)
(2, 10, 14, 25, 35, 36, 48, 50)
(6, 7, 13, 15, 22, 42, 56, 57)
(5, 12, 15, 24, 25, 30, 34, 37)
(2, 13, 19, 28, 39, 45, 51, 57)
(6, 7, 23, 25, 35, 40, 44, 55)
(3, 4, 27, 28, 30, 41, 49, 53)
(3, 9, 13, 21, 24, 36, 53, 54)
(5, 11, 14, 16, 26, 31, 41, 50)
(5, 10, 11, 17, 28, 37, 47, 48)
(6, 10, 14, 15, 40, 43, 46, 51)
(5, 18, 19, 22, 23, 36, 44, 53)
(0, 7, 10, 21, 25, 29, 54, 57)
(4, 12, 15, 16, 25, 28, 52, 56)
(2, 24, 27, 33, 38, 42, 46, 56)
(4, 7, 20, 36, 37, 45, 49, 50)
(1, 13, 14, 20, 23, 31, 44, 57)
(0, 12, 16, 21, 26, 34, 35, 45)
(3, 7, 17, 19, 41, 48, 51, 52)
(10, 30, 31, 42, 43, 47, 53, 56)
(5, 8, 9, 22, 38, 46, 54, 55)
(0, 13, 15, 20, 25, 32, 37, 57)
(0, 1, 2, 3, 4, 5, 27, 40)
