zd,idcs,iess,sid,shortdesc,rjn_projectid,rjn_siteid,rjn_entityid,rjn_name
WWTF,I-5005A,I-5005A.UNIT1@NET1,5392,INFLU,47EE48FD-904F-4EDA-9ED9-C622D1944194,eefe228a-39a2-4742-a9e3-c07314544ada,200,Influent
WWTF,FI-405/415,FI-405/415.UNIT1@NET1,3550,EFF,47EE48FD-904F-4EDA-9ED9-C622D1944194,eefe228a-39a2-4742-a9e3-c07314544ada,197,Effluent
WWTF,I-0300A,I-0300A.UNIT1@NET1,87,WELL-BUBBLER,47EE48FD-904F-4EDA-9ED9-C622D1944194,eefe228a-39a2-4742-a9e3-c07314544ada,229,Wet Well
