alpha_toit;Cpe;F-;G-;H-;F+;G+;H+
5;CPE 10;-1.7;-1.2;-0.6;0;0;0
5;CPE 1;-2.5;-2;-1.2;0;0;0
15;CPE 10;-0.9;-0.8;-0.3;0.2;0.2;0.2
15;CPE 1;-2;-1.5;-0.3;0.2;0.2;0.2
30;CPE 10;-0.5;-0.5;-0.2;0.7;0.7;0.4
30;CPE 1;-1.5;-1.5;-0.2;0.7;0.7;0.4
45;CPE 10;0;0;0;0.7;0.7;0.6
45;CPE 1;0;0;0;0.7;0.7;0.6
60;CPE 10;;;;0.7;0.7;0.7
60;CPE 1;;;;0.7;0.7;0.7
75;CPE 10;;;;0.8;0.8;0.8
75;CPE 1;;;;0.8;0.8;0.8
