Zone;Cpe;5;1;0.25
A;CPE 10;-1.2;-1.2;-1.2
A;CPE 1;-1.4;-1.4;-1.4
B;CPE 10;-0.8;-0.8;-0.8
B;CPE 1;-1.1;-1.1;-1.1
C;CPE 10;-0.5;-0.5;-0.5
C;CPE 1;-0.5;-0.5;-0.5
D;CPE 10;0.8;0.8;0.7
D;CPE 1;1;1;1
E;CPE 10;-0.7;-0.5;-0.3
E;CPE 1;-0.7;-0.5;-0.3
