alpha_toit;Cpe;F;G;H;I
-45;CPE 10;-1.4;-1.2;-1;-0.9
-45;CPE 1;-2;-2;-1.3;-1.2
-30;CPE 10;-1.5;-1.2;-1;-0.9
-30;CPE 1;-2.1;-2;-1.3;-1.2
-15;CPE 10;-1.9;-1.2;-0.8;-0.8
-15;CPE 1;-2.5;-2;-1.2;-1.2
-5;CPE 10;-1.8;-1.2;-0.7;-0.6
-5;CPE 1;-2.5;-2;-1.2;-1.2
5;CPE 10;-1.6;-1.3;-0.7;-0.6
5;CPE 1;-2.2;-2;-1.2;-0.6
15;CPE 10;-1.3;-1.3;-0.6;-0.5
15;CPE 1;-2;-2;-1.2;-0.5
30;CPE 10;-1.1;-1.4;-0.8;-0.5
30;CPE 1;-1.5;-2;-1.2;-0.5
45;CPE 10;-1.1;-1.4;-0.9;-0.5
45;CPE 1;-1.5;-2;-1.2;-0.5
60;CPE 10;-1.1;-1.2;-0.8;-0.5
60;CPE 1;-1.5;-2;-1;-0.5
75;CPE 10;-1.1;-1.2;-0.8;-0.5
75;CPE 1;-1.5;-2;-1;-0.5
