sampleName	condition	batch	differential
Human_GSM4421328_Human_Left_Ventrice_Tissue_Healthy_cDNA_PAIRED_SRR11351704	Healthy	batch1	control
Human_GSM4421329_Human_Left_Ventrice_Tissue_Healthy_cDNA_PAIRED_SRR11351705	Healthy	batch1	control
Human_GSM4421331_Human_Left_Ventrice_Tissue_Heart_Failure_cDNA_PAIRED_SRR11351707	Failure	batch1	test
Human_GSM4421332_Human_Left_Ventrice_Tissue_Heart_Failure_cDNA_PAIRED_SRR11351708	Failure	batch1	test
