Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    1.82026e+14    0.00000e+00    3.70798e+22    1.01656e+17    0.00000e+00    0.00000e+00
    1.05207e-06    3.33370e+14    0.00000e+00    3.74921e+22    1.55333e+17    9.83576e+10    0.00000e+00
    1.10685e-06    3.55164e+14    0.00000e+00    4.91704e+22    1.49421e+17    1.08489e+11    0.00000e+00
    1.16448e-06    3.75284e+14    0.00000e+00    4.65526e+22    1.74542e+17    1.19663e+11    0.00000e+00
    1.22511e-06    4.34835e+14    0.00000e+00    5.11447e+22    2.45716e+17    1.31987e+11    0.00000e+00
    1.28890e-06    7.28108e+14    0.00000e+00    7.52179e+22    2.56174e+17    1.45582e+11    0.00000e+00
    1.35602e-06    8.09462e+14    0.00000e+00    7.62577e+22    3.29395e+17    1.60579e+11    0.00000e+00
    1.42662e-06    8.79010e+14    0.00000e+00    8.69092e+22    3.29778e+17    1.77118e+11    0.00000e+00
    1.50090e-06    1.76411e+15    0.00000e+00    9.41581e+22    4.08270e+17    1.95361e+11    0.00000e+00
    1.57905e-06    2.04936e+15    0.00000e+00    8.98506e+22    5.11563e+17    2.15483e+11    0.00000e+00
    1.66127e-06    1.90007e+15    0.00000e+00    1.36997e+23    5.25554e+17    2.37678e+11    0.00000e+00
    1.74777e-06    3.30905e+15    0.00000e+00    1.39179e+23    7.54760e+17    2.62159e+11    0.00000e+00
    1.83878e-06    3.85635e+15    0.00000e+00    1.35224e+23    7.72325e+17    2.89164e+11    0.00000e+00
    1.93452e-06    3.96175e+15    0.00000e+00    1.72467e+23    8.87480e+17    3.18947e+11    0.00000e+00
    2.03525e-06    5.24473e+15    0.00000e+00    1.77679e+23    1.22981e+18    3.51800e+11    0.00000e+00
    2.14122e-06    6.48548e+15    0.00000e+00    2.10040e+23    1.39207e+18    3.88034e+11    0.00000e+00
    2.25271e-06    8.60077e+15    0.00000e+00    2.44489e+23    1.48601e+18    4.28002e+11    0.00000e+00
    2.37001e-06    8.83599e+15    0.00000e+00    2.40087e+23    1.78795e+18    4.72089e+11    0.00000e+00
    2.49341e-06    1.13105e+16    0.00000e+00    2.94595e+23    1.95217e+18    5.20713e+11    0.00000e+00
    2.62324e-06    1.29213e+16    0.00000e+00    3.13147e+23    2.57300e+18    5.74348e+11    0.00000e+00
    2.75983e-06    1.42994e+16    0.00000e+00    3.41840e+23    2.96949e+18    6.33507e+11    0.00000e+00
    2.90353e-06    1.97154e+16    0.00000e+00    4.14982e+23    3.07028e+18    6.98758e+11    0.00000e+00
    3.05471e-06    2.37524e+16    0.00000e+00    4.06334e+23    3.71776e+18    7.70730e+11    0.00000e+00
    3.21376e-06    2.63170e+16    0.00000e+00    4.84370e+23    4.16039e+18    8.50113e+11    0.00000e+00
    3.38110e-06    3.16096e+16    0.00000e+00    5.02703e+23    5.33516e+18    9.37678e+11    0.00000e+00
    3.55715e-06    4.17611e+16    0.00000e+00    5.32654e+23    6.60589e+18    1.03426e+12    0.00000e+00
    3.74237e-06    5.23891e+16    0.00000e+00    6.43620e+23    7.05593e+18    1.14079e+12    0.00000e+00
    3.93723e-06    5.00294e+16    0.00000e+00    6.70538e+23    8.17920e+18    1.25830e+12    0.00000e+00
    4.14223e-06    6.28313e+16    0.00000e+00    6.80418e+23    9.39970e+18    1.38790e+12    0.00000e+00
    4.35791e-06    8.86860e+16    0.00000e+00    7.78837e+23    1.10571e+19    1.53085e+12    0.00000e+00
    4.58482e-06    9.84479e+16    0.00000e+00    8.30610e+23    1.40522e+19    1.68853e+12    0.00000e+00
    4.82355e-06    1.07072e+17    0.00000e+00    9.05403e+23    1.53662e+19    1.86245e+12    0.00000e+00
    5.07471e-06    1.44925e+17    0.00000e+00    9.71070e+23    1.52331e+19    2.05429e+12    0.00000e+00
    5.33894e-06    1.56610e+17    0.00000e+00    1.02650e+24    2.12276e+19    2.26588e+12    0.00000e+00
    5.61693e-06    1.80890e+17    0.00000e+00    1.11753e+24    2.57807e+19    2.49927e+12    0.00000e+00
    5.90940e-06    2.06008e+17    0.00000e+00    1.21426e+24    2.83750e+19    2.75670e+12    0.00000e+00
    6.21709e-06    2.44542e+17    0.00000e+00    1.29420e+24    3.16361e+19    3.04064e+12    0.00000e+00
