Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    6.12927e+14    0.00000e+00    8.82056e+22    3.42176e+17    0.00000e+00    0.00000e+00
    1.05207e-06    1.12254e+15    0.00000e+00    8.42477e+22    5.23265e+17    3.31194e+11    0.00000e+00
    1.10685e-06    1.19592e+15    0.00000e+00    1.02892e+23    5.03132e+17    3.65308e+11    0.00000e+00
    1.16448e-06    1.26367e+15    0.00000e+00    1.10440e+23    5.88563e+17    4.02933e+11    0.00000e+00
    1.22511e-06    1.46420e+15    0.00000e+00    1.12202e+23    8.29291e+17    4.44434e+11    0.00000e+00
    1.28890e-06    2.45172e+15    0.00000e+00    1.47843e+23    8.64254e+17    4.90211e+11    0.00000e+00
    1.35602e-06    2.72566e+15    0.00000e+00    1.48468e+23    1.11169e+18    5.40710e+11    0.00000e+00
    1.42662e-06    2.95984e+15    0.00000e+00    1.66687e+23    1.11229e+18    5.96399e+11    0.00000e+00
    1.50090e-06    5.94019e+15    0.00000e+00    1.93864e+23    1.37752e+18    6.57827e+11    0.00000e+00
    1.57905e-06    6.90070e+15    0.00000e+00    1.85363e+23    1.72667e+18    7.25584e+11    0.00000e+00
    1.66127e-06    6.39801e+15    0.00000e+00    2.37108e+23    1.77263e+18    8.00321e+11    0.00000e+00
    1.74777e-06    1.11424e+16    0.00000e+00    2.49965e+23    2.54635e+18    8.82754e+11    0.00000e+00
    1.83878e-06    1.29853e+16    0.00000e+00    2.56382e+23    2.60615e+18    9.73685e+11    0.00000e+00
    1.93452e-06    1.33402e+16    0.00000e+00    3.07265e+23    2.99520e+18    1.07397e+12    0.00000e+00
    2.03525e-06    1.76603e+16    0.00000e+00    3.17993e+23    4.14842e+18    1.18460e+12    0.00000e+00
    2.14122e-06    2.18382e+16    0.00000e+00    3.46239e+23    4.69358e+18    1.30661e+12    0.00000e+00
    2.25271e-06    2.89609e+16    0.00000e+00    3.98876e+23    5.00871e+18    1.44119e+12    0.00000e+00
    2.37001e-06    2.97529e+16    0.00000e+00    3.96638e+23    6.02391e+18    1.58964e+12    0.00000e+00
    2.49341e-06    3.80852e+16    0.00000e+00    4.46057e+23    6.58159e+18    1.75337e+12    0.00000e+00
    2.62324e-06    4.35092e+16    0.00000e+00    4.82314e+23    8.65917e+18    1.93397e+12    0.00000e+00
    2.75983e-06    4.81047e+16    0.00000e+00    5.06774e+23    9.97869e+18    2.13317e+12    0.00000e+00
    2.90353e-06    6.62797e+16    0.00000e+00    5.74908e+23    1.03198e+19    2.35289e+12    0.00000e+00
    3.05471e-06    7.98817e+16    0.00000e+00    5.81295e+23    1.25079e+19    2.59524e+12    0.00000e+00
    3.21376e-06    8.85123e+16    0.00000e+00    6.57960e+23    1.39794e+19    2.86254e+12    0.00000e+00
    3.38110e-06    1.06297e+17    0.00000e+00    6.76469e+23    1.78831e+19    3.15739e+12    0.00000e+00
    3.55715e-06    1.40461e+17    0.00000e+00    7.39291e+23    2.20953e+19    3.48261e+12    0.00000e+00
    3.74237e-06    1.76264e+17    0.00000e+00    8.23272e+23    2.35564e+19    3.84133e+12    0.00000e+00
    3.93723e-06    1.68291e+17    0.00000e+00    8.54091e+23    2.73126e+19    4.23699e+12    0.00000e+00
    4.14223e-06    2.11388e+17    0.00000e+00    9.19711e+23    3.13856e+19    4.67339e+12    0.00000e+00
    4.35791e-06    2.98677e+17    0.00000e+00    9.78336e+23    3.68613e+19    5.15475e+12    0.00000e+00
    4.58482e-06    3.31559e+17    0.00000e+00    1.06244e+24    4.65170e+19    5.68570e+12    0.00000e+00
    4.82355e-06    3.60902e+17    0.00000e+00    1.14711e+24    5.08516e+19    6.27134e+12    0.00000e+00
    5.07471e-06    4.89189e+17    0.00000e+00    1.20751e+24    5.06847e+19    6.91731e+12    0.00000e+00
    5.33894e-06    5.28459e+17    0.00000e+00    1.28482e+24    6.99517e+19    7.62979e+12    0.00000e+00
    5.61693e-06    6.10379e+17    0.00000e+00    1.37055e+24    8.44841e+19    8.41566e+12    0.00000e+00
    5.90940e-06    6.94969e+17    0.00000e+00    1.44208e+24    9.31671e+19    9.28249e+12    0.00000e+00
    6.21709e-06    8.25135e+17    0.00000e+00    1.53152e+24    1.03497e+20    1.02386e+13    0.00000e+00
    6.54081e-06    1.00944e+18    0.00000e+00    1.66613e+24    1.20357e+20    1.12932e+13    0.00000e+00
    6.88138e-06    1.14871e+18    0.00000e+00    1.72203e+24    1.37871e+20    1.24564e+13    0.00000e+00
    7.23968e-06    1.47431e+18    0.00000e+00    1.81298e+24    1.56128e+20    1.37394e+13    0.00000e+00
    7.61664e-06    1.61664e+18    0.00000e+00    1.91541e+24    1.81944e+20    1.51546e+13    0.00000e+00
    8.01323e-06    1.66565e+18    0.00000e+00    2.00505e+24    2.27546e+20    1.67155e+13    0.00000e+00
    8.43047e-06    2.33541e+18    0.00000e+00    2.16361e+24    2.40149e+20    1.84372e+13    0.00000e+00
    8.86943e-06    2.86616e+18    0.00000e+00    2.20179e+24    2.70386e+20    2.03363e+13    0.00000e+00
    9.33125e-06    3.07291e+18    0.00000e+00    2.33534e+24    3.88300e+20    2.24309e+13    0.00000e+00
    9.81712e-06    3.52229e+18    0.00000e+00    2.44280e+24    4.52424e+20    2.47414e+13    0.00000e+00
    1.03283e-05    4.08478e+18    0.00000e+00    2.50776e+24    4.68258e+20    2.72898e+13    0.00000e+00
    1.08661e-05    4.83232e+18    0.00000e+00    2.66434e+24    5.56281e+20    3.01008e+13    0.00000e+00
    1.14318e-05    6.13598e+18    0.00000e+00    2.71361e+24    7.14736e+20    3.32008e+13    0.00000e+00
    1.20271e-05    6.65581e+18    0.00000e+00    2.85699e+24    8.87007e+20    3.66209e+13    0.00000e+00
    1.26533e-05    7.14751e+18    0.00000e+00    2.92091e+24    8.66778e+20    4.03926e+13    0.00000e+00
    1.33122e-05    8.11892e+18    0.00000e+00    3.01411e+24    1.10268e+21    4.45535e+13    0.00000e+00
    1.40053e-05    1.04274e+19    0.00000e+00    3.10969e+24    1.30618e+21    4.91422e+13    0.00000e+00
    1.47345e-05    1.26469e+19    0.00000e+00    3.18804e+24    1.43707e+21    5.42037e+13    0.00000e+00
    1.55018e-05    1.47457e+19    0.00000e+00    3.26080e+24    1.72504e+21    5.97874e+13    0.00000e+00
    1.63089e-05    1.62355e+19    0.00000e+00    3.29711e+24    2.07238e+21    6.59451e+13    0.00000e+00
    1.71581e-05    1.79321e+19    0.00000e+00    3.38485e+24    2.25407e+21    7.27377e+13    0.00000e+00
    1.80515e-05    2.06948e+19    0.00000e+00    3.40273e+24    2.58527e+21    8.02298e+13    0.00000e+00
    1.89914e-05    2.71599e+19    0.00000e+00    3.46185e+24    3.05996e+21    8.84934e+13    0.00000e+00
    1.99803e-05    3.18453e+19    0.00000e+00    3.47497e+24    3.52956e+21    9.76087e+13    0.00000e+00
    2.10206e-05    3.18947e+19    0.00000e+00    3.48658e+24    4.02615e+21    1.07662e+14    0.00000e+00
    2.21151e-05    3.84061e+19    0.00000e+00    3.49813e+24    4.17829e+21    1.18751e+14    0.00000e+00
    2.32666e-05    5.07404e+19    0.00000e+00    3.47822e+24    5.52964e+21    1.30983e+14    0.00000e+00
    2.44781e-05    5.24612e+19    0.00000e+00    3.48318e+24    5.74513e+21    1.44474e+14    0.00000e+00
    2.57526e-05    6.10197e+19    0.00000e+00    3.42468e+24    6.57326e+21    1.59355e+14    0.00000e+00
    2.70935e-05    7.37017e+19    0.00000e+00    3.37781e+24    7.70616e+21    1.75769e+14    0.00000e+00
    2.85043e-05    8.14360e+19    0.00000e+00    3.33938e+24    8.36354e+21    1.93874e+14    0.00000e+00
    2.99884e-05    8.75909e+19    0.00000e+00    3.25313e+24    9.83950e+21    2.13842e+14    0.00000e+00
    3.15499e-05    1.11581e+20    0.00000e+00    3.18156e+24    1.03320e+22    2.35869e+14    0.00000e+00
    3.31927e-05    1.33334e+20    0.00000e+00    3.08083e+24    1.22371e+22    2.60164e+14    0.00000e+00
    3.49210e-05    1.43169e+20    0.00000e+00    2.97673e+24    1.35642e+22    2.86961e+14    0.00000e+00
    3.67392e-05    1.51804e+20    0.00000e+00    2.88735e+24    1.48537e+22    3.16517e+14    0.00000e+00
    3.86522e-05    2.09381e+20    0.00000e+00    2.75558e+24    1.65528e+22    3.49119e+14    0.00000e+00
    4.06648e-05    2.39982e+20    0.00000e+00    2.63080e+24    1.91245e+22    3.85080e+14    0.00000e+00
    4.27821e-05    2.51651e+20    0.00000e+00    2.51206e+24    1.98155e+22    4.24742e+14    0.00000e+00
    4.50098e-05    2.92149e+20    0.00000e+00    2.37652e+24    2.29321e+22    4.68493e+14    0.00000e+00
    4.73533e-05    3.69764e+20    0.00000e+00    2.24170e+24    2.56445e+22    5.16746e+14    0.00000e+00
    4.98190e-05    4.42421e+20    0.00000e+00    2.09996e+24    2.66175e+22    5.69973e+14    0.00000e+00
    5.24130e-05    4.65007e+20    0.00000e+00    1.97057e+24    3.18801e+22    6.28681e+14    0.00000e+00
    5.51421e-05    5.53162e+20    0.00000e+00    1.83811e+24    3.27879e+22    6.93436e+14    0.00000e+00
    5.80132e-05    6.55184e+20    0.00000e+00    1.70550e+24    3.75626e+22    7.64859e+14    0.00000e+00
    6.10339e-05    6.96281e+20    0.00000e+00    1.57280e+24    3.99654e+22    8.43641e+14    0.00000e+00
    6.42119e-05    8.59417e+20    0.00000e+00    1.45396e+24    4.38985e+22    9.30539e+14    0.00000e+00
    6.75553e-05    1.04196e+21    0.00000e+00    1.33702e+24    5.01777e+22    1.02638e+15    0.00000e+00
    7.10728e-05    1.17202e+21    0.00000e+00    1.22487e+24    5.25533e+22    1.13210e+15    0.00000e+00
    7.47735e-05    1.29214e+21    0.00000e+00    1.12016e+24    5.79877e+22    1.24871e+15    0.00000e+00
    7.86668e-05    1.52676e+21    0.00000e+00    1.02070e+24    6.33327e+22    1.37733e+15    0.00000e+00
    8.27629e-05    1.78217e+21    0.00000e+00    9.29304e+23    6.93750e+22    1.51920e+15    0.00000e+00
    8.70722e-05    2.03310e+21    0.00000e+00    8.50362e+23    7.37902e+22    1.67567e+15    0.00000e+00
    9.16060e-05    2.21584e+21    0.00000e+00    7.66038e+23    8.19850e+22    1.84827e+15    0.00000e+00
    9.63758e-05    2.74953e+21    0.00000e+00    6.99885e+23    8.86289e+22    2.03864e+15    0.00000e+00
    1.01394e-04    3.06068e+21    0.00000e+00    6.33925e+23    9.39408e+22    2.24863e+15    0.00000e+00
    1.06673e-04    3.29877e+21    0.00000e+00    5.76519e+23    1.02405e+23    2.48022e+15    0.00000e+00
    1.12228e-04    3.94075e+21    0.00000e+00    5.27313e+23    1.10977e+23    2.73572e+15    0.00000e+00
    1.18071e-04    4.36557e+21    0.00000e+00    4.77928e+23    1.20162e+23    3.01747e+15    0.00000e+00
    1.24219e-04    5.14349e+21    0.00000e+00    4.39825e+23    1.27761e+23    3.32828e+15    0.00000e+00
    1.30687e-04    5.44271e+21    0.00000e+00    4.03165e+23    1.37329e+23    3.67111e+15    0.00000e+00
    1.37492e-04    6.39531e+21    0.00000e+00    3.73438e+23    1.49023e+23    4.04925e+15    0.00000e+00
    1.44651e-04    7.03009e+21    0.00000e+00    3.49000e+23    1.57983e+23    4.46633e+15    0.00000e+00
    1.52183e-04    7.80652e+21    0.00000e+00    3.24708e+23    1.68514e+23    4.92638e+15    0.00000e+00
    1.60106e-04    8.99657e+21    0.00000e+00    3.06631e+23    1.83114e+23    5.43374e+15    0.00000e+00
    1.68443e-04    9.94567e+21    0.00000e+00    2.91348e+23    1.92294e+23    5.99345e+15    0.00000e+00
    1.77214e-04    1.10407e+22    0.00000e+00    2.82892e+23    2.06383e+23    6.61081e+15    0.00000e+00
    1.86441e-04    1.21779e+22    0.00000e+00    2.69562e+23    2.18873e+23    7.29171e+15    0.00000e+00
    1.96149e-04    1.36234e+22    0.00000e+00    2.64833e+23    2.33432e+23    8.04279e+15    0.00000e+00
    2.06362e-04    1.49689e+22    0.00000e+00    2.61480e+23    2.48693e+23    8.87118e+15    0.00000e+00
    2.17107e-04    1.68793e+22    0.00000e+00    2.58976e+23    2.61394e+23    9.78493e+15    0.00000e+00
    2.28411e-04    1.83425e+22    0.00000e+00    2.58840e+23    2.78440e+23    1.07927e+16    0.00000e+00
    2.40304e-04    2.04789e+22    0.00000e+00    2.58875e+23    2.93516e+23    1.19066e+16    0.00000e+00
    2.52817e-04    2.19287e+22    0.00000e+00    2.63888e+23    3.07851e+23    1.31361e+16    0.00000e+00
    2.65980e-04    2.40814e+22    0.00000e+00    2.67579e+23    3.25909e+23    1.44830e+16    0.00000e+00
    2.79830e-04    2.68846e+22    0.00000e+00    2.71614e+23    3.43221e+23    1.59782e+16    0.00000e+00
    2.94400e-04    2.85311e+22    0.00000e+00    2.77219e+23    3.58391e+23    1.76287e+16    0.00000e+00
    3.09729e-04    3.20582e+22    0.00000e+00    2.84201e+23    3.78025e+23    1.94352e+16    0.00000e+00
    3.25856e-04    3.41345e+22    0.00000e+00    2.91732e+23    3.94276e+23    2.14484e+16    0.00000e+00
    3.42823e-04    3.69731e+22    0.00000e+00    3.00823e+23    4.11454e+23    2.36450e+16    0.00000e+00
    3.60673e-04    4.03392e+22    0.00000e+00    3.05228e+23    4.30869e+23    2.60958e+16    0.00000e+00
    3.79453e-04    4.35233e+22    0.00000e+00    3.15572e+23    4.48552e+23    2.87764e+16    0.00000e+00
    3.99211e-04    4.67880e+22    0.00000e+00    3.24206e+23    4.66915e+23    3.17410e+16    0.00000e+00
    4.19997e-04    5.03933e+22    0.00000e+00    3.31431e+23    4.84677e+23    3.50109e+16    0.00000e+00
    4.41866e-04    5.40113e+22    0.00000e+00    3.42031e+23    5.03386e+23    3.86029e+16    0.00000e+00
    4.64873e-04    5.81863e+22    0.00000e+00    3.48707e+23    5.20886e+23    4.25938e+16    0.00000e+00
    4.89079e-04    6.21972e+22    3.53549e-03    3.58738e+23    5.37644e+23    4.69820e+16    0.00000e+00
    5.14544e-04    6.61695e+22    2.89712e+23    3.66351e+23    5.55733e+23    5.18221e+16    0.00000e+00
    5.41336e-04    7.09092e+22    2.97191e+23    3.74251e+23    5.74790e+23    5.71611e+16    0.00000e+00
    5.69523e-04    7.50479e+22    3.02772e+23    3.82622e+23    5.89927e+23    6.30502e+16    0.00000e+00
    5.99177e-04    7.99822e+22    3.10250e+23    3.89648e+23    6.06032e+23    6.95825e+16    0.00000e+00
    6.30375e-04    8.48406e+22    3.17244e+23    3.97140e+23    6.22545e+23    7.67170e+16    0.00000e+00
    6.63198e-04    8.92041e+22    3.23506e+23    4.04337e+23    6.40435e+23    8.45722e+16    0.00000e+00
    6.97730e-04    9.44343e+22    3.29484e+23    4.09677e+23    6.53671e+23    9.33325e+16    0.00000e+00
    7.34060e-04    9.98611e+22    3.35498e+23    4.16861e+23    6.65448e+23    1.03015e+17    0.00000e+00
    7.72281e-04    1.04516e+23    3.42222e+23    4.21748e+23    6.82539e+23    1.13489e+17    0.00000e+00
    8.12493e-04    1.10151e+23    3.47759e+23    4.27174e+23    6.93948e+23    1.25346e+17    0.00000e+00
    8.54798e-04    1.15801e+23    3.52491e+23    4.32834e+23    7.06513e+23    1.38177e+17    0.00000e+00
    8.99307e-04    1.20806e+23    3.58568e+23    4.34378e+23    7.17138e+23    1.52415e+17    0.00000e+00
    9.46132e-04    1.25967e+23    3.62972e+23    4.39393e+23    7.28752e+23    1.68121e+17    0.00000e+00
