0 1 2 3 4 5 6 7
0 1 2 3 63 64 65 66
0 1 2 8 9 10 11 12
0 1 2 13 14 15 16 17
0 1 2 18 19 20 21 22
0 1 2 23 24 25 26 27
0 1 2 28 29 30 31 32
0 1 2 33 34 35 36 37
0 1 2 38 39 40 41 42
0 1 2 43 44 45 46 47
0 1 2 48 49 50 51 52
0 1 2 53 54 55 56 57
0 1 2 58 59 60 61 62
3 4 5 6 7 8 9 10
3 11 19 27 35 43 51 59
3 12 21 30 39 48 57 66
3 13 23 33 40 50 52 62
3 14 25 32 36 45 58 63
3 15 24 28 42 46 53 65
3 16 26 29 38 49 55 60
3 17 20 34 37 47 54 64
3 18 22 31 41 44 56 61
4 11 22 29 40 47 58 65
4 12 20 28 36 44 52 60
4 13 26 31 35 46 57 64
4 14 24 34 39 49 51 61
4 15 25 30 37 50 56 59
4 16 23 27 41 45 54 66
4 17 21 32 42 43 55 62
4 18 19 33 38 48 53 63
5 11 25 31 42 48 54 60
5 12 23 34 38 43 56 65
5 13 21 29 37 45 53 61
5 14 19 28 41 50 55 64
5 15 22 32 35 49 52 66
5 16 20 33 39 46 58 59
5 17 26 30 40 44 51 63
5 18 24 27 36 47 57 62
6 11 24 33 37 44 55 66
6 12 26 32 41 47 53 59
6 13 20 27 42 49 56 63
6 14 22 30 38 46 54 62
6 15 19 34 40 45 57 60
6 16 21 31 36 50 51 65
6 17 23 28 35 48 58 61
6 18 25 29 39 43 52 64
7 11 20 32 38 50 57 61
7 12 22 33 42 45 51 64
7 13 24 30 41 43 58 60
7 14 26 27 37 48 52 65
7 15 23 31 39 47 55 63
7 16 25 34 35 44 53 62
7 17 19 29 36 46 56 66
7 18 21 28 40 49 54 59
8 11 21 34 41 46 52 63
8 12 19 31 37 49 58 62
8 13 25 28 38 47 51 66
8 14 23 29 42 44 57 59
8 15 26 33 36 43 54 61
8 16 24 32 40 48 56 64
8 17 22 27 39 50 53 60
8 18 20 30 35 45 55 65
9 11 26 28 39 45 56 62
9 12 24 29 35 50 54 63
9 13 22 34 36 48 55 59
9 14 20 31 40 43 53 66
9 15 21 27 38 44 58 64
9 16 19 30 42 47 52 61
9 17 25 33 41 49 57 65
9 18 23 32 37 46 51 60
10 11 23 30 36 49 53 64
10 12 25 27 40 46 55 61
10 13 19 32 39 44 54 65
10 14 21 33 35 47 56 60
10 15 20 29 41 48 51 62
10 16 22 28 37 43 57 63
10 17 24 31 38 45 52 59
10 18 26 34 42 50 58 66
11 12 13 14 15 16 17 18
19 20 21 22 23 24 25 26
27 28 29 30 31 32 33 34
35 36 37 38 39 40 41 42
43 44 45 46 47 48 49 50
51 52 53 54 55 56 57 58
59 60 61 62 63 64 65 66
