0 1 2 3 4 5
0 1 2 3 4 76
0 6 7 8 9 10
0 11 12 13 14 15
0 16 17 18 19 20
0 21 22 23 24 25
0 26 27 28 29 30
0 31 32 33 34 35
0 36 37 38 39 40
0 41 42 43 44 45
0 46 47 48 49 50
0 51 52 53 54 55
0 56 57 58 59 60
0 61 62 63 64 65
0 66 67 68 69 70
0 71 72 73 74 75
1 2 6 14 44 58
1 3 11 15 31 54
1 4 12 48 60 63
1 5 27 42 49 68
1 7 10 25 41 56
1 8 9 26 74 75
1 13 34 36 40 47
1 16 37 43 46 61
1 17 32 53 59 62
1 18 66 67 69 76
1 19 30 51 52 57
1 20 29 33 55 70
1 21 39 50 71 72
1 22 24 28 35 65
1 23 38 45 64 73
2 3 5 12 13 30
2 4 8 15 45 57
2 7 20 36 42 59
2 9 28 37 41 63
2 10 40 54 73 74
2 11 16 18 47 68
2 17 33 48 69 75
2 19 38 43 56 72
2 21 22 26 34 64
2 23 24 29 49 67
2 25 27 35 39 55
2 31 52 62 71 76
2 32 46 65 66 70
2 50 51 53 60 61
3 4 9 29 47 58
3 6 21 37 52 73
3 7 23 46 69 71
3 8 10 39 60 70
3 14 35 36 41 61
3 16 32 38 55 74
3 17 20 28 64 76
3 18 25 44 53 57
3 19 42 65 67 75
3 22 27 40 56 62
3 24 34 43 48 50
3 26 49 51 59 63
3 33 45 66 68 72
4 5 22 70 71 73
4 6 35 56 66 75
4 7 21 24 32 68
4 10 27 46 51 64
4 11 41 53 74 76
4 13 17 39 54 61
4 14 23 28 30 59
4 16 19 33 36 44
4 18 37 38 42 50
4 20 26 43 62 67
4 25 31 34 49 65
4 40 52 55 69 72
5 6 10 18 48 62
5 7 15 19 35 58
5 8 16 52 64 67
5 9 31 46 53 72
5 11 14 29 45 60
5 17 38 40 44 51
5 20 41 47 50 65
5 21 36 57 63 66
5 23 34 55 56 61
5 24 33 37 59 74
5 25 43 54 75 76
5 26 28 32 39 69
6 7 9 16 17 34
6 8 12 19 49 61
6 11 24 40 46 63
6 13 32 41 45 67
6 15 20 22 51 72
6 23 42 47 60 76
6 25 26 30 38 68
6 27 28 33 53 71
6 29 31 39 43 59
6 36 50 69 70 74
6 54 55 57 64 65
7 8 13 33 51 62
7 11 27 50 73 75
7 12 14 43 64 74
7 18 39 40 45 65
7 22 29 48 57 61
7 26 31 44 60 66
7 28 38 47 52 54
7 30 53 55 63 67
7 37 49 70 72 76
8 11 25 28 36 72
8 14 31 50 55 68
8 17 21 43 58 65
8 18 27 32 34 63
8 20 23 37 40 48
8 22 41 42 46 54
8 24 30 47 66 71
8 29 35 38 53 69
8 44 56 59 73 76
9 10 14 22 52 66
9 11 19 23 39 62
9 12 20 56 68 71
9 13 35 50 57 76
9 15 18 33 49 64
9 21 42 44 48 55
9 24 45 51 54 69
9 25 40 61 67 70
9 27 38 59 60 65
9 30 32 36 43 73
10 11 13 20 21 38
10 12 16 23 53 65
10 15 28 44 50 67
10 17 36 45 49 71
10 19 24 26 55 76
10 29 30 34 42 72
10 31 32 37 57 75
10 33 35 43 47 63
10 58 59 61 68 69
11 12 17 37 55 66
11 22 43 44 49 69
11 26 33 52 61 65
11 30 35 48 64 70
11 32 42 51 56 58
11 34 57 59 67 71
12 15 29 32 40 76
12 18 35 54 59 72
12 21 25 47 62 69
12 22 31 36 38 67
12 24 27 41 44 52
12 26 45 46 50 58
12 28 34 51 70 75
12 33 39 42 57 73
13 14 18 26 56 70
13 15 23 27 43 66
13 16 24 60 72 75
13 19 22 37 53 68
13 25 46 48 52 59
13 28 49 55 58 73
13 29 44 65 71 74
13 31 42 63 64 69
14 15 17 24 25 42
14 16 20 27 57 69
14 19 32 48 54 71
14 21 40 49 53 75
14 33 34 38 46 76
14 37 39 47 51 67
14 62 63 65 72 73
15 16 21 41 59 70
15 26 47 48 53 73
15 30 37 56 65 69
15 34 39 52 68 74
15 36 46 55 60 62
15 38 61 63 71 75
16 22 39 58 63 76
16 25 29 51 66 73
16 26 35 40 42 71
16 28 31 45 48 56
16 30 49 50 54 62
17 18 22 30 60 74
17 19 27 31 47 70
17 23 26 41 57 72
17 29 50 52 56 63
17 35 46 67 68 73
18 19 21 28 29 46
18 20 24 31 61 73
18 23 36 52 58 75
18 41 43 51 55 71
19 20 25 45 63 74
19 34 41 60 69 73
19 40 50 59 64 66
20 30 39 44 46 75
20 32 35 49 52 60
20 34 53 54 58 66
21 23 31 35 51 74
21 27 30 45 61 76
21 33 54 56 60 67
22 23 25 32 33 50
22 45 47 55 59 75
23 44 54 63 68 70
24 36 39 53 56 64
24 38 57 58 62 70
25 37 58 60 64 71
26 27 29 36 37 54
27 48 58 67 72 74
28 40 43 57 60 68
28 42 61 62 66 74
29 41 62 64 68 75
30 31 33 40 41 58
32 44 47 61 64 72
34 35 37 44 45 62
36 48 51 65 68 76
38 39 41 48 49 66
42 43 45 52 53 70
46 47 49 56 57 74
