0 1 2 3 4 5 6 7 8
0 9 14 16 17 53 54 60 77
0 10 24 45 56 58 67 83 86
0 11 18 30 43 54 66 68 78
0 12 19 33 38 39 47 69 84
0 13 23 46 55 62 65 73 80
0 15 26 27 29 37 48 61 64
0 20 22 28 41 54 72 93 94
0 21 32 59 63 82 87 90 91
0 25 36 49 50 70 71 89 92
0 31 35 40 51 57 79 85 88
0 34 42 44 52 74 75 76 81
1 9 23 24 34 38 61 66 93
1 10 19 22 37 51 71 81 82
1 11 28 44 48 49 80 84 90
1 12 16 25 42 43 55 79 94
1 13 64 69 78 86 87 88 89
1 14 15 21 46 47 57 70 93
1 17 26 36 39 41 56 65 74
1 18 27 33 40 59 75 77 83
1 20 31 52 58 60 63 68 73
1 29 30 50 53 62 67 85 91
1 32 35 45 51 54 72 76 92
2 9 21 22 35 48 62 75 89
2 10 11 43 65 77 85 87 93
2 12 15 18 20 23 49 51 86
2 13 33 41 42 57 67 68 82
2 14 24 37 43 54 63 80 92
2 16 28 29 47 56 73 81 88
2 17 38 40 44 45 46 71 78
2 19 25 53 58 64 72 74 90
2 26 30 31 34 51 59 69 70
2 27 36 60 66 76 79 84 91
2 32 39 43 50 52 55 61 83
2 37 45 55 70 73 84 88 94
3 9 18 19 32 44 67 70 73
3 10 15 41 50 60 69 75 80
3 11 17 22 23 25 52 59 88
3 12 13 45 48 63 66 74 85
3 14 33 61 62 72 78 79 81
3 16 26 35 46 51 58 84 87
3 20 37 38 42 56 77 89 91
3 21 29 31 39 71 76 86 93
3 24 28 30 36 40 55 64 82
3 27 34 47 65 68 90 92 94
3 31 43 49 53 54 57 83 94
4 9 39 49 54 64 68 81 85
4 10 18 46 61 74 88 91 92
4 11 21 26 38 55 60 67 72
4 12 14 30 58 65 71 75 94
4 13 16 22 24 27 31 44 50
4 15 35 36 42 73 78 83 90
4 17 28 32 37 57 66 69 94
4 19 20 29 45 59 79 80 93
4 23 40 41 47 53 63 76 89
4 25 34 43 62 77 82 84 86
4 33 48 51 52 54 56 70 87
5 9 50 56 63 78 84 93 94
5 10 25 30 38 48 57 73 76
5 11 31 37 47 51 62 74 83
5 12 22 29 32 36 46 68 77
5 13 14 19 26 40 49 52 91
5 15 54 55 58 59 66 81 89
5 16 18 21 34 41 43 45 64
5 17 27 42 70 72 80 85 86
5 20 35 44 53 61 65 69 82
5 23 28 39 67 75 79 87 92
5 24 33 43 51 60 71 88 90
6 8 44 47 54 55 86 91 94
6 9 11 29 40 42 58 69 92
6 9 36 51 53 55 68 75 93
6 10 12 21 27 28 52 53 78
6 13 18 25 35 37 39 60 93
6 14 20 34 36 43 48 67 88
6 15 17 19 24 62 68 76 87
6 16 30 32 33 74 80 89 93
6 22 38 63 64 65 70 79 83
6 23 26 45 50 57 77 81 90
6 31 46 49 56 66 72 75 82
6 41 54 59 61 71 73 84 85
7 9 20 27 55 57 71 74 87
7 10 14 23 31 32 42 64 84
7 11 12 24 35 41 70 81 91
7 13 29 38 43 51 54 75 90
7 15 30 39 44 63 72 77 88
7 16 37 49 59 65 67 76 78
7 17 18 47 48 50 58 79 82
7 19 28 34 46 60 83 85 89
7 21 25 40 51 56 61 68 80
7 22 26 33 53 66 73 86 92
7 36 45 52 54 62 69 93 94
8 9 10 13 36 43 47 59 72
8 11 20 33 46 50 64 76 94
8 12 17 31 61 67 89 90 93
8 14 25 29 41 44 66 83 87
8 15 16 38 52 82 85 92 93
8 18 26 28 42 51 62 63 71
8 19 23 27 30 35 43 56 94
8 21 24 49 69 73 74 77 79
8 22 34 39 57 58 78 80 91
8 32 40 48 60 65 81 86 93
8 37 45 53 68 70 75 84 88
9 12 26 76 80 82 83 88 93
9 15 25 28 31 33 45 65 91
9 30 37 41 46 52 79 86 90
10 16 20 39 40 62 66 70 90
10 17 29 33 34 35 49 55 63
10 26 43 44 54 68 79 89 94
11 13 15 32 34 53 56 71 79
11 14 27 39 45 51 73 82 89
11 16 19 36 57 61 63 75 86
12 34 37 40 50 54 72 73 87
12 44 56 57 59 60 62 64 92
13 17 20 21 30 81 83 84 92
13 28 43 58 61 70 76 77 94
14 18 22 55 56 69 76 85 90
14 28 35 38 50 59 68 74 86
15 22 40 43 51 67 74 84 94
16 23 48 68 69 71 72 83 91
17 43 44 51 64 73 75 91 93
18 24 29 52 57 65 72 84 89
18 31 36 38 53 80 81 87 94
19 21 42 50 51 54 65 66 88
19 31 41 48 51 55 77 78 92
20 24 25 26 32 47 75 78 85
21 23 33 36 37 44 58 85 94
22 30 42 45 47 49 60 61 87
23 29 54 60 70 74 78 82 94
24 39 42 46 48 53 59 93 94
25 27 43 46 54 63 67 69 81
27 32 38 41 49 58 62 88 93
35 47 52 64 66 67 71 77 80
